,RC03,R02,LC01,RC02,R03,C473,C481,LC03,T
c0,82 ,206 ,131 ,31 ,103 ,61 ,109 ,139 ,
c1,121 ,130 ,149 ,19 ,90 ,64 ,110 ,126 ,
c2,51 ,183 ,96 ,35 ,46 ,20 ,138 ,156 ,
c3,68 ,53 ,62 ,77 ,128 ,41 ,93 ,145 ,
c4,33 ,105 ,66 ,31 ,39 ,6 ,76 ,83 ,
c5,37 ,23 ,31 ,39 ,85 ,16 ,66 ,41 ,
c6,25 ,108 ,40 ,12 ,18 ,8 ,52 ,19 ,
c7,9 ,65 ,50 ,9 ,33 ,7 ,41 ,44 ,
c8,30 ,26 ,61 ,18 ,30 ,12 ,24 ,23 ,
c9,0 ,2 ,1 ,3 ,2 ,0 ,0 ,213 ,
c10,14 ,19 ,25 ,21 ,61 ,11 ,13 ,26 ,
c11,10 ,30 ,18 ,4 ,1 ,0 ,19 ,39 ,
c12,7 ,9 ,4 ,6 ,18 ,6 ,41 ,12 ,
c13,6 ,23 ,6 ,4 ,11 ,2 ,13 ,1 ,
T,493,982,740,309,665,254,795,1067,5305
stage,I,I,II,III,III,III,IV,IV,
