hgnc_symbol,stage1,stage2,stage3,stage4
DPM1,179.879585,2.081632653,284.7751187,101.3402031
SCYL3,117.863931,637.847551,3.000949668,7.992054958
FUCA2,103.1046332,782.0204082,0.177777778,1.548685783
NFYA,4.089527027,76.06122449,71.03532765,157.1887694
STPG1,0.017857143,91.12244898,0.012345679,0.005376344
NIPAL3,56.93219111,105.8571429,19.7977208,130.381123
LAS1L,322.2620656,196.2857143,83.62716048,259.4247312
ENPP4,31.09411197,0.142857143,170.2691358,180.5038829
ANKIB1,411.9840733,8.795918367,1.751946819,318.0107527
CYP51A1,3030.848289,5400.163265,1115.101022,2731.348131
KRIT1,36.0009918,0.102040816,162.069679,174.0341039
RAD52,2.441119691,35.7755102,2.343209877,103.7879331
BAD,34.28281853,0.387755102,0.066666667,17.83128734
LAP3,316.1496139,402.4897959,257.197151,277.6457587
CD99,556.7833012,186.2244898,539.1614435,501.0754182
MAD1L1,71.9107143,0.040816327,2.380436847,126.266129
LASP1,135.6876544,401.8430612,341.2059829,289.2382647
SNX11,1.401785715,0.448979592,94.44444443,0.551672641
TMEM176A,1.270270271,0.163265306,0.217663818,0.047789725
M6PR,629.5114648,761.4114286,1320.745899,683.7184082
CASP10,45.12282819,87.93877551,14.87825261,185.8763441
CFLAR,694.4171718,1018.897959,2074.295026,1837.9423
TFPI,0.364864865,0.040816327,0.022222222,0.018518519
NDUFAF7,18.60194257,0.020408163,0.907358025,1.119348865
RBM5,484.3874518,812.6830612,80.15612537,584.4185723
ARF5,370.6527872,43.69387755,0.576286799,186.4530855
SARM1,0.035955599,0.081632653,0.088888889,0.097968937
POLDIP2,0.313706564,0.040816327,0.244444444,265.7744922
AK2,940.2820562,496.6242857,142.7761064,554.8552181
CD38,16.08035715,82.48979592,0.267426401,93.39695339
FKBP4,0.978040541,156.4897959,100.5536562,261.8517474
RBM6,7081.523663,1191.755102,2308.904083,5060.532375
RECQL,165.4586752,1117.657347,44.01078253,968.4796146
NDUFAB1,289.7420367,743.6734694,348.5555556,706.7037039
SLC25A13,7.139961391,269.7346939,16.99088319,3.148148148
ST7,0.11703668,0.020408163,0.301234568,0.079450418
CDC27,1326.867447,546.4285714,625.94517,1144.000571
HCCS,48.88513514,24.73469388,75.72440645,64.58960573
DVL2,0.013513514,5.489795918,41.78708451,0.00925926
UPF1,220.5653957,80.36734694,1.482431149,40.80973715
SKAP2,243.2680985,3785.122449,758.4053181,428.2362605
SLC25A5,3451.71576,6630.481224,478.5942867,3970.504785
MCUB,180.9341216,0.87755102,167.6108262,61.27060931
POLR2J,39.69024131,78.17653061,66.76787464,420.7124791
DHX33,15.82649614,214.1020408,198.591453,100.4229391
RPAP3,19.09266409,90.46938776,289.7802469,249.1875747
CIAPIN1,36.70101351,2.857142857,316.1777778,141.9796894
SPPL2B,9.250241312,0.040816327,176.2938272,25.55913979
FAM214B,0.008928572,0.020408163,0.282431149,0.611409797
PRKAR2B,0.017857143,0.469387755,27.59107312,0.005376344
MSL3,318.6078668,683.7755102,796.7650523,136.0606332
CREBBP,679.0750483,137.9387755,835.8782527,896.4910396
GCFC2,222.5042278,525.7142857,2.562013295,6.24432497
WDR54,17.78281853,48.02040816,259.8374169,133.6481482
KMT2E,4578.98036,4325.979592,4250.951362,6765.821592
RHBDD2,78.99469111,10.63265306,0.656790123,62.92144564
IBTK,169.0847008,269.5306122,0.403418803,113.7314815
ZNF195,140.2833012,0.469387755,37.13580247,62.74611708
MYCBP2,657.6936318,64.63408163,1844.157217,841.461138
FBXL3,56.5969643,829.7959184,0.341690408,105.2217533
ITGAL,10.95704633,142.6122449,109.1679012,557.3987455
PDK2,6.400579151,0.020408163,7.866666667,23.43518519
ZFX,582.7519305,3163.163265,1410.007977,1051.316607
LAMP2,254.0142374,1205.77551,187.9432099,520.182497
GDE1,49.35068774,11.73469388,706.6194681,11.94875448
REX1BD,92.2951255,0.204081633,2.208357075,175.9820789
MAP3K14,60.98027753,0.020408163,0.428110161,21.83124253
AP2B1,74.71862934,303.9591837,480.34321,59.37275986
ZNF263,0.031370657,0.265306122,0.204938272,35.70131422
SPATA20,0.754584942,0.653061224,12.0997151,0.00925926
TNFRSF12A,8.05357143,0.612244898,0.012345679,12.0337515
MAP3K9,11.5284749,1.755102041,0.049382716,69.83422938
RALA,477.4155406,596.1632653,625.7445395,482.7114696
BAIAP2L1,0.049469112,356.6938776,0.025641026,30.82825568
KDM7A,502.7236969,544.4489796,165.8112061,323.5639188
AGK,106.8305985,0.020408163,285.7323837,75.01045402
PHTF2,537.7705116,1125.979592,229.1052232,29.12514934
FARP2,616.7565152,1379.571429,116.5308642,101.235454
GGCT,0.081081081,0.142857143,0.037986705,0.199820789
DBF4,247.7408277,139.5038776,289.3880703,171.5379988
IFRD1,291.5424711,1123.816327,353.531434,132.7968937
COX10,32.04464286,250.1020408,97.52611586,8.22670251
PAF1,256.0810811,578.1836735,523.710921,427.0044803
VPS41,251.2104247,0.673469388,261.2864198,28.04569892
ELAC2,77.32601351,0.12244898,159.8096866,38.88709678
ADIPOR2,99.26399612,0.285714286,39.56049382,59.80675028
CCDC124,70.55043435,7.632653061,1.483950617,327.7712067
PAFAH1B1,124.7921573,403.0204082,380.0283001,799.6220072
KIAA0100,0.067084942,0.081632653,0.04691358,29.63291518
,15.74324325,0.326530612,0.012345679,4.931003585
TRAPPC6A,208.3153958,567.244898,0.091358025,231.1771207
CEACAM7,0.008928572,158.1428571,0.025641026,123.4148745
CD79B,813.1833977,1121.44898,651.0622981,482.922043
ST7L,104.6882215,63.69387755,126.8790123,1.302270012
TKTL1,0.044642857,0.020408163,0.022222222,0.250896057
LUC7L,150.0897684,1.244897959,547.1977209,152.015233
TSR3,23.45458494,896.482449,0.158024691,5.805173238
PIGQ,0.035714286,0.408163265,48.13333333,0.018518519
CRAMP1,85.58035715,219.4285714,19.35802469,11
DNAJC11,19.55815637,2.102040816,0.290883191,14.94050776
MYLIP,212.3938224,325.6326531,271.6560304,80.79360814
PSMB1,1348.570705,2590.061224,2317.723647,1477.137097
JARID2,45.00916988,373.6734694,543.1557456,772.307049
CDKL5,43.46887066,1.346938776,0.132763533,0.055555556
CDK11A,293.6877703,672.6402041,354.7726724,626.4578225
NADK,570.8643824,0.326530612,60.6148148,14.16965352
CYTH3,0.017857143,2.285714286,0.171320038,4.473715651
SYPL1,1289.38779,151.8367347,1118.330864,261.3712665
SPAG9,246.6932915,633.3061224,728.5612535,164.1771207
CELSR3,12.9867278,0.040816327,0.044444444,0.00925926
SS18L2,1452.454392,313.4489796,713.6719848,791.0170251
MGST1,1.689189189,0.040816327,0.088888889,0.351851852
CRY1,3.326013514,1.326530612,0.267616334,67.45848267
ST3GAL1,224.1942568,0.530612245,103.8433049,405.0286738
IL32,95.54609072,258.8979592,848.043115,645.2968939
PKD1,0.107922298,0.064897959,16.86106363,0.014635604
MED24,0.459942085,0.551020408,92.59525165,6.496415771
SEC62,891.6315155,2645.938776,1256.62982,2820.703107
RPS20,5087.666839,13569.55673,6019.970342,4910.001383
CSDE1,1561.731419,1323.632653,1837.238177,1858.571386
UBE3C,101.9587355,0.183673469,415.9555556,27.31660693
REV3L,372.4814576,821.7346939,1128.080864,1369.720132
FAM76A,348.3778958,1009,248.8355176,392.4381721
TRAF3IP3,202.2861704,0.12244898,73.23582146,45.98028674
VTA1,211.4003378,2940.22449,602.74283,554.0319594
BAZ1B,36.55743243,727.8979592,530.2526116,577.8658901
RANBP9,28.18044401,116.7142857,0.406267806,36.98310633
SPRTN,245.3764479,52.20408163,0.025641026,0.117084827
EEF1AKNMT,0.198117761,0.040816327,1.530864198,0.029271207
DYRK4,45.53292471,0.020408163,0.139221273,57.19528674
ZNF207,603.9088417,2649.660816,1167.099145,764.5055048
UQCRC1,221.2910231,1476.938776,151.0007597,698.5077659
STARD3NL,98.49686295,1187.959184,56.55213674,436.640681
CD9,171.2466216,1.244897959,32.38005698,175.6185782
NCAPD2,11.30164093,29.18367347,241.5234568,124.168184
IFFO1,11.3976834,0.081632653,0.088888889,0.020011948
NISCH,17.05960425,0.020408163,372.4945869,7.737753883
IDS,1316.993205,546.3404082,2589.33423,1194.756661
CD4,108.5796332,1.142857143,0.453751187,20.56600956
BTK,271.8004344,77.93877551,1262.988604,268.4602748
FYN,294.3409749,5.285714286,1039.302184,451.6176822
HIVEP2,230.3177486,195.5246939,2302.533987,261.0166428
ELOA,148.7506298,1.673469388,143.3956315,770.5534499
LYPLA2,23.42471043,0.265306122,23.56790124,209.130227
CLCN6,36.58557674,7.959183673,0.025641026,210.4752091
NME1-NME2,0.43614141,20.29469388,0.254875594,70.31955795
BTBD7,50.68436295,189.4285714,95.79221272,3.093189964
APBA3,0.216216216,0.020408163,14.64444444,9.672341695
ABHD5,44.77193774,0.020408163,0.95308642,17.73596177
AKAP8L,10.08035715,0.020408163,22.64911111,102.5710872
MBTD1,166.14889,0.040816327,0.266666667,223.4483274
UTP18,37.55501931,16.93877551,1340.88585,171.8294504
RNF216,190.3126907,201.9387755,2356.123457,257.1284349
