hgnc_symbol,stage1,stage2,stage3,stage4
M6PR,184.3000599,259.5813793,12.43909722,636.746146
CFLAR,186.4122728,2554.615862,4097.767847,660.8368588
SLC25A5,2222.058527,2939.237586,3010.557917,5807.190786
BIRC3,11461.67982,11158.48276,45184.97917,7770.648239
KPNA6,8252.238599,606.1724138,276.5244444,392.469968
BCLAF1,906.4999301,1262.87069,433.3327778,2850.878622
DCUN1D1,494.0724276,2705.586207,2157.763889,651.2443912
KMT2C,390.338966,1139.481724,452.7916667,539.4815705
ZFR,479.8046953,412.1034483,1.854166667,1394.866186
PPP1R12A,391.1243756,746.1724138,1906.666667,965.9688144
TRAM1,573.8766235,2603.275862,391.798611,1120.941507
RORA,24.89871628,217.25,301.9433333,25.83417468
ATP1B3,2941.561938,5229.137931,4016.423611,2931.268606
DERL2,2973.455545,1542.827586,13.20833333,1524.822917
ZNF638,505.4615385,503.7931034,445.6041667,677.1794872
RAB7A,325.5554445,1378.827586,87.625,1616.125
MRPL22,280.0444555,574.137931,1914.951389,872.2572116
TUT7,539.1143857,1061.172414,1393.541667,557.0112178
STARD7,680.1998002,373.8275862,572.138889,734.7491988
CDV3,1948.067433,4717.448276,1650.833333,2484.614584
HECTD1,128.5524476,1184.103448,6.618055556,775.0633013
SNAP23,7557.249355,2171.181724,1025.449236,303.6607692
CDC5L,301.4185814,869.6551724,465.3194443,2762.697917
MKNK2,2483.581918,1294.793103,1160.090278,546.1073718
EP300,685.7327672,636.3103448,585.5,47.0536859
ERH,139.2957043,962.0689655,41.64583333,175.96875
PRELID3B,817.4510488,1067,11.53472222,1881.497596
TBCB,220.6318681,73.44827586,186.4375,243.338141
RABAC1,321.986014,504.2758621,285.7986111,242.0384615
SEC61B,264.6368632,1011,690.8541667,603.840545
GTPBP4,223.8621379,1153.216897,8.125,827.1937342
CYTH1,296.97003,248.8275862,258.25,1305.404647
PPP6R3,486.6263736,789.7586207,584.0902777,1513.097757
KLRB1,2.726773227,298.6206897,1.868055556,483.6979167
PHACTR2,60.60396603,95.82758621,289.5763889,1498.035513
RTN4,67.501998,925.9655172,396.6527778,473.8173077
GLS,193.2337712,1086.388276,519.3541667,496.6634616
BIRC6,332.3601399,248.0689655,1030.701389,809.9855769
WIPF1,1465.375625,2568.931034,467.0416667,1507.171474
SUMO1,1943.251249,2341.655172,552.0972222,960.0496797
SFPQ,886.7013488,2672.241379,1500.347222,2730.875962
CD48,953.4435564,740.0689655,378.125,1121.664904
MESD,234.8221778,1055.655172,1221.368056,1057.386218
SENP5,165.6113886,323.4827586,97.29861111,397.0905449
SLIRP,224.9847353,1665.655172,419.3819443,437.9791667
RBM25,1597.769571,1914.731379,1696.868056,2583.717813
DUSP4,146.5999001,1545.034483,785.5997223,1008.169872
TARDBP,198.6127972,103.6551724,16.40277778,253.5234535
ADGRE5,1681.54576,1030.862069,1162.465278,1213.088943
ARHGAP9,1133.357143,1195.513448,0.840277778,612.9214742
DDX27,754.700799,409.3793103,669.3611111,674.8060898
SNRNP27,83.42257741,67.79310345,17.04861111,232.4254808
YWHAH,581.2912087,2635.034483,139.3055556,1285.24359
ATP6V1F,524.7118683,585.0534483,355.6805557,1502.178157
COPB1,119.4044106,753.862069,236.2222222,1879.299679
LSM7,618.1603397,1138.724138,730.75,950.2580127
NINJ1,306.9430569,563.7586207,148.8263889,558.2724357
MED10,273.5389611,761.3103448,1.048611111,399.9783654
BTG1,5148.903207,5607.095517,2090.55,2845.789159
EDEM1,1565.259741,2266.62069,503.298611,3599.318911
IL2RA,208.9605394,2828.172414,239.3333333,658.4743588
ETS1,67.14735265,399.5517241,188.7083333,372.1939103
