"","ensembl_gene_id","X","C473","C481","LC03","RC02","RC03","LC01","R03","R02","hgnc_symbol"
"1","ENSG00000001629","ENSG00000001629.9",2,116.1666667,0.230769231,3.3125,0.153846154,0.931034483,1762.25,38.67532468,"ANKIB1"
"2","ENSG00000002330","ENSG00000002330.13",1,136.8014583,0.076923077,27.9375,1.307692308,17.36034483,0.75,260.9483117,"BAD"
"3","ENSG00000002549","ENSG00000002549.12",1,438.75,11.69230769,152,8,474.3793103,669.5,366.3246753,"LAP3"
"4","ENSG00000002586","ENSG00000002586.18",0.5,602.53125,1230.884615,406.90625,1661.538462,903.7068966,713.4583333,491.974026,"CD99"
"5","ENSG00000003056","ENSG00000003056.7",2,1237.492292,36,10.900625,0.230769231,259.5813793,24.41666667,368.3693506,"M6PR"
"6","ENSG00000003402","ENSG00000003402.19",2,1307.058333,14.61538462,8898.851875,20,2554.615862,3392.451667,352.8245455,"CFLAR"
"7","ENSG00000003756","ENSG00000003756.16",1,506.7122917,28.46153846,0.5625,0.230769231,142.4748276,816.6666667,535.0464935,"RBM5"
"8","ENSG00000004455","ENSG00000004455.16",1,853.313125,16.92307692,103.1675,10513.30769,673.4372414,0.265,276.5651948,"AK2"
"9","ENSG00000004468","ENSG00000004468.12",1,1.520833333,7.461538462,9.625,62.61538462,253.3103448,6.916666667,102.8701299,"CD38"
"10","ENSG00000005022","ENSG00000005022.5",4735.94,5345.225417,6269.156154,2027.34625,7.076923077,2939.237586,2268.3875,4437.04013,"SLC25A5"
"11","ENSG00000005075","ENSG00000005075.15",1.37,506.77625,1.711538462,316.54875,2.840769231,2.278275862,2.439166667,245.9944156,"POLR2J"
"12","ENSG00000005483","ENSG00000005483.20",164,3728.081458,3185.307692,3265.75,67,3131.068966,2975.5,9020.957273,"KMT2E"
"13","ENSG00000005486","ENSG00000005486.16",1507,1.791666667,1.461538462,35.1875,0.076923077,302.3793103,0.166666667,179.5584416,"RHBDD2"
"14","ENSG00000005893","ENSG00000005893.15",1187,643.9375,0.076923077,316.125,1.307692308,3.034482759,365.0833333,227.8311688,"LAMP2"
"15","ENSG00000006007","ENSG00000006007.11",6,413.0691667,0.230769231,0.4375,0.461538462,0.743793103,0.083333333,144.625974,"GDE1"
"16","ENSG00000006125","ENSG00000006125.17",5,140.7708333,406,8,1.384615385,142.8275862,2.666666667,163.2207792,"AP2B1"
"17","ENSG00000006451","ENSG00000006451.7",1,1073.395833,0.384615385,2663.9375,1.615384615,551.2068966,859.4141667,867.038961,"RALA"
"18","ENSG00000006634","ENSG00000006634.7",2,306.1610417,1347.846154,0.1875,0.384615385,407.857931,6.5,379.7758442,"DBF4"
"19","ENSG00000006831","ENSG00000006831.9",3,16.47916667,0.076923077,604.625,0.153846154,115.4482759,233.5,262.012987,"ADIPOR2"
"20","ENSG00000007944","ENSG00000007944.14",2,0.729166667,11.23076923,1003.5625,0.230769231,100.5517241,1.083333333,84.77922078,"MYLIP"
"21","ENSG00000008018","ENSG00000008018.8",6,1781.25,270.8461538,610.8125,25.61538462,702.137931,538.75,1645.233766,"PSMB1"
"22","ENSG00000008282","ENSG00000008282.8",1,380.9375,2055.846154,2.5625,1.769230769,704.4137931,0.166666667,475.6363636,"SYPL1"
"23","ENSG00000008324","ENSG00000008324.11",2,1037.25,24.23076923,0.125,3.769230769,1477.172414,0.416666667,1200.675325,"SS18L2"
"24","ENSG00000008517","ENSG00000008517.16",957,226.1710417,21.23076923,6.0625,5918.230769,1324.515172,119.0833333,108.0188312,"IL32"
"25","ENSG00000008952","ENSG00000008952.16",3537,1330.833333,525.0769231,725.375,53.38461538,1794.931034,290.3333333,2361.142857,"SEC62"
"26","ENSG00000008988","ENSG00000008988.9",6,5136.954375,7476.783846,5719.30375,6118.518462,11713.48586,3192.834167,7133.090779,"RPS20"
"27","ENSG00000009307","ENSG00000009307.15",2,1879.604167,885.4615385,503.3125,67.46153846,3138.862069,10.41666667,1983.714286,"CSDE1"
"28","ENSG00000009780","ENSG00000009780.15",2,692,178.8461538,0.8125,495.0769231,73.34482759,2.583333333,470.5844156,"FAM76A"
"29","ENSG00000009844","ENSG00000009844.15",2,899.9166667,1603.923077,630.0625,0.384615385,43.72413793,1.333333333,701.7012987,"VTA1"
"30","ENSG00000009954","ENSG00000009954.10",9402,82.47916667,1793.615385,39.1875,143.7692308,141.9310345,1481,527.1038961,"BAZ1B"
