hgnc_symbol,stage1,stage2,stage3,stage4
DPM1,263.6028971,175.7931034,0.354166667,107.9751603
FUCA2,7.567432568,1.034482759,0.861111111,65.68575319
GCLC,11.25674326,17.75862069,0.048611111,1.364583334
NIPAL3,522.3726273,0.517241379,220.4930556,113.8685897
ENPP4,112.012987,0.068965517,356.9583333,151.625
ANKIB1,19.41458542,0.931034483,589.1875,58.19871797
CYP51A1,587.2147855,1671.62069,495.6805556,2027.086899
KRIT1,1812.041833,0.275862069,0.020833333,88.08044069
RAD52,5.012987013,3.827586207,0.125,66.58333335
BAD,131.128002,17.36034483,9.895833333,68.43919069
LAP3,187.1623377,474.3793103,274.1666667,225.2211538
CD99,1076.756244,903.7068966,373.6215278,916.7079325
MAD1L1,46.44155844,0.379310345,0.076388889,1.391025641
LASP1,72.30489009,275.0513793,118.3801389,4.964182693
SNX11,16.48001998,0.068965517,2.743055556,88.23958335
TMEM176A,1.461538462,0.344827586,306.1319444,0.020833334
M6PR,184.3000599,259.5813793,12.43909722,636.746146
CASP10,3.303696304,117.4827586,29.34027778,1.636217949
CFLAR,186.4122728,2554.615862,4097.767847,660.8368588
NDUFAF7,102.5259741,35.21793103,14.53875,0.443149039
RBM5,267.6386314,142.4748276,272.7430556,267.5869151
ARF5,54.67226273,67.45068966,136.3125694,188.5185417
AK2,5394.936442,673.4372414,34.81083333,435.118101
CD38,82.74275726,253.3103448,5.847222222,4.491185898
FKBP4,0.025974026,177.9462069,147.3055556,68.31681092
KDM1A,29.36963037,0.068965517,1450.520833,160.78125
RBM6,5820.638363,587.1724138,1875.458333,6067.617789
RECQL,174.4582118,673.3193103,206.7939583,114.1877565
NDUFAB1,224.2257742,611.6896552,737.1111111,1465.939103
ST7,0.675324676,80.10344828,0.493055556,0.03125
CDC27,208.7431169,267.9655172,0.611111111,289.1930769
HCCS,94.89460542,4.724137931,3.402777778,110.9447115
UPF1,2.475024975,358.4482759,0.055555556,0.090544872
SKAP2,552.6213787,166.8275862,687.7361111,447.2740385
SLC25A5,2222.058527,2939.237586,3010.557917,5807.190786
MCUB,59.06443559,120.862069,22.13888889,99.03125
POLR2J,124.4175924,2.278275862,106.7859722,254.2438942
DHX33,13.96753247,0.068965517,0.055555556,582.9222757
LIG3,0.012987013,0.034482759,240.3541667,8.875
RPAP3,61.08141858,0.793103448,5.881944444,39.08333334
CIAPIN1,78.97402595,1230.034483,0.305555556,1635.451122
MSL3,313.4915085,607.8275862,492.1597222,244.3365385
CREBBP,282.3001998,1279.172414,41.68055556,505.5801282
WDR54,39.22527472,0.172413793,0.236111111,28.65625
ABCB4,15.36963037,480.4824138,0.020833333,61.9206731
KMT2E,4543.978637,3131.068966,2135.083333,3456.694575
RHBDD2,89.81768234,302.3793103,514.1180556,1.626602565
IBTK,52.34165834,451.8275862,169.9444444,339.8854167
ZNF195,423.9304545,2.310344828,0.076388889,37.16746795
MYCBP2,4438.151768,2113.773793,1225.134861,2008.068991
FBXL3,73.77844155,1.172413793,343.625,237.5794952
ITGAL,50.53796203,913.6551724,0.5625,8.258012819
ITGA3,5.782217783,0.034482759,0.027777778,0.03125
ZFX,332.7117882,634.9310345,365.6805556,703.2027242
LAMP2,114.5694306,3.034482759,622.7361111,322.0072115
GDE1,72.54375623,0.743793103,2.173611111,206.649968
REX1BD,224.7397602,117.3448276,0.444444444,0.083333334
AP2B1,82.30269729,142.8275862,5.222222222,273.3854167
