"","ensembl_gene_id","gene_id","C481","LC03","LC01","RC02","R02","R03","RC03","hgnc_symbol"
"1","ENSG00000000457","ENSG00000000457.13",0.053,0.4,7.8,76,0.36,1.1,0.19,"SCYL3"
"2","ENSG00000001036","ENSG00000001036.13",438,0.1,100,1.3,95,0.9,1.7,"FUCA2"
"3","ENSG00000001167","ENSG00000001167.14",10,13,3,0.034,6.2,0.097,273,"NFYA"
"4","ENSG00000001461","ENSG00000001461.16",1426,71,650,26,625,1239,2394,"NIPAL3"
"5","ENSG00000001629","ENSG00000001629.9",479,551,319,0.069,335,762,1.1,"ANKIB1"
"6","ENSG00000001630","ENSG00000001630.15",1569,1315,435,674,282,2.9,314,"CYP51A1"
"7","ENSG00000001631","ENSG00000001631.15",0.26,26,65,611,248,0.032,354,"KRIT1"
"8","ENSG00000002330","ENSG00000002330.13",337,408,276,0.034,133,22,4.6,"BAD"
"9","ENSG00000002549","ENSG00000002549.12",1475,1188,1077,7.7,1150,0.61,26,"LAP3"
"10","ENSG00000002586","ENSG00000002586.18",1564,1566,785,381,738,532,669,"CD99"
"11","ENSG00000002822","ENSG00000002822.15",3.9,41,215,0.034,139,0.097,0.032,"MAD1L1"
"12","ENSG00000002834","ENSG00000002834.17",1140,726,274,402,297,484,314,"LASP1"
"13","ENSG00000002933","ENSG00000002933.7",0.079,0.05,0.54,0.14,15,0.29,11,"TMEM176A"
"14","ENSG00000003056","ENSG00000003056.7",329,1645,286,1012,1065,478,104,"M6PR"
"15","ENSG00000003147","ENSG00000003147.17",710,230,583,94,445,0.16,1,"ICA1"
"16","ENSG00000003400","ENSG00000003400.14",7.7,0.75,35,4.4,40,0.16,345,"CASP10"
"17","ENSG00000003402","ENSG00000003402.19",3262,3224,3216,1676,3472,1546,484,"CFLAR"
"18","ENSG00000003756","ENSG00000003756.16",332,571,744,462,533,0.52,509,"RBM5"
"19","ENSG00000004059","ENSG00000004059.10",194,696,707,554,352,0.065,103,"ARF5"
"20","ENSG00000004455","ENSG00000004455.16",273,723,97,397,259,10,264,"AK2"
"21","ENSG00000004468","ENSG00000004468.12",293,324,39,356,117,640,371,"CD38"
"22","ENSG00000004478","ENSG00000004478.7",201,0.15,0.41,118,88,16,203,"FKBP4"
"23","ENSG00000004487","ENSG00000004487.15",1.6,0.1,270,1053,319,0.42,96,"KDM1A"
"24","ENSG00000004534","ENSG00000004534.14",1751,4975,620,1229,1295,903,5517,"RBM6"
"25","ENSG00000004700","ENSG00000004700.15",6.3,398,1216,153,251,250,74,"RECQL"
"26","ENSG00000004779","ENSG00000004779.9",1073,343,635,61,607,338,310,"NDUFAB1"
"27","ENSG00000004864","ENSG00000004864.13",29,0.1,114,0.034,55,0.42,2.8,"SLC25A13"
"28","ENSG00000004866","ENSG00000004866.20",18,7.6,0.035,0.034,35,24,0.26,"ST7"
"29","ENSG00000004897","ENSG00000004897.11",538,604,68,35,231,0.13,11,"CDC27"
"30","ENSG00000004961","ENSG00000004961.14",440,329,559,23,172,15,1865,"HCCS"
"31","ENSG00000005020","ENSG00000005020.12",11,122,154,0.48,18,24,954,"SKAP2"
"32","ENSG00000005022","ENSG00000005022.5",2945,985,5046,1057,3417,1457,2655,"SLC25A5"
"33","ENSG00000005059","ENSG00000005059.15",349,3.4,438,0.17,410,878,36,"MCUB"
"34","ENSG00000005075","ENSG00000005075.15",148,213,1087,1.7,339,395,305,"POLR2J"
"35","ENSG00000005175","ENSG00000005175.9",57,0.25,392,288,102,25,1,"RPAP3"
"36","ENSG00000005194","ENSG00000005194.14",254,0.1,263,45,486,0.55,1.3,"CIAPIN1"
"37","ENSG00000005302","ENSG00000005302.17",635,1127,572,135,420,1144,14,"MSL3"
"38","ENSG00000005339","ENSG00000005339.14",7.2,1527,681,583,1103,419,0.42,"CREBBP"
"39","ENSG00000005436","ENSG00000005436.13",137,4.2,78,67,43,3.1,142,"GCFC2"
"40","ENSG00000005448","ENSG00000005448.16",247,97,206,0.034,43,0.94,733,"WDR54"
"41","ENSG00000005483","ENSG00000005483.20",5269,3864,7821,2284,4760,1816,4895,"KMT2E"
"42","ENSG00000005486","ENSG00000005486.16",1779,287,486,2.4,954,23,103,"RHBDD2"
"43","ENSG00000005700","ENSG00000005700.14",239,0.1,122,242,357,0.16,0.32,"IBTK"
"44","ENSG00000005801","ENSG00000005801.16",78,514,1.6,15,305,0.065,502,"ZNF195"
"45","ENSG00000005810","ENSG00000005810.17",1927,2104,323,215,1533,144,2697,"MYCBP2"
"46","ENSG00000005812","ENSG00000005812.10",6.1,110,387,0.48,384,0.71,19,"FBXL3"
"47","ENSG00000005844","ENSG00000005844.17",575,653,564,513,1045,0.032,431,"ITGAL"
"48","ENSG00000005889","ENSG00000005889.15",141,364,641,1863,1111,967,1184,"ZFX"
"49","ENSG00000005893","ENSG00000005893.15",671,17,493,0.55,456,0.52,2.2,"LAMP2"
"50","ENSG00000006007","ENSG00000006007.11",56,340,704,117,421,318,9.6,"GDE1"
"51","ENSG00000006015","ENSG00000006015.17",0.71,136,88,23,261,0.065,0.65,"REX1BD"
"52","ENSG00000006125","ENSG00000006125.17",37,444,256,24,166,6.8,162,"AP2B1"
"53","ENSG00000006432","ENSG00000006432.15",28,331,197,161,0.56,0.52,307,"MAP3K9"
"54","ENSG00000006451","ENSG00000006451.7",1035,439,1009,326,476,361,1235,"RALA"
"55","ENSG00000006530","ENSG00000006530.15",0.76,22,0.89,572,56,0.097,147,"AGK"
"56","ENSG00000006576","ENSG00000006576.16",316,467,421,1363,635,454,2704,"PHTF2"
"57","ENSG00000006634","ENSG00000006634.7",525,153,1319,658,395,399,934,"DBF4"
"58","ENSG00000006652","ENSG00000006652.13",6.1,80,668,133,290,653,1921,"IFRD1"
"59","ENSG00000006712","ENSG00000006712.14",70,1.8,158,0.24,313,273,83,"PAF1"
"60","ENSG00000006715","ENSG00000006715.15",314,193,295,0.069,72,0.19,1090,"VPS41"
"61","ENSG00000006744","ENSG00000006744.18",8.1,0.05,44,0.24,103,0.65,0.32,"ELAC2"
"62","ENSG00000006831","ENSG00000006831.9",1.7,94,603,52,467,171,4.6,"ADIPOR2"
"63","ENSG00000007080","ENSG00000007080.10",438,855,238,33,284,249,1.6,"CCDC124"
"64","ENSG00000007168","ENSG00000007168.12",711,191,179,6.9,409,1315,945,"PAFAH1B1"
"65","ENSG00000007202","ENSG00000007202.14",0.92,0.35,139,6.2,129,0.13,16,"KIAA0100"
"66","ENSG00000007255","ENSG00000007255.10",399,0.8,505,399,396,483,1482,"TRAPPC6A"
"67","ENSG00000007312","ENSG00000007312.12",25,165,65,0.034,25,0.065,1522,"CD79B"
"68","ENSG00000007341","ENSG00000007341.18",0.079,236,36,2.2,57,13,149,"ST7L"
"69","ENSG00000007392","ENSG00000007392.16",11,779,537,675,362,3.6,258,"LUC7L"
"70","ENSG00000007520","ENSG00000007520.3",127,0.05,25,5.4,42,0.26,0.16,"TSR3"
"71","ENSG00000007923","ENSG00000007923.15",0.053,3,0.12,0.69,23,0.13,230,"DNAJC11"
"72","ENSG00000007944","ENSG00000007944.14",0.16,284,18,0.14,437,6.7,697,"MYLIP"
"73","ENSG00000008018","ENSG00000008018.8",2951,3789,2070,1208,1436,2259,2383,"PSMB1"
"74","ENSG00000008083","ENSG00000008083.13",857,288,299,253,593,458,0.42,"JARID2"
"75","ENSG00000008128","ENSG00000008128.22",235,1680,413,700,525,274,247,"CDK11A"
"76","ENSG00000008130","ENSG00000008130.15",6.8,2.4,52,2.5,20,0.61,0.23,"NADK"
"77","ENSG00000008256","ENSG00000008256.15",220,0.45,97,0.28,179,634,0.065,"CYTH3"
"78","ENSG00000008294","ENSG00000008294.20",461,263,405,365,572,32,152,"SPAG9"
"79","ENSG00000008324","ENSG00000008324.11",642,16,1960,262,905,0.97,2635,"SS18L2"
"80","ENSG00000008405","ENSG00000008405.11",493,0.05,457,0.034,292,200,0.065,"CRY1"
"81","ENSG00000008513","ENSG00000008513.14",473,110,415,113,500,9.3,185,"ST3GAL1"
"82","ENSG00000008517","ENSG00000008517.16",10727,17781,13251,7060,14992,8736,14394,"IL32"
"83","ENSG00000008952","ENSG00000008952.16",1488,2821,1902,752,1699,896,1798,"SEC62"
"84","ENSG00000008988","ENSG00000008988.9",2441,6178,7579,4165,4396,2740,4283,"RPS20"
"85","ENSG00000009307","ENSG00000009307.15",1690,1119,3142,2052,1937,3460,3713,"CSDE1"
"86","ENSG00000009335","ENSG00000009335.17",608,113,2.1,364,8.4,0.097,14,"UBE3C"
"87","ENSG00000009413","ENSG00000009413.15",876,2615,1124,197,528,0.94,456,"REV3L"
"88","ENSG00000009780","ENSG00000009780.15",690,785,358,208,412,253,1375,"FAM76A"
"89","ENSG00000009790","ENSG00000009790.14",1337,1343,211,2867,519,1056,759,"TRAF3IP3"
"90","ENSG00000009954","ENSG00000009954.10",685,112,506,738,522,5.4,1.3,"BAZ1B"
"91","ENSG00000010017","ENSG00000010017.12",1037,440,1044,55,804,619,702,"RANBP9"
"92","ENSG00000010072","ENSG00000010072.15",123,0.1,10,73,208,0.032,0.45,"SPRTN"
"93","ENSG00000010219","ENSG00000010219.13",106,0.3,40,82,50,0.26,0.39,"DYRK4"
"94","ENSG00000010244","ENSG00000010244.18",502,357,1425,444,1513,803,1199,"ZNF207"
"95","ENSG00000010256","ENSG00000010256.10",1341,106,1061,0.55,840,1.1,5.8,"UQCRC1"
"96","ENSG00000010270","ENSG00000010270.13",135,282,1267,0.38,129,0.45,0.58,"STARD3NL"
"97","ENSG00000010278","ENSG00000010278.12",161,1.1,260,497,62,0.45,2.8,"CD9"
"98","ENSG00000010292","ENSG00000010292.12",0.5,0.05,75,217,28,0.032,42,"NCAPD2"
"99","ENSG00000010295","ENSG00000010295.19",0.55,1.2,0.053,5.3,26,0.13,0.13,"IFFO1"
"100","ENSG00000010322","ENSG00000010322.15",0.61,0.1,63,0.31,50,0.065,0.74,"NISCH"
"101","ENSG00000010404","ENSG00000010404.17",2913,1353,2128,1657,2447,11,1493,"IDS"
"102","ENSG00000010610","ENSG00000010610.9",477,1148,1753,751,744,1040,140,"CD4"
"103","ENSG00000010810","ENSG00000010810.17",4598,5484,3563,4042,3197,2280,896,"FYN"
"104","ENSG00000010818","ENSG00000010818.9",69,56,363,0.41,442,92,0.68,"HIVEP2"
"105","ENSG00000011007","ENSG00000011007.12",391,2406,218,243,332,0.32,0.52,"ELOA"
"106","ENSG00000011009","ENSG00000011009.10",446,203,0.19,1,86,0.26,2.9,"LYPLA2"
"107","ENSG00000011052","ENSG00000011052.21",0.45,0.13,1.2,9.1,6.2,71,0.06,"NME1-NME2"
"108","ENSG00000011114","ENSG00000011114.14",755,26,360,103,438,106,0.19,"BTBD7"
"109","ENSG00000011198","ENSG00000011198.7",0.026,0.15,53,0.31,2.7,165,0.032,"ABHD5"
"110","ENSG00000011260","ENSG00000011260.13",658,21,37,0.034,447,559,52,"UTP18"
"111","ENSG00000011275","ENSG00000011275.18",523,2.6,321,74,54,0.35,340,"RNF216"
"112","ENSG00000011295","ENSG00000011295.15",21,0.85,45,21,405,0.16,729,"TTC19"
"113","ENSG00000011304","ENSG00000011304.19",191,25,1031,565,327,478,1051,"PTBP1"
"114","ENSG00000011405","ENSG00000011405.13",0.13,3.3,119,0.069,40,0.032,0.84,"PIK3C2A"
"115","ENSG00000011422","ENSG00000011422.11",861,5.5,213,2.6,4.5,20,12,"PLAUR"
"116","ENSG00000011454","ENSG00000011454.16",0.079,21,0.018,366,164,0.16,0.13,"RABGAP1"
"117","ENSG00000011523","ENSG00000011523.13",199,0.1,1.2,0.17,69,0.065,463,"CEP68"
"118","ENSG00000011590","ENSG00000011590.13",234,0.1,26,42,108,0.13,99,"ZBTB32"
"119","ENSG00000011600","ENSG00000011600.11",0.32,8.8,254,0.62,0.24,1.2,17,"TYROBP"
"120","ENSG00000011638","ENSG00000011638.10",81,622,37,109,92,1551,424,"TMEM159"
"121","ENSG00000012061","ENSG00000012061.15",337,585,1010,69,250,17,0.87,"ERCC1"
"122","ENSG00000012660","ENSG00000012660.13",945,2545,2383,1456,1329,1495,1208,"ELOVL5"
"123","ENSG00000012822","ENSG00000012822.15",0.18,0.55,2.9,0.21,86,0.032,486,"CALCOCO1"
