hgnc_symbol,stage_I,stage_II,stage_III,stage_IV
DPM1,258.84,143,0.016,771.5
SCYL3,0.275,7.8,38.55,0.2265
C1orf112,25.71,52,16.5,4.3765
FUCA2,48.35,100,1.1,219.05
GCLC,100.16,0.18,102.63,0.195
NFYA,139.6,3,0.0655,11.5
NIPAL3,1509.5,650,632.5,748.5
LAS1L,432,4.4,0.0345,194
ENPP4,32.16,0.035,0.0345,48.5
ANKIB1,168.05,319,381.0345,515
CYP51A1,298,435,338.45,1442
KRIT1,301,65,305.516,13.13
RAD52,18.55,445,93.5,15.05
BAD,68.8,276,11.017,372.5
LAP3,588,1077,4.155,1331.5
CD99,703.5,785,456.5,1565
MAD1L1,69.516,215,0.0655,22.45
LASP1,305.5,274,443,933
SNX11,40.016,0.12,51,81.5
TMEM176A,13,0.54,0.215,0.0645
M6PR,584.5,286,745,987
ICA1,223,583,47.08,470
CASP10,192.5,35,2.28,4.225
CFLAR,1978,3216,1611,3243
NDUFAF7,82.0485,4.7,0.016,0.21
RBM5,521,744,231.26,451.5
ARF5,227.5,707,277.0325,445
SARM1,2.266,108,0.016,0.185
POLDIP2,34.5,14,0.12,0.75
PLXND1,0.08,0.053,230.516,0.315
AK2,261.5,97,203.5,498
CD38,244,39,498,308.5
FKBP4,145.5,0.41,67,100.575
KDM1A,207.5,270,526.71,0.85
RBM6,3406,620,1066,3363
RECQL,162.5,1216,201.5,202.15
NDUFAB1,458.5,635,199.5,708
SLC25A13,28.9,114,0.227,14.55
ST7,17.63,0.035,12.017,12.8
CDC27,121,68,17.565,571
HCCS,1018.5,559,19,384.5
DVL2,1.63,0.035,1.95,101
UPF1,615.5,350,79,7.555
SKAP2,486,154,12.24,66.5
SLC25A5,3036,5046,1257,1965
MCUB,223,438,439.085,176.2
POLR2J,322,1087,198.35,180.5
LIG3,28.155,0.75,0.075,85.05
RPAP3,51.5,392,156.5,28.625
CIAPIN1,243.65,263,22.775,127.05
SPPL2B,0.0465,0.053,10.565,0.065
FAM214B,1.2825,0.07,0.0325,0.0395
MSL3,217,572,639.5,881
CREBBP,551.71,681,501,767.1
GCFC2,92.5,78,35.05,70.6
WDR54,388,206,0.487,172
KMT2E,4827.5,7821,2050,4566.5
