"","stage1","stage2","stage3","stage4"
"ENSG00000000419.12",263.602897127,175.7931034,0.354166666666667,107.975160275
"ENSG00000001036.13",7.5674325675,1.034482759,0.861111111,65.6857531885
"ENSG00000001084.10",11.256743256,17.75862069,0.048611111,1.3645833335
"ENSG00000001461.16",522.3726273075,0.517241379,220.493055555667,113.868589727
"ENSG00000001561.6",112.012987,0.068965517,356.958333333333,151.625
"ENSG00000001629.9",19.414585417,0.931034483,589.1875,58.1987179655
"ENSG00000001630.15",587.21478546,1671.62069,495.680555566667,2027.086899
"ENSG00000001631.15",1812.041833013,0.275862069,0.0208333333333333,88.08044069
"ENSG00000002016.17",5.012987013,3.827586207,0.125,66.58333335
"ENSG00000002330.13",131.128002004,17.36034483,9.89583333333333,68.4391906885
"ENSG00000002549.12",187.16233765,474.3793103,274.166666666667,225.221153845
"ENSG00000002586.18",1076.756244,903.7068966,373.621527766667,916.7079325
"ENSG00000002586.18_PAR_Y",1076.756244,903.7068966,373.621527766667,916.7079325
"ENSG00000002822.15",46.44155844,0.379310345,0.076388889,1.391025641
"ENSG00000002834.17",72.3048900885,275.0513793,118.380138889,4.9641826925
"ENSG00000002919.14",16.4800199785,0.068965517,2.74305555566667,88.23958335
"ENSG00000002933.7",1.4615384615,0.344827586,306.131944444333,0.0208333335
"ENSG00000003056.7",184.3000599155,259.5813793,12.4390972233333,636.746146
"ENSG00000003400.14",3.303696304,117.4827586,29.3402777776667,1.636217949
"ENSG00000003402.19",186.41227275,2554.615862,4097.76784733333,660.83685881
"ENSG00000003509.15",102.52597405,35.21793103,14.53875,0.4431490385
"ENSG00000003756.16",267.6386313655,142.4748276,272.743055566667,267.58691508
"ENSG00000004059.10",54.672262731,67.45068966,136.312569444333,188.51854165
"ENSG00000004455.16",5394.9364424,673.4372414,34.8108333333333,435.11810096
"ENSG00000004468.12",82.74275726,253.3103448,5.84722222233333,4.4911858975
"ENSG00000004478.7",0.025974026,177.9462069,147.305555566667,68.3168109165
"ENSG00000004487.15",29.3696303685,0.068965517,1450.52083333333,160.78125
"ENSG00000004534.14",5820.6383628,587.1724138,1875.45833333333,6067.6177885
"ENSG00000004700.15",174.4582118075,673.3193103,206.793958333333,114.18775645
"ENSG00000004779.9",224.2257742155,611.6896552,737.111111111,1465.9391025
"ENSG00000004866.20",0.6753246755,80.10344828,0.493055555666667,0.03125
"ENSG00000004897.11",208.7431169,267.9655172,0.611111111,289.193076923
"ENSG00000004961.14",94.8946054155,4.724137931,3.40277777766667,110.94471154
"ENSG00000005007.12",2.475024975,358.4482759,0.0555555556666667,0.090544872
"ENSG00000005020.12",552.621378654,166.8275862,687.736111111,447.27403845
"ENSG00000005022.5",2222.0585265385,2939.237586,3010.55791666667,5807.1907855
"ENSG00000005059.15",59.0644355885,120.862069,22.138888889,99.03125
"ENSG00000005075.15",124.4175924155,2.278275862,106.785972222333,254.243894231
"ENSG00000005100.12",13.96753247,0.068965517,0.0555555556666667,582.92227565
