"","stage1","stage2","stage3","stage4"
"ENSG00000000003.14",0.0384615385,0.034482759,0,0
"ENSG00000000005.5",0,0,0,0
"ENSG00000000419.12",263.602897127,175.7931034,0.354166666666667,107.975160275
"ENSG00000000457.13",0.057942058,0,0.666666666666667,0.03125
"ENSG00000000460.16",0.0384615385,0.068965517,0,4.7604166665
"ENSG00000000938.12",1.1493506495,61.44827586,0,41.520833335
"ENSG00000000971.15",2.152987013,0.103448276,0,0.0208333335
"ENSG00000001036.13",7.5674325675,1.034482759,0.861111111,65.6857531885
"ENSG00000001084.10",11.256743256,17.75862069,0.048611111,1.3645833335
"ENSG00000001167.14",46.025974025,0.137931034,0,0.6875
"ENSG00000001460.17",0.051948052,0.034482759,0,128.6658654
"ENSG00000001461.16",522.3726273075,0.517241379,220.493055555667,113.868589727
"ENSG00000001497.16",217.34415585,0.034482759,0,122.898237195
"ENSG00000001561.6",112.012987,0.068965517,356.958333333333,151.625
"ENSG00000001617.11",0,0,0,0
"ENSG00000001626.14",0,0,0,0
"ENSG00000001629.9",19.414585417,0.931034483,589.1875,58.1987179655
"ENSG00000001630.15",587.21478546,1671.62069,495.680555566667,2027.086899
"ENSG00000001631.15",1812.041833013,0.275862069,0.0208333333333333,88.08044069
"ENSG00000002016.17",5.012987013,3.827586207,0.125,66.58333335
"ENSG00000002079.14",0,0,0,0
"ENSG00000002330.13",131.128002004,17.36034483,9.89583333333333,68.4391906885
"ENSG00000002549.12",187.16233765,474.3793103,274.166666666667,225.221153845
"ENSG00000002586.18",1076.756244,903.7068966,373.621527766667,916.7079325
"ENSG00000002586.18_PAR_Y",1076.756244,903.7068966,373.621527766667,916.7079325
"ENSG00000002587.9",0.025974026,0,0,0.048878205
"ENSG00000002726.20",0,0,0.729166666666667,0.0208333335
"ENSG00000002745.12",0.0384615385,0,0.0208333333333333,11.197916665
"ENSG00000002746.14",0,0.068965517,0,0
"ENSG00000002822.15",46.44155844,0.379310345,0.076388889,1.391025641
"ENSG00000002834.17",72.3048900885,275.0513793,118.380138889,4.9641826925
"ENSG00000002919.14",16.4800199785,0.068965517,2.74305555566667,88.23958335
"ENSG00000002933.7",1.4615384615,0.344827586,306.131944444333,0.0208333335
"ENSG00000003056.7",184.3000599155,259.5813793,12.4390972233333,636.746146
"ENSG00000003096.14",0,0.034482759,0,0
"ENSG00000003137.8",0.076923077,0,0,0
"ENSG00000003147.17",1.2002997005,1.620689655,0,0.0833333335
"ENSG00000003249.13",24.636363635,1,0,0
"ENSG00000003393.14",15.018481517,0.034482759,0,140.665064085
"ENSG00000003400.14",3.303696304,117.4827586,29.3402777776667,1.636217949
"ENSG00000003402.19",186.41227275,2554.615862,4097.76784733333,660.83685881
"ENSG00000003436.15",0.230769231,32.88758621,0.118055555666667,0
"ENSG00000003509.15",102.52597405,35.21793103,14.53875,0.4431490385
"ENSG00000003756.16",267.6386313655,142.4748276,272.743055566667,267.58691508
"ENSG00000003987.13",27.993506495,0,0,0
"ENSG00000003989.17",0.0384615385,0,0,0
"ENSG00000004059.10",54.672262731,67.45068966,136.312569444333,188.51854165
"ENSG00000004139.13",0.0064935065,0.035862069,0,0.0208333335
"ENSG00000004142.11",27.9010989005,0.448275862,0,66.98958335
"ENSG00000004399.12",0,0,21.125,0.0520833335
"ENSG00000004455.16",5394.9364424,673.4372414,34.8108333333333,435.11810096
"ENSG00000004468.12",82.74275726,253.3103448,5.84722222233333,4.4911858975
