Ensembl_ID,C473,C481,LC03,RC02,RC03,LC01,R03,R02
ENSG00000000003.14,0,0,0,0,0.076923077,0.034482759,0,0
ENSG00000000005.5,0,0,0,0,0,0,0,0
ENSG00000000419.12,0,167.1041667,48.84615385,0.0625,0.153846154,175.7931034,1,527.0519481
ENSG00000000457.13,0,0.0625,0,0,0.076923077,0,2,0.038961039
ENSG00000000460.16,0,9.520833333,0,0,0.076923077,0.068965517,0,0
ENSG00000000938.12,0,83.04166667,0,0,2,61.44827586,0,0.298701299
ENSG00000000971.15,0,0.041666667,0,0,4.28,0.103448276,0,0.025974026
ENSG00000001036.13,0,131.2945833,0.076923077,0.5,0.615384615,1.034482759,2.083333333,14.51948052
ENSG00000001084.10,0,2.729166667,0,0.0625,0.461538462,17.75862069,0.083333333,22.05194805
ENSG00000001167.14,0,1.375,0,0,0,0.137931034,0,92.05194805
ENSG00000001460.17,0,3.5625,253.7692308,0,0,0.034482759,0,0.103896104
ENSG00000001461.16,0,227.5833333,0.153846154,660.8125,2.615384615,0.517241379,0.666666667,1042.12987
ENSG00000001497.16,0,187.1041667,58.69230769,0,0,0.034482759,0,434.6883117
ENSG00000001561.6,0,303.25,0,710.375,0,0.068965517,360.5,224.025974
ENSG00000001617.11,0,0,0,0,0,0,0,0
ENSG00000001626.14,0,0,0,0,0,0,0,0
ENSG00000001629.9,2,116.1666667,0.230769231,3.3125,0.153846154,0.931034483,1762.25,38.67532468
ENSG00000001630.15,0,2406.096875,1648.076923,1029.875,69.92307692,1671.62069,457.1666667,1104.506494
ENSG00000001631.15,0,111.0839583,65.07692308,0.0625,3623.307692,0.275862069,0,0.775974026
ENSG00000002016.17,0,133.1666667,0,0.375,10,3.827586207,0,0.025974026
ENSG00000002079.14,0,0,0,0,0,0,0,0
ENSG00000002330.13,1,136.8014583,0.076923077,27.9375,1.307692308,17.36034483,0.75,260.9483117
ENSG00000002549.12,1,438.75,11.69230769,152,8,474.3793103,669.5,366.3246753
ENSG00000002586.18,0.5,602.53125,1230.884615,406.90625,1661.538462,903.7068966,713.4583333,491.974026
ENSG00000002586.18_PAR_Y,0.5,602.53125,1230.884615,406.90625,1661.538462,903.7068966,713.4583333,491.974026
ENSG00000002587.9,0,0.020833333,0.076923077,0,0,0,0,0.051948052
ENSG00000002726.20,0,0.041666667,0,2.1875,0,0,0,0
ENSG00000002745.12,0,22.39583333,0,0.0625,0.076923077,0,0,0
ENSG00000002746.14,0,0,0,0,0,0.068965517,0,0
ENSG00000002822.15,0,0.166666667,2.615384615,0.0625,0,0.379310345,0.166666667,92.88311688
ENSG00000002834.17,0,0.54375,9.384615385,354.78875,0.256923077,275.0513793,0.351666667,144.3528571
ENSG00000002919.14,0,176.4791667,0,0.0625,0.076923077,0.068965517,8.166666667,32.88311688
ENSG00000002933.7,0,0.041666667,0,918.3125,2.923076923,0.344827586,0.083333333,0
