"","stage1","stage2","stage3","stage4"
"ENSG00000000003.14",0.054054054,0,0,0
"ENSG00000000005.5",0,0,0,0
"ENSG00000000419.12",179.87958495,2.081632653,284.775118695,101.3402031
"ENSG00000000457.13",117.863930965,637.847551,3.00094966766667,7.9920549575
"ENSG00000000460.16",0.1116964285,2.417755102,0,189.1859617645
"ENSG00000000938.12",7.0494691105,47.16326531,0,0.361111111
"ENSG00000000971.15",1.5979826255,0,0.0222222223333333,0.1446326165
"ENSG00000001036.13",103.104633185,782.0204082,0.177777777666667,1.5486857825
"ENSG00000001084.10",81.927123565,0,43.709591659,390.18817205
"ENSG00000001167.14",4.089527027,76.06122449,71.0353276473333,157.1887694
"ENSG00000001460.17",0.017857143,91.12244898,0.012345679,0.005376344
"ENSG00000001461.16",56.9321911055,105.8571429,19.7977207986667,130.381123037
"ENSG00000001497.16",322.2620656355,196.2857143,83.6271604826667,259.4247312
"ENSG00000001561.6",31.0941119705,0.142857143,170.269135789,180.5038829
"ENSG00000001617.11",0.0135135135,0,0.172839506333333,0
"ENSG00000001626.14",0,0,0,0
"ENSG00000001629.9",411.984073343,8.795918367,1.75194681866667,318.0107527
"ENSG00000001630.15",3030.8482892,5400.163265,1115.10102176667,2731.3481305
"ENSG00000001631.15",36.000991796,0.102040816,162.069679011,174.03410392
"ENSG00000002016.17",2.441119691,35.7755102,2.34320987666667,103.7879330795
"ENSG00000002079.14",0,0,0,0
"ENSG00000002330.13",34.2828185305,0.387755102,0.0666666666666667,17.831287337
"ENSG00000002549.12",316.149613895,402.4897959,257.197151007333,277.64575865
"ENSG00000002586.18",556.7833012,186.2244898,539.161443469,501.07541815
"ENSG00000002586.18_PAR_Y",556.7833012,186.2244898,539.161443469,501.07541815
"ENSG00000002587.9",0.1216216215,0,0.0444444443333333,0.702210275
"ENSG00000002726.20",0,0,0,3.259856631
"ENSG00000002745.12",5.0436776065,0,0.288888889,0.3303464755
"ENSG00000002746.14",0.0135135135,0,0.0256410256666667,0
"ENSG00000002822.15",71.9107143,0.040816327,2.380436847,126.2661290325
"ENSG00000002834.17",135.687654443,401.8430612,341.205982911,289.23826465
"ENSG00000002919.14",1.4017857145,0.448979592,94.4444444333333,0.5516726405
"ENSG00000002933.7",1.2702702705,0.163265306,0.217663817666667,0.047789725
"ENSG00000003056.7",629.51146475,761.4114286,1320.745899295,683.7184082
"ENSG00000003096.14",0,0,0,0
"ENSG00000003137.8",0,0,0,0
"ENSG00000003147.17",0.2333494205,0.040816327,0,1.193847073
"ENSG00000003249.13",1.727799228,0,0,0
"ENSG00000003393.14",0.022442085,109.4081633,0.0666666666666667,0
"ENSG00000003400.14",45.122828187,87.93877551,14.8782526123333,185.876344065
"ENSG00000003402.19",694.4171718,1018.897959,2074.29502566667,1837.9422998
"ENSG00000003436.15",0.364864865,0.040816327,0.0222222223333333,0.0185185185
"ENSG00000003509.15",18.6019425675,0.020408163,0.907358024666667,1.119348865
"ENSG00000003756.16",484.38745175,812.6830612,80.1561253686667,584.4185723
"ENSG00000003987.13",0.227799228,0,0,6.158900838
"ENSG00000003989.17",0.027027027,0,0.0444444443333333,0
"ENSG00000004059.10",370.65278715,43.69387755,0.576286799333333,186.45308545
"ENSG00000004139.13",0.0359555985,0.081632653,0.088888889,0.0979689365
"ENSG00000004142.11",0.3137065635,0.040816327,0.244444444333333,265.7744922195
"ENSG00000004399.12",0.0535714285,0,0,0.005376344
"ENSG00000004455.16",940.282056215,496.6242857,142.776106372333,554.85521805
"ENSG00000004468.12",16.080357145,82.48979592,0.267426401,93.39695339
"ENSG00000004478.7",0.9780405405,156.4897959,100.553656211,261.85174735
"ENSG00000004487.15",21.0224420865,0,0.750617284,6.1063321375
"ENSG00000004534.14",7081.523663,1191.755102,2308.90408333333,5060.5323745
"ENSG00000004660.14",142.13392855,0,0.0873694206666667,5.4865591385
"ENSG00000004700.15",165.4586751715,1117.657347,44.0107825283333,968.479614555
"ENSG00000004766.15",0.0405405405,0.081632653,0,0.2090800475
"ENSG00000004776.12",0,0,0,0
"ENSG00000004777.18",0.0089285715,0,0,0.005376344
"ENSG00000004779.9",289.742036658,743.6734694,348.555555566667,706.70370385
"ENSG00000004799.7",0.0405405405,0.040816327,0,0.005376344
"ENSG00000004809.13",0,0,0,0
"ENSG00000004838.13",0,0,0,0
"ENSG00000004846.16",0,0.020408163,0.0222222223333333,0.0185185185
"ENSG00000004848.7",0,0,0,0
"ENSG00000004864.13",7.1399613905,269.7346939,16.9908831903333,3.148148148
"ENSG00000004866.20",0.1170366795,0.020408163,0.301234568,0.079450418
