Ensembl_ID,C473,C481,LC03,RC02,RC03,LC01,R03,R02
ENSG00000000003.14,0,0,0,0,0.108108108,0,0,0
ENSG00000000005.5,0,0,0,0,0,0,0,0
ENSG00000000419.12,692.5333333,106.3148148,96.3655914,0.384615385,153.027027,2.081632653,161.4074074,206.7321429
ENSG00000000457.13,0.333333333,15.95185185,0.032258065,8.076923077,206.5405405,637.847551,0.592592593,29.18732143
ENSG00000000460.16,0,374.3074074,4.064516129,0,0,2.417755102,0,0.223392857
ENSG00000000938.12,0,0.722222222,0,0,0.081081081,47.16326531,0,14.01785714
ENSG00000000971.15,0.066666667,0.210555556,0.078709677,0,3.178108108,0,0,0.017857143
ENSG00000001036.13,0.533333333,0.12962963,2.967741935,0,113.8378378,782.0204082,0,92.37142857
ENSG00000001084.10,0.2,448.6666667,331.7096774,0.076923077,151.6756757,0,130.8518519,12.17857143
ENSG00000001167.14,193.8666667,136.9259259,177.4516129,0.461538462,0.054054054,76.06122449,18.77777778,8.125
ENSG00000001460.17,0,0,0.010752688,0,0,91.12244898,0.037037037,0.035714286
ENSG00000001461.16,57.66666667,6.074074074,254.688172,1.615384615,8.810810811,105.8571429,0.111111111,105.0535714
ENSG00000001497.16,250.7333333,221,297.8494624,0,635.7027027,196.2857143,0.148148148,8.821428571
ENSG00000001561.6,0.066666667,221.6851852,139.3225806,0,0.081081081,0.142857143,510.7407407,62.10714286
ENSG00000001617.11,0,0,0,0,0.027027027,0,0.518518519,0
ENSG00000001626.14,0,0,0,0,0,0,0,0
ENSG00000001629.9,4.8,184.6666667,451.3548387,0.307692308,823.4324324,8.795918367,0.148148148,0.535714286
ENSG00000001630.15,684.776,1229.018519,4233.677742,1739.230769,5378.296757,5400.163265,921.2962963,683.3998214
ENSG00000001631.15,2.505333333,11.89444444,336.1737634,0,1.362162162,0.102040816,483.7037037,70.63982143
ENSG00000002016.17,0.4,206.6296296,0.946236559,0,4.810810811,35.7755102,6.62962963,0.071428571
ENSG00000002079.14,0,0,0,0,0,0,0,0
ENSG00000002330.13,0.2,35.51203704,0.150537634,0,0.351351351,0.387755102,0,68.21428571
ENSG00000002549.12,3.6,306.5925926,248.6989247,767.7692308,562.5135135,402.4897959,0.222222222,69.78571429
ENSG00000002586.18,289,168.5648148,833.5860215,1327.576923,330.4594595,186.2244898,0.907407407,783.1071429
ENSG00000002586.18_PAR_Y,289,168.5648148,833.5860215,1327.576923,330.4594595,186.2244898,0.907407407,783.1071429
ENSG00000002587.9,0.133333333,0.092592593,1.311827957,0,0.243243243,0,0,0
ENSG00000002726.20,0,0.111111111,6.408602151,0,0,0,0,0
ENSG00000002745.12,0.866666667,0.037037037,0.623655914,0,1.783783784,0,0,8.303571429
ENSG00000002746.14,0,0,0,0.076923077,0.027027027,0,0,0
ENSG00000002822.15,0.266666667,252.5,0.032258065,6.615384615,0,0.040816327,0.259259259,143.8214286
ENSG00000002834.17,0.933333333,361.1468519,217.3296774,986.1546154,265.9645946,401.8430612,36.53,5.410714286
ENSG00000002919.14,283.3333333,1.092592593,0.010752688,0,0,0.448979592,0,2.803571429
ENSG00000002933.7,0.2,0.074074074,0.021505376,0.230769231,2.540540541,0.163265306,0.222222222,0
ENSG00000003056.7,908.6986667,160.1624074,1207.274409,3053.353846,578.1081081,761.4114286,0.185185185,680.9148214
ENSG00000003096.14,0,0,0,0,0,0,0,0
ENSG00000003137.8,0,0,0,0,0,0,0,0
ENSG00000003147.17,0,0.12962963,2.258064516,0,0.27027027,0.040816327,0,0.196428571
ENSG00000003249.13,0,0,0,0,0.027027027,0,0,3.428571429
ENSG00000003393.14,0.2,0,0,0,0.027027027,109.4081633,0,0.017857143
ENSG00000003400.14,0.466666667,40.33333333,331.4193548,16.53846154,6.513513514,87.93877551,27.62962963,83.73214286
ENSG00000003402.19,2455.628667,2693.828148,982.0564516,1201.923077,728.4864865,1018.897959,2565.333333,660.3478571
