"","stage_I","stage_II","stage_III","stage_IV"
"ENSG00000000419.12",258.84,143,0.016,771.5
"ENSG00000000457.13",0.275,7.8,38.55,0.2265
"ENSG00000000460.16",25.71,52,16.5,4.3765
"ENSG00000001036.13",48.35,100,1.1,219.05
"ENSG00000001084.10",100.16,0.18,102.63,0.195
"ENSG00000001167.14",139.6,3,0.0655,11.5
"ENSG00000001461.16",1509.5,650,632.5,748.5
"ENSG00000001497.16",432,4.4,0.0345,194
"ENSG00000001561.6",32.16,0.035,0.0345,48.5
"ENSG00000001629.9",168.05,319,381.0345,515
"ENSG00000001630.15",298,435,338.45,1442
"ENSG00000001631.15",301,65,305.516,13.13
"ENSG00000002016.17",18.55,445,93.5,15.05
"ENSG00000002330.13",68.8,276,11.017,372.5
"ENSG00000002549.12",588,1077,4.155,1331.5
"ENSG00000002586.18",703.5,785,456.5,1565
"ENSG00000002586.18_PAR_Y",703.5,785,456.5,1565
"ENSG00000002822.15",69.516,215,0.0655,22.45
"ENSG00000002834.17",305.5,274,443,933
"ENSG00000002919.14",40.016,0.12,51,81.5
"ENSG00000002933.7",13,0.54,0.215,0.0645
"ENSG00000003056.7",584.5,286,745,987
"ENSG00000003147.17",223,583,47.08,470
"ENSG00000003400.14",192.5,35,2.28,4.225
"ENSG00000003402.19",1978,3216,1611,3243
"ENSG00000003509.15",82.0485,4.7,0.016,0.21
"ENSG00000003756.16",521,744,231.26,451.5
"ENSG00000004059.10",227.5,707,277.0325,445
"ENSG00000004139.13",2.266,108,0.016,0.185
"ENSG00000004142.11",34.5,14,0.12,0.75
"ENSG00000004399.12",0.08,0.053,230.516,0.315
"ENSG00000004455.16",261.5,97,203.5,498
"ENSG00000004468.12",244,39,498,308.5
"ENSG00000004478.7",145.5,0.41,67,100.575
"ENSG00000004487.15",207.5,270,526.71,0.85
"ENSG00000004534.14",3406,620,1066,3363
"ENSG00000004700.15",162.5,1216,201.5,202.15
"ENSG00000004779.9",458.5,635,199.5,708
"ENSG00000004864.13",28.9,114,0.227,14.55
"ENSG00000004866.20",17.63,0.035,12.017,12.8
"ENSG00000004897.11",121,68,17.565,571
"ENSG00000004961.14",1018.5,559,19,384.5
"ENSG00000004975.11",1.63,0.035,1.95,101
"ENSG00000005007.12",615.5,350,79,7.555
"ENSG00000005020.12",486,154,12.24,66.5
"ENSG00000005022.5",3036,5046,1257,1965
"ENSG00000005059.15",223,438,439.085,176.2
"ENSG00000005075.15",322,1087,198.35,180.5
"ENSG00000005156.11",28.155,0.75,0.075,85.05
"ENSG00000005175.9",51.5,392,156.5,28.625
"ENSG00000005194.14",243.65,263,22.775,127.05
"ENSG00000005206.16",0.0465,0.053,10.565,0.065
"ENSG00000005238.19",1.2825,0.07,0.0325,0.0395
"ENSG00000005302.17",217,572,639.5,881
"ENSG00000005339.14",551.71,681,501,767.1
"ENSG00000005436.13",92.5,78,35.05,70.6
"ENSG00000005448.16",388,206,0.487,172
"ENSG00000005483.20",4827.5,7821,2050,4566.5
"ENSG00000005486.16",528.5,486,12.7,1033
"ENSG00000005700.14",178.66,122,121.08,119.55
"ENSG00000005801.16",403.5,1.6,7.5325,296
"ENSG00000005810.17",2115,323,179.5,2015.5
"ENSG00000005812.10",201.5,387,0.595,58.05
"ENSG00000005844.17",738,564,256.516,614
"ENSG00000005889.15",1147.5,641,1415,252.5
"ENSG00000005893.15",229.1,493,0.535,344
"ENSG00000006007.11",215.3,704,217.5,198
"ENSG00000006015.17",130.825,88,11.5325,68.355
"ENSG00000006125.17",164,256,15.4,240.5
"ENSG00000006194.9",4.5485,0.07,34.5,0.12
"ENSG00000006282.20",0.08,24,62.5,0.45
"ENSG00000006432.15",153.78,197,80.76,179.5
"ENSG00000006451.7",855.5,1009,343.5,737
"ENSG00000006459.10",159.0325,0.93,34.675,7.5
"ENSG00000006530.15",101.5,0.89,286.0485,11.38
"ENSG00000006576.16",1669.5,421,908.5,391.5
"ENSG00000006607.13",89.63,320,0.016,0.055
"ENSG00000006625.17",112.435,94,814.5,0.65
"ENSG00000006634.7",664.5,1319,528.5,339
"ENSG00000006652.13",1105.5,668,393,43.05
"ENSG00000006695.10",3.366,0.68,408,203.5
"ENSG00000006712.14",198,158,136.62,35.9
"ENSG00000006715.15",581,295,0.1295,253.5
"ENSG00000006744.18",51.66,44,0.445,4.075
"ENSG00000006756.15",1.26,0.42,62.516,6.5
"ENSG00000006757.11",0.182,0.018,0.08,24.013
"ENSG00000006831.9",235.8,603,111.5,47.85
"ENSG00000007038.10",1.1,0.07,0.0485,0.05
"ENSG00000007047.14",1.6325,11,0.065,0.0515
"ENSG00000007080.10",142.8,238,141,646.5
"ENSG00000007168.12",677,179,660.95,451
"ENSG00000007202.14",72.5,139,3.165,0.635
"ENSG00000007237.18",0.19,188,0.115,0.0515
"ENSG00000007255.10",939,505,441,199.9
"ENSG00000007312.12",773.5,65,0.0495,95
"ENSG00000007341.18",103,36,7.6,118.0395
"ENSG00000007392.16",310,537,339.3,395
"ENSG00000007520.3",21.08,25,2.83,63.525
"ENSG00000007545.15",0.505,33,0.145,0.105
"ENSG00000007923.15",126.5,0.12,0.41,1.5265
"ENSG00000007944.14",567,18,3.42,142.08
"ENSG00000007968.6",0.5,0.035,55.08,0.5
"ENSG00000008018.8",1909.5,2070,1733.5,3370
"ENSG00000008083.13",296.71,299,355.5,572.5
"ENSG00000008086.11",0.0415,0.035,570.095,0.355
"ENSG00000008128.22",386,413,487,957.5
"ENSG00000008130.15",10.115,52,1.555,4.6
"ENSG00000008226.19",0.05,0.51,0.027,0.085
"ENSG00000008256.15",89.5325,97,317.14,110.225
"ENSG00000008282.8",68.5,9.1,0.017,365.525
"ENSG00000008294.20",362,405,198.5,362
"ENSG00000008311.14",102.516,233,0.05,0.08
