hgnc_symbol,stage1,stage2,stage3,stage4
M6PR,629.5114648,761.4114286,1320.745899,683.7184082
RBM5,484.3874518,812.6830612,80.15612537,584.4185723
LAMP2,254.0142374,1205.77551,187.9432099,520.182497
IFRD1,291.5424711,1123.816327,353.531434,132.7968937
SS18L2,1452.454392,313.4489796,713.6719848,791.0170251
IL32,95.54609072,258.8979592,848.043115,645.2968939
BAZ1B,36.55743243,727.8979592,530.2526116,577.8658901
ZNF207,603.9088417,2649.660816,1167.099145,764.5055048
ELOVL5,205.3400097,881.6326531,375.7504273,587.18638
RUNX3,756.9580118,679.3061224,1991.951567,785.3178016
RNF10,166.082529,471.244898,158.9293447,861.5017921
RB1CC1,217.7726834,286.1020408,316.2638177,547.9961171
STRAP,1834.039817,702.3265306,757.2176638,1204.121266
KPNA6,395.1657215,748.1689796,877.4102563,705.4976107
VIM,809.0024856,5256.864286,6061.373789,2215.291019
SLAMF7,241.0019305,1488.938776,712.305793,1803.327658
PRKCH,0.507239383,2.285714286,2.363532764,60.11529271
TNFRSF1B,59.65878379,2258.102041,110.7861348,427.8936679
BCLAF1,1501.175563,781.8720408,3694.382302,1608.655299
RABEP1,268.3361197,550.6734694,924.5160494,767.4940324
GABARAPL2,887.2413127,1631.204082,465.0157645,579.4145759
BOD1L1,1619.323842,1297.163265,2180.712441,1192.968339
CAPG,338.1496139,544.7346939,204.440076,835.8963563
ARAP2,117.531612,0.387755102,887.2586894,456.1200717
TPR,722.3210715,682.7226531,3036.008044,1679.502996
RSF1,1104.300564,406.7665306,800.0661062,1537.913381
PHPT1,109.1961873,908.0816327,234.1177588,572.9814815
SYNE2,295.6481661,1359.734694,1032.036847,93.17592593
KMT2C,278.468388,388.8367347,407.4431149,1507.851978
ZFR,401.3839286,565,131.6710352,755.6908601
GDI2,1073.826921,2892.692041,914.4708642,1075.132981
CCAR1,281.676641,702.4285714,202.2826211,868.5982676
WAPL,454.9403958,493.1836735,710.4653372,335.963859
VMP1,1486.084942,878.1428571,48.03076924,988.8243727
HIPK2,394.0883205,1017.285714,1632.152137,1161.137993
SLC12A2,1577.123794,3121.734694,2010.498006,1471.451016
CNN2,773.0144426,185.9546939,615.7606743,522.5651673
ANKRD44,1421.699807,177.7142857,1266.966952,4869.448328
SLK,254.6085907,4.020408163,54.53789174,946.7201314
THUMPD1,1930.51472,1169.857143,1231.204179,2156.128734
DDX3Y,1208.47973,0.040816327,173.4567901,1919.465353
IDI1,1304.19931,1450.606735,1398.87207,1409.748265
KLF6,5040.201738,5500.326531,3147.439506,7558.754779
TRAM1,482.0410232,1222.163265,2896.260589,2483.555257
DNTTIP2,1002.998793,2108.714286,2168.51453,3366.544803
RHOA,2428.193533,2994.591837,1744.500285,2913.401135
LAPTM4A,690.0866312,1083.040816,793.097626,1885.301972
ATP1B3,4254.086243,13043.67347,5630.977778,3389.5681
UFD1,671.5854247,23.91836735,388.3918329,77.89157707
NUCB2,3.540781853,4.673469388,10.37037037,129.3862007
ING3,491.2835425,472.4285714,244.711491,630.0492832
DERL2,294.1624035,2292.408163,330.881869,1369.757169
KDM5A,1340.81917,1297.632653,242.4847104,440.4435484
ENO1,1849.119933,3794.591837,1350.555935,2215.018949
MYDGF,215.781612,573.6530612,80.74207028,489.6845878
SLC25A3,489.9148166,778.6938776,1886.774739,1204.350657
FOSL2,457.6660232,255.5714286,279.2237417,839.6484468
RAB7A,591.4816603,1698.877551,319.6178537,620.3300478
TOP2B,1251.588321,854.4693878,876.1118708,595.8637993
ITM2A,254.3933398,18.18367347,620.7318139,590.0448029
SAR1A,3602.68195,5270.142857,1961.305033,4493.371864
RSBN1,775.0335427,641.9387755,251.2670465,297.3781362
HSPB11,418.7041506,1266.897959,303.5215574,101.160693
BZW1,1140.294573,1811.102041,1497.947046,3404.982512
CYLD,196.3682433,512.2040816,1195.697436,1149.718638
CHMP2B,900.8310811,1068.816327,761.673884,939.7834526
SMAP2,966.0914573,705.5306122,1898.957455,1257.722521
EIF3I,425.3404923,2184.693878,405.9462488,982.7774792
RBM22,113.480695,321.2653061,339.4547008,1024.232079
RTRAF,375.206805,2046.122449,10.67597341,600.2610514
FKBP1A,698.458849,2517.093061,254.9261842,721.4555078
PEBP1,413.5306467,1128.306122,378.2584996,1347.224313
DDX24,2307.288852,1825.102041,2417.734473,2850.027479
RGS1,717.3614865,3845.979592,975.9101615,1865.043608
DNAJB11,276.3399107,1150.848163,237.7645261,606.6125627
HECTD1,252.9174711,522.5510204,1433.682621,461.4121864
SUPT16H,625.3165323,321.7142857,917.8267713,747.0626046
WAC,731.13972,1491.734694,1181.583476,1388.04092
HNRNPH3,865.3547465,492.1630612,757.6155745,674.1384827
PSMD8,341.6583012,945.2653061,661.3021844,508.0337515
TECR,208.4846984,86.86489796,305.8999373,305.3433961
GADD45B,454.8923745,112.9795918,549.588794,1701.446535
RANBP1,14.19377413,563.0757143,1292.589252,754.5228825
EIF3L,622.324696,1958.212653,3276.714784,869.2739635
DDX17,1890.225145,885.5102041,2037.042545,2578.991936
XBP1,12.48624517,41.59183673,176.2121558,65.06899642
MYH9,718.3585906,679.7346939,923.548148,937.8378138
TNRC6B,4881.905647,4025.489796,2933.899715,7262.755677
EP300,157.0241313,178.3265306,511.0410256,568.9602748
FKBP3,73.1606781,1101.481224,409.1326592,1004.598503
GZMB,12.60593629,917.4081633,22.5688509,1335.477901
SNW1,762.4925457,1323.938776,1730.587622,838.1047461
DHRS7,488.704988,1146.256327,38.57636847,581.573417
HIF1A,2315.916117,1831.061224,1784.518518,2368.567999
SUSD6,1216.347732,3768.897959,1720.122887,1735.366488
TCL1A,1528.813224,1968,120.6273504,538.9557945
PSMC1,153.1380961,479.2371429,1550.688074,880.2628795
PPP4R3A,716.0948358,490.877551,1213.120038,1571.505078
ACIN1,718.5085232,547.0130612,1499.076125,600.3403853
PSME2,1652.789093,3167.530612,3738.105223,2484.933991
RASSF2,831.5777027,1746.428571,1053.616904,623.4713262
NOP56,476.5241313,876.3502041,520.2938273,1001.731986
PPP1R16B,487.4394305,1577.979592,653.080152,342.2013142
VAPA,715.1744691,3481.759796,442.962773,1383.370968
PGK1,2022.530406,1621.142857,2184.546059,2041.458746
CORO1A,855.4924713,261.0606122,1048.980585,486.1262306
NUTF2,231.9833495,531.3877551,1275.034758,1098.364994
CMC2,694.7556323,956.2357143,1297.553324,751.5013563
USP10,498.8585907,1832.142245,865.0564672,1704.943683
UBE2I,987.0023241,1718.693265,1850.184093,131.6137993
GGA2,994.4869691,395.4285714,402.6159544,1270.087515
BLOC1S6,380.0973938,1651.224286,170.1088319,337.18638
ZDHHC2,456.7555502,1215.714286,1939.71472,1252.633811
ECH1,1197.472249,778.2032653,374.751377,1027.186081
OAZ1,10158.80188,7188.998163,4812.418509,12160.63354
NOP53,72.66385135,507.0612245,417.1515669,173.0259857
TWISTNB,345.3462838,394.5918367,1002.035138,1342.863501
MTPN,689.6667472,2372.75898,496.8493542,515.475926
PSMA2,1065.206462,1651.243469,949.4613486,928.2033185
RHEB,481.5984556,86.51367347,222.5512744,726.6911501
SEC61B,187.5600869,1708.897959,1427.982146,469.4602748
AKNA,90.86510619,33.85714286,466.7213676,444.7891278
DOCK8,825.5136076,19.28571429,511.1358023,903.817503
EDF1,64.7861969,830.1632653,115.7576448,679.739546
SETX,1156.494209,2303.734694,292.2305793,283.8142175
ZFAND5,390.8716892,1148.181837,1227.812156,328.5149493
LARP4B,1062.77389,1670.326531,290.9996202,848.9826762
SMC3,358.4379826,637.6734694,673.3769288,584.325221
CCDC47,501.0318531,786.2040816,369.9099715,706.3220669
TMEM33,1343.930985,352.4081633,749.4112061,2006.137396
NDUFC1,577.4032095,925.1428571,77.03038938,254.2697133
FNBP4,567.226834,150.9795918,477.5132005,1476.426822
PPP6R3,1317.709701,513.4285714,24.14169041,1153.74698
CHORDC1,342.3889069,647.4285714,1489.921634,797.8271864
SLC35F2,645.9920367,1654.102041,251.5878442,1307.712366
PTGES3,1624.098938,993.755102,2318.162887,2607.542922
RSRC2,790.8112934,4155.163265,1252.700665,1797.264636
CPSF6,503.8571429,1146.877551,256.1378917,727.816607
KRR1,1236.418075,2123.953878,266.6781482,1239.176517
MRPL51,326.8764479,1500.571429,719.3707501,668.1278136
CHD4,1489.628219,1958.142857,593.6295955,1256.646729
COX6A1,1209.505348,1822.993061,1400.394479,1339.086885
KLRB1,110.6438224,551.0816327,11.64140551,196.167264
ASF1A,236.1385063,781.2444898,97.81046535,258.107951
SOD2,234.5279899,735.514898,281.2920684,342.1101613
PTP4A1,1642.470077,1115,90.94283002,1251.368279
C6orf62,9221.568463,8815.469592,2931.57837,13795.48216
HECA,761.1085906,129.6326531,912.1019942,1123.273596
PHACTR2,144.0921815,0.613673469,59.50085471,280.9970759
CCR6,1111.789139,985.7346939,729.5451091,1254.140382
TTC1,1096.012548,754.244898,339.2357076,486.2559737
NR3C1,936.9949325,2569.469388,861.2871795,993.6185781
CSNK1A1,2652.245876,5929.80898,2180.878874,4177.176135
SMC4,707.0222151,1895.617959,244.3152935,539.5083363
CRBN,575.5764286,481.1020408,100.7390313,724.7008006
RNF7,715.5608108,69.59183673,1.259259259,407.4229391
PDCD10,235.3351834,858.6122449,2019.747008,610.4160693
GNAI2,738.474662,820.8367347,255.9969611,202.172043
CBLB,282.9686294,6.93877551,1052.493827,186.3399044
EEF1B2,1548.652503,1904.915102,3107.583039,2636.948071
DGUOK,417.4700772,1314.265306,825.4444444,1107.804958
MOB1A,3167.434363,3989.795918,1564.563153,2408.155616
RTN4,396.2989865,162.6734694,927.3851852,243.2951016
GLS,98.9287838,1279.265306,512.9633428,661.3258901
CCT4,615.9298553,577.7767347,636.820283,837.8730108
SF3B1,1521.875724,3480,1504.299715,4129.140681
PDCL3,1967.410461,2360.731429,1317.923371,1361.642267
HSPE1,2013.409228,4250.056327,2549.636794,4278.218985
WIPF1,1116.666023,1886.653061,1445.937132,913.1342983
NFE2L2,1453.720478,963.547551,1320.223818,1647.36876
CACYBP,134.3310811,3173.66898,1237.063495,2319.857969
RPL22,713.3273118,1054.36102,2826.195504,1730.576482
RAP1A,45.26520271,699.6530612,1052.538272,293.0881123
SFPQ,1158.473456,2883.102041,2500.788604,1554.777724
RGS2,6411.26641,4315.653061,759.3492878,2878.376344
CD2,39.71187259,19.18367347,932.8246914,282.1096177
CD48,649.1254826,2828.530612,454.374169,1444.571685
RPF1,410.0707046,554.3061224,263.02868,668.9238352
PRRC2C,2214.727076,2505.77551,2581.511871,2010.706093
STMN1,233.3436293,265.0816327,658.0962964,575.9121864
MESD,74.47924713,304.7755102,232.3792972,465.5546595
HMGN3,249.4574807,1083.008163,2.789363723,610.6832678
CCNI,1459.786921,4571.428571,3702.414625,2719.215054
CCND2,544.2485522,324.755102,808.7703704,913.7921147
UBE2B,2891.716216,1369.734694,952.6379867,1600.848865
SET,12896.75308,16460.19204,8780.07316,17293.1844
NPC2,290.8050193,396.9795918,22.65887939,371.0558543
RBM25,1325.318502,1398.805714,2546.906287,2006.472943
YPEL5,6652.925918,5704.632653,4861.462488,4920.185783
PCMT1,362.3807915,684.9591837,120.2640076,673.2485066
CYSTM1,524.7560329,463.9591837,181.7937322,424.1851852
UFM1,55.10497104,750.8367347,417.2087369,1060.899343
EXOSC8,194.1486487,1141.346939,611.9299144,501.8275956
SERP1,1882.731745,1697.795918,1292.744539,1480.041816
TMEM156,3288.495898,510,1748.850332,1523.160992
FYTTD1,968.7002679,877.3265306,2062.318329,866.1344089
ODF2L,37.17060811,0.285714286,237.5188984,131.0274791
NT5C3A,633.7674397,585.4783673,281.009981,612.6927151
ADGRE5,240.1826883,163.165102,293.0747958,322.3729361
OPTN,62.73117759,0.93877551,51.56467235,193.2249104
TUBA1B,1045.979932,12.50510204,2.112410256,785.8487844
