"","x"
"SS18L2",4
"RB1CC1",4
"STRAP",4
"PRKCH",4
"RSF1",4
"KMT2C",4
"VMP1",4
"CNN2",4
"ANKRD44",4
"SLK",4
"THUMPD1",4
"DDX3Y",4
"NUCB2",4
"ING3",4
"FOSL2",4
"BZW1",4
"RBM22",4
"DDX24",4
"HNRNPH3",4
"GADD45B",4
"DDX17",4
"TNRC6B",4
"HIF1A",4
"PPP4R3A",4
"GGA2",4
"ECH1",4
"OAZ1",4
"RHEB",4
"DOCK8",4
"TMEM33",4
"FNBP4",4
"PPP6R3",4
"PTP4A1",4
"C6orf62",4
"HECA",4
"PHACTR2",4
"CCR6",4
"CRBN",4
"RNF7",4
"CCT4",4
"NFE2L2",4
"UBE2B",4
"TMEM156",4
"ADGRE5",4
"OPTN",4
"TUBA1B",4
"SRSF6",4
"RNF114",4
"IRF1",4
"NDUFA1",4
"EVI2A",4
"BCL11B",4
"SPCS3",4
"LSP1",4
"SNRPA1",4
"RAN",4
"SERINC3",4
"PTPN22",4
"CEMIP2",4
"ISCA1",4
"ADAM19",4
"RC3H1",4
"ITM2B",4
"LIMD2",4
"TANK",4
"IRF4",4
"USP8",4
"CNOT6L",4
"SINHCAF",4
"AEBP2",4
"GLTP",4
"ETFA",4
"SSH2",4
"ENSA",4
"ILF2",4
"NFKBIZ",4
"RUBCN",4
"G3BP1",4
"NHP2",4
"ADD3",4
"EIF4EBP2",4
"GSTO1",4
"EIF3M",4
"PDCD4",4
"PIP4K2A",4
"TMEM263",4
"UTRN",4
"CD96",4
"SAMSN1",4
"WASF2",4
"TAGLN2",4
"ADAR",4
"CCDC12",4
"U2AF1L4",4
"DPY30",4
"HIPK1",4
"TRAT1",4
"WDR43",4
"DTX3L",4
"FUNDC2",4
"CEP57",4
"AP1G1",4
"CIAO2A",4
"MAPK1IP1L",4
"DDIT4",4
"STAT3",4
"LMAN2",4
"HINT1",4
"TMEM154",4
"HSPA4",4
"CHCHD7",4
"LSM3",4
"NDUFA3",4
"ATF7IP",4
"SMN1",4
"NABP1",4
"EIF1AX",4
"ARIH2",4
"IST1",4
"ATP6AP2",4
"SATB1",4
"ALYREF",4
"PRPF39",4
"FNBP1",4
"SRSF10",4
"LITAF",4
"MPHOSPH8",4
"EVL",4
"CDC42SE1",4
"SVIP",4
"PSMB8-AS1",4
"HSPA1A",4
"SARNP",4
"HLA-H",4
"LBH",4
"CKLF",4
"HLA-DRB6",4
"MRPS6",4
"TAF9",4
"CCL4",4
"MARCKS",4
