geneSymbol	stage1	stage2	stage3	stage4
RBM5	-0.019681092	1.052924482	-1.340383414	0.307140024
STRAP	1.354894643	-0.805932729	-0.701126799	0.152164885
BCLAF1	-0.315389291	-0.889217729	1.434253746	-0.229646726
TPR	-0.731300227	-0.767147839	1.363231716	0.13521635
CCAR1	-0.719172427	0.584715787	-0.96521034	1.09966698
RBM22	-0.847607738	-0.323640362	-0.277772435	1.449020536
DDX24	-0.101520033	-1.246604357	0.160763269	1.187361121
HNRNPH3	1.066332674	-1.301877947	0.382638312	-0.147093039
DDX17	0.059831545	-1.361876748	0.267583522	1.034461681
SNW1	-0.887006415	0.354012356	1.252867533	-0.719873473
NOP56	-0.931140627	0.605989462	-0.762868167	1.088019331
UBE2I	-0.233818328	0.691598367	0.857903293	-1.315683331
SETX	0.154325451	1.355257882	-0.750386539	-0.759196794
LARP4B	0.16579179	1.231652298	-1.188171076	-0.209273013
SMC3	-1.448968642	0.524558366	0.776896427	0.147513849
CPSF6	-0.409337174	1.290833306	-1.064316321	0.182820189
CHD4	0.29074677	1.115735342	-1.286981151	-0.119500961
SF3B1	-0.842631693	0.608595517	-0.855657824	1.089694
SFPQ	-1.078148629	1.069437619	0.593363473	-0.584652462
RBM25	-0.862102015	-0.733871006	1.269499247	0.326473774
SRSF6	-0.08533967	-0.348269303	-0.961630336	1.395239309
SNRPC	-0.523831203	-0.879753482	1.396993644	0.006591041
THOC2	-0.971348124	0.341402057	-0.618169891	1.248115958
SNRPB	-0.919419052	1.168077129	-0.74050637	0.491848293
SNRPB2	-0.955697217	0.86353772	0.863606124	-0.771446627
SNRPN	0.152812831	0.924065153	-1.416766589	0.339888606
LSM7	1.155328567	0.405363495	-0.40417022	-1.156521842
SNRPA1	0.249532142	-0.916751774	-0.634560849	1.301780482
RBM17	-0.967700252	-0.756493876	0.812850005	0.911344122
SYNCRIP	-1.213162418	1.099867718	0.45168539	-0.33839069
DHX9	-0.676512118	1.48750809	-0.425420378	-0.385575594
TRA2B	0.246240103	1.294497796	-0.96620642	-0.57453148
EIF4A3	-1.018094393	1.231929356	-0.566793102	0.352958138
ILF2	1.347986844	-0.319504213	0.011096796	-1.039579428
G3BP1	0.374775233	-0.572666685	-1.021771874	1.219663326
CWC15	0.097731234	1.364211467	-0.556705106	-0.905237595
EIF4E	0.174167282	1.340223729	-0.872902129	-0.641488883
SMARCA5	-0.544326006	1.099667784	-1.096278768	0.54093699
RANBP2	1.276963119	0.28972751	-0.953878888	-0.61281174
SAFB	-0.681619687	1.422718114	-0.714536373	-0.026562054
ADAR	-0.368447488	-0.360383824	-0.746613688	1.475445
RPL8	-0.591459551	1.380126434	-0.860396151	0.071729268
U2AF1L4	0.449154438	-0.706068725	-0.936137796	1.193052083
WDR43	-0.733668997	-0.881172291	0.370723378	1.24411791
PCF11	-0.658512589	-0.96646184	1.207481983	0.417492446
POLR2G	-0.934076077	1.303038351	0.240681396	-0.60964367
RPSA	-0.910858192	1.196143289	0.44849398	-0.733779078
LSM3	0.464908068	0.021927026	-1.397730219	0.910895125
SMN1	0.369531902	-0.910338789	-0.701320132	1.24212702
TRMT10C	-0.043908286	0.281486029	-1.320998522	1.083420778
ALYREF	1.474872571	-0.74851491	-0.381598975	-0.344758685
SRSF10	1.290759371	-0.876806961	-0.69660438	0.282651971
PRPF40A	-0.962913203	-0.501949568	1.343959523	0.120903248
RPL10A	-0.385127333	1.487786198	-0.674294628	-0.428364238
DDX3X	-0.821994609	1.349198493	-0.690811681	0.163607797
PRKDC	-0.585073352	1.445771158	-0.744223539	-0.116474267
