hgnc_symbol,C473,C481,LC03,RC02,RC03,LC01,R03,R02
AAGAB,0.266666667,108.8333333,17.37634409,25.92307692,7,2.204081633,0.037037037,44.85714286
AAK1,415.3333333,1.537037037,63.15053763,410.0769231,0.324324324,4.897959184,5.62962963,20.10714286
AAMDC,0.533333333,0.111296296,0.35483871,2.230769231,1.243243243,0.102040816,0.259259259,1.321428571
AAMP,82.86666667,277.537037,10.21505376,119.5384615,0.081081081,6.755102041,0.037037037,206.4107143
ABCA1,0.8,0.814814815,1705.795699,142.2307692,411.6216216,394.5714286,501.5555556,1.196428571
ABCA5,494.1333333,0.259259259,5.666666667,3,497.2432432,353.3877551,0.074074074,46.71428571
ABCB1,543.8666667,1.981481481,5.731182796,42.15384615,0.216216216,165.3877551,33.22222222,218.8928571
ABCC1,311.2666667,242.6481481,60.95698925,0.076923077,10.05405405,35.7755102,4.740740741,24.83928571
ABCC9,0.066666667,0.592592593,0.032258065,0.076923077,0.108108108,0.142857143,0.148148148,0.053571429
ABCD4,136.0666667,212.6481481,468.8064516,0.076923077,5.918918919,0.12244898,0.296296296,13.71428571
ABCE1,81.86666667,1298.878519,636.2039785,100.2307692,62.78378378,1534.422245,64.81259259,466.5514286
ABCF1,651.6,1068.722222,1231.569892,825.6153846,281.1621622,2032.204082,686.3333333,806.4107143
ABCF2,0.066666667,208.7037037,774.5591398,82.46153846,0.108108108,77.75510204,3.222222222,37.58928571
ABCG1,337.4,317.8148148,3.731182796,5.461538462,900.0810811,3.714285714,721.4444444,121.7857143
ABHD16A,307.0666667,646.4814815,18.37634409,960.2307692,0.459459459,0.387755102,473.8148148,49.58928571
ABHD18,184.8,84.9812963,1.935483871,0.076923077,0.891891892,0.163265306,111.7037037,15.80357143
ABHD2,0.938,161.9087037,0.322580645,0.076923077,0.459459459,0.276326531,0.111111111,0.017857143
ABHD3,577.5333333,2.351851852,106.483871,0.076923077,0.675675676,1050.959184,2.481481481,48.21428571
ABI1,1599.666667,1353.888889,233.4408602,4355.846154,265.1621622,120.6326531,1051.777778,345.9821429
ABL1,700.6666667,238,0.010752688,0.076923077,0.054054054,455.6530612,35.96296296,0.160714286
ABL2,26.4,125.5925926,4.204301075,0.153846154,9.459459459,35.87755102,1.037037037,14.23214286
ABLIM1,4,501.2222222,395.1075269,434.9230769,335.2972973,505.4693878,2.111111111,710
ABRACL,647.0666667,1067.740741,105.3655914,0.153846154,177.1621622,1250.877551,19.81481481,221.4642857
ABT1,298.5333333,311.2037037,766.9032258,0.076923077,728.6756757,1039.265306,847.037037,444.0535714
ACAA1,0.733333333,351.4496296,0.053763441,0.076923077,172.8918919,108.707551,0.074074074,43.08035714
ACAA2,236.3333333,0.5,0.107526882,0.307692308,146.6486486,1.151428571,0.074074074,44.69642857
ACACA,9.8,0.074074074,0.043010753,0.076923077,0.054054054,0.163265306,0.111111111,20.83928571
ACAP1,10.6,237.8518519,312.0107527,11.15384615,16.54054054,492.3061224,434.9259259,109.9464286
ACAP2,170.8666667,81.57407407,671.516129,456.2307692,13.72972973,1953.959184,35.77777778,362.7321429
ACAT1,0.866666667,262.8518519,0.505376344,0.076923077,40.86486486,320.0612245,0.259259259,108.5535714
ACBD3,127.2,574.3333333,66.82795699,1260.434615,5.513513514,1311.040816,250.227037,293.3869643
ACBD5,359.1333333,0.62962963,0.107526882,581.5384615,728.5945946,367.9795918,0.37037037,0.339285714
ACBD6,0.266666667,0.314814815,133.1935484,0.076923077,487.8918919,0.224489796,763.8148148,56.14285714
ACD,229.4,525.4259259,50.65591398,0.153846154,1.756756757,38.85714286,2,54.07142857
ACER3,0.6,0.185185185,0.204301075,0.153846154,0.621621622,0.020408163,0.148148148,0.017857143
ACIN1,256,767.7072222,432.9735484,2245.736154,734.6691892,547.0130612,1995.492222,702.3478571
ACLY,59.46666667,112.2222222,173.5053763,18.61538462,592.4194595,0.244897959,0.148148148,0.285714286
ACO2,338.1913333,787.7788889,268.346129,34.30615385,169.8864865,209.1334694,1.625185185,368.9108929
ACOT13,1.486,39.85037037,373.9193548,9.882307692,4.371081081,717.0406122,275.0218519,263.7858929
