"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GAB3",164.618935555423,24.3326220305928,2.88826318713682,8.42465539115709,3.61813535118571e-17,2.36372782492963e-13
"SIGLEC14",143.819709201496,24.1487777933973,2.93036624079577,8.24087360044097,1.7095776212946e-16,5.58433529995881e-13
"GNAQ",167.524531485828,-23.5366013061731,2.88690964819034,-8.15287077686237,3.55385299673935e-16,7.73910720923271e-13
"F5",154.538133696229,-23.4275618855947,2.92081376483726,-8.02090231415356,1.04971185097701e-15,1.68807885809464e-12
"CTTN",148.572047719768,23.4449200890993,2.93231592667505,7.99535952992741,1.29196300175619e-15,1.68807885809464e-12
"CTPS2",119.213387273217,23.8826266016703,3.02423722873166,7.89707446716619,2.85525798954602e-15,3.10890007428403e-12
"SVIL-AS1",107.334473238875,23.752746238754,3.08354618020324,7.70306162147001,1.32844257880169e-14,1.23981648104449e-11
"FAM169A",97.3880089336283,23.6198889210001,3.15953002549386,7.47576023345691,7.67587969956181e-14,6.26831525965466e-11
"CHN1",88.879731792665,23.4963207567956,3.20339052835384,7.33482869129598,2.22005270164207e-13,1.52514255475148e-10
"MECR",90.7479174154264,23.4927130842451,3.20584300033971,7.32809219969777,2.33452097773072e-13,1.52514255475148e-10
"AGPAT1",88.4554848628671,23.4548888081789,3.20665502364407,7.31444094710398,2.58455135543717e-13,1.53498854591555e-10
"DNAJC30",97.9413498934785,22.8061194117087,3.15594154885102,7.22640741556563,4.95938454779539e-13,2.49228148082672e-10
"KLHL9",97.9413498934785,22.8061194117087,3.15594154885102,7.22640741556563,4.95938454779539e-13,2.49228148082672e-10
"VPS8",95.8396156872409,-22.7945184649099,3.17544334219698,-7.17837353984693,7.05455997216684e-13,3.29196002129757e-10
"ASPH",79.127757258573,23.3361131099938,3.30245353901664,7.06629565996636,1.59124200853859e-12,6.93038936118842e-10
"PRKCQ",77.0008177583232,23.2997614810661,3.30665904899548,7.04631506781574,1.83718012476413e-12,7.20040411919137e-10
"NPL",83.364521705292,22.8783171210195,3.24811081767635,7.04357652962908,1.8736701366333e-12,7.20040411919137e-10
"LRRFIP1P1",76.5765708285252,23.2921652525582,3.310864411663,7.03507071159669,1.99159975670961e-12,7.22840067254662e-10
"GMPPA",79.9962103839301,-22.5430649371486,3.30000549688878,-6.83122042020901,8.41952488947434e-12,2.89498716331241e-09
"GFPT2",77.1392028702183,-22.4907973986386,3.32713294718019,-6.75981325534346,1.38169713523557e-11,4.51331369224699e-09
"SMIM13",95.804453768818,-21.2974549934084,3.15766509010953,-6.74468456459061,1.53359832030958e-11,4.77095134599166e-09
"THUMPD2",307.839435659676,-11.7538554367137,2.24388064754485,-5.2381820974187,1.62166016558732e-07,4.81559357353727e-05
"ZNF701",332.268092557929,11.9775429295311,2.31264123685166,5.17916170423257,2.22885207256364e-07,6.33090895219925e-05
"STUB1",262.867095479319,-11.5259934906946,2.24916807320044,-5.12455855479655,2.98235657654552e-07,8.11822313107163e-05
"CAND1",704.152746626402,-8.53579218464442,1.67425799991524,-5.09825378470733,3.42801035311152e-07,8.95807665475101e-05
"KBTBD3",248.668333640061,-11.4458739372797,2.27179753067446,-5.03824561068243,4.69818317334647e-07,0.000118050887197971
"GMCL1",313.603397912805,-9.33468730652347,1.86413587862081,-5.00751442723682,5.51374199113693e-07,0.00013341213491888
"ZNF566",200.270435587853,11.2471749469809,2.2539600298447,4.9899620215341,6.03911646881348e-07,0.00014090552818128
"DOP1B",632.167820187119,6.39996099296545,1.28526245880249,4.97949733856573,6.37496295815574e-07,0.000143612527605626
"NUP37",240.805914346835,11.5131129466304,2.35154124316566,4.89598597519446,9.78140424119658e-07,0.000213006379692458
"SH3TC1",157.113565209957,10.896641893918,2.34004250647202,4.65659998217144,3.2147419535802e-06,0.000677480941378692
"FAF2",321.879957895434,-7.7127073158263,1.6596460316604,-4.64720016720077,3.3647063702494e-06,0.00068692583490123
"SWI5",148.151478602966,10.8121461357616,2.33128043325089,4.63785736865832,3.52039578816336e-06,0.000696931687396098
"CBFB",225.160886691121,-8.22530536695827,1.78585954533442,-4.60579634520922,4.10890371364522e-06,0.000789513763566007
"HSD17B4",310.473900854939,-8.31285311434312,1.86074408339511,-4.46748867215287,7.91432007809979e-06,0.00147726437343503
"ATP13A3",507.120626151627,-7.73194235984098,1.73760243567795,-4.44977642818753,8.59597259257581e-06,0.00154538349777965
"FOLR2",139.24941247193,10.722463232876,2.41176300872687,4.44590251781669,8.75236329677742e-06,0.00154538349777965
"ARL1",338.737194826036,-6.26491586852938,1.4123030908051,-4.43595706142509,9.16641194200721e-06,0.00157589918992456
"ZMYM1",148.21362125897,-10.6992785739294,2.41607347716998,-4.42837466452463,9.49458664979851e-06,0.00159046498931112
"TPGS2",182.914533292775,9.61871423725174,2.17807143462684,4.41616105162303,1.0046924096886e-05,0.00164091387812391
"FUCA2",194.763917264597,8.8849103629133,2.01770787138129,4.40346716634993,1.06534413741636e-05,0.00168059203153902
"ASXL2",214.90215669966,-7.7126287141125,1.75270447204958,-4.40041594981125,1.08043571597488e-05,0.00168059203153902
"LYZ",2366.98626117819,7.12300859704578,1.63341856240574,4.36079812057164,1.29588888484212e-05,0.00196884699643571
"HADH",133.509438885464,-10.5485526059806,2.44328509156563,-4.31736461798701,1.57903198229115e-05,0.00234450362279729
"CTNND1",155.832777656271,8.43565247634559,1.95672619621937,4.31110519838917,1.62440596661348e-05,0.00235827648441908
"THAP11",124.853942150801,-10.4519584970026,2.4316316715037,-4.29833128902256,1.72088816105714e-05,0.00244403529482311
"MFSD1",168.221210873401,-9.47110363881617,2.21233713334047,-4.28103994462882,1.86021960616184e-05,0.00252798194979214
"TADA1",123.967879872064,-10.4416671985422,2.43917565071498,-4.28081806879364,1.86207541422179e-05,0.00252798194979214
"RDX",328.101220342928,5.82342404567231,1.36163462398675,4.27678904684564,1.89608320128294e-05,0.00252798194979214
"SPTSSA",339.708948631552,8.72567202336701,2.04294153083882,4.27113154813799,1.94483639451864e-05,0.00254112323307806
"COPS7A",156.130238722489,-10.7743306563536,2.52888417532827,-4.2605077612758,2.03962999024117e-05,0.00261272602475404
"CYB561A3",115.013870574831,10.4467316852959,2.46741734699813,4.23387300004413,2.29700695397068e-05,0.00283477682058457
"WDR18",134.573719159641,-10.5599647406991,2.49432038979093,-4.23360398444411,2.29975771454128e-05,0.00283477682058457
"TUBGCP2",254.394499417964,-6.8275993951126,1.62636892225788,-4.1980631218862,2.69207602113291e-05,0.00325691345297432
"PAXIP1",197.113420297906,-8.20792633078184,1.95776486930903,-4.19249852699559,2.75898874344422e-05,0.00326449984529574
"PRDM8",120.688303045869,10.5165824600217,2.51034956956278,4.18929004451495,2.79828549420728e-05,0.00326449984529574
"LINS1",114.012842590554,-10.3209876092295,2.46983215802793,-4.17882145379079,2.93023609844174e-05,0.00335846183002103
"ANXA1",1203.72082850918,-4.75098984773014,1.13811092348064,-4.17445237516951,2.98703695346966e-05,0.00336453662362366
"INPP5B",173.792250762761,7.0516316702534,1.69510153411935,4.16000547950475,3.18239959309829e-05,0.00352383331215443
"IGSF6",145.142600898172,9.3763350166491,2.26199946854984,4.14515350114571,3.39586147329181e-05,0.00369752716750257
"ATP6V1D",189.327790156716,6.8211197610742,1.6474380282715,4.14044088094224,3.46638940638958e-05,0.00371105472975855
"GMPS",155.073594698873,-9.3544576810139,2.26128106621998,-4.13679565125934,3.52189489124491e-05,0.00371105472975855
"SERGEF",126.231661126011,10.5813940157994,2.57826953910455,4.10406819586225,4.05947713883437e-05,0.00420961335682618
"UCK1",155.656696857596,-9.27131500573124,2.27765523561918,-4.07055240878493,4.69017877522062e-05,0.00478764655289317
"NNT",108.136053777189,10.3581335341301,2.55558476229472,4.05313636509138,5.05355251754632e-05,0.0050792090149431
"EIF2AK2",330.518720351197,-5.95276853063148,1.47054234082969,-4.04800893204672,5.16551756563708e-05,0.0051130797358041
"ATF3",165.340165784032,-8.52705226633904,2.11464759230448,-4.0323750857449,5.52159656749057e-05,0.00538396871274864
"RORA",279.435108082872,6.26001732762862,1.55576854365337,4.02374591848244,5.72797130956725e-05,0.00544399682654986
"GPR22",297.337249580199,10.4870761808799,2.60704962513668,4.02258402746363,5.7563107824145e-05,0.00544399682654986
"IFI44",188.250320181773,-7.87393045853988,1.95895197649589,-4.01946068766041,5.83315135249488e-05,0.00544399682654986
"SERPINB6",333.507637761036,-10.3227803356664,2.57239830026366,-4.01290124262963,5.99770102154065e-05,0.00544821466239158
