"","stage1","stage2","stage3","stage4"
"A2M",0.526785715,0.040816327,0.096790123,0.029271207
"ABCB1",109.5545367,165.3877551,206.414245,3.856332139
"ABCE1",264.6676062,1534.422245,82.30334282,967.5412488
"ABL1",0.10738417,455.6530612,245.5688509,119.0053763
"ACIN1",718.5085232,547.0130612,1499.076125,600.3403853
"ACLY",296.3525869,0.244897959,26.07673315,142.8637993
"ACTG1",5955.207334,10516.17347,3717.189364,4065.925224
"ACTN1",0.13030888,0.163673469,0.126875594,0.511051374
"ACTN4",0.049227799,0.204081633,60.51528964,90.51002688
"ACTR1A",29.37524131,0.12244898,0.529344729,8.549581843
"ACTR1B",0.630550193,0.102040816,64.98575498,62.35872163
"ADAR",418.8158784,423.0816327,218.7623932,1394.252389
"ADCY3",284.3602799,311.4681633,0.172839506,7.760884109
"ADCY7",0.098938224,0.142857143,41.86172839,15.84774493
"ADIPOR1",485.8277027,305.0408163,1378.169991,360.6914576
"ADIPOR2",99.26399612,0.285714286,39.56049382,59.80675028
"ADM",2.517857143,1.040816327,0.548148148,3.507765831
"ADRM1",130.8431877,100.9257143,361.6936182,331.2870341
"ADSS2",478.8279441,27.46938776,195.225641,216.8966547
"AGO2",2312.863417,3646.979592,2055.31472,3195.968937
"AHSA1",147.8902027,81.89795918,358.7899335,228.8264636
"AK6",544.6697346,459.1763265,213.2345679,614.9706364
"AKAP8L",10.08035715,0.020408163,22.64911111,102.5710872
"AKR1A1",84.31708496,26.08163265,373.6602089,486.8655914
"AKT1",11.96486728,221.1932653,0.755935423,38.11298387
"ALDOA",1688.589438,1826.428571,1046.298955,2603.267921
"ALDOC",48.17562742,0.084693878,0.207777778,132.9064188
"ALOX5AP",687.739141,2646.734694,793.9566952,1312.48417
"ALYREF",287.0844595,3.693877551,50.46058879,55.15621268
"ANAPC1",20.65007722,135.7959184,114.6843761,285.5584678
"ANAPC10",136.9431564,0.061428571,0.466666667,22.56145161
"ANAPC11",597.066361,1519.693878,64.78043686,630.9563917
"ANAPC13",129.1377703,55.86836735,207.7282051,481.2507288
"ANAPC15",25.8870415,269.33,88.06259258,177.8349433
"ANAPC16",636.527903,2091.303265,1217.251586,1644.928979
"ANAPC4",0.076254826,0.265306122,46.16296296,185.2562724
"ANAPC5",213.9823842,220.4693878,506.8476733,160.8512545
"ANKRD42",25.60708494,121.0285714,0.025641026,249.5012067
"APAF1",1.328185329,0.755102041,0.022222222,18.97403226
"APEX1",674.0352317,0.183673469,78.57075023,660.2855436
"APOBEC3G",41.5171332,379.9387755,703.5686611,273.06727
"ARIH1",701.6954635,368.9387755,464.1950617,526.2210275
"ARNT",160.761583,4.979591837,22.1280152,164.4139785
"ARNTL",18.19739382,0.551020408,286.782716,148.0896057
