"","stage1","stage2","stage3","stage4"
"A1BG",26,0,247,113
"A2M",1,0,0,0
"AAGAB",26,2,9,63
"AAK1",10,5,277,32
"AAMDC",1,0,1,0
"AAMP",103,7,67,144
"AAR2",52,1,112,81
"AARS1",5,0,64,0
"AARSD1",30,0,48,49
"AASDH",612,0,22,239
"AASDHPPT",223,861,5,180
"AATF",10,243,147,545
"ABCA1",206,395,215,853
"ABCA5",272,353,166,3
"ABCA7",2,0,2,5
"ABCB1",110,165,206,4
"ABCB7",263,390,295,207
"ABCB8",0,0,0,0
"ABCC1",17,36,105,152
"ABCC10",0,0,0,37
"ABCC11",4,0,0,0
"ABCC9",0,0,0,0
"ABCD4",10,0,45,341
"ABCE1",265,1534,82,968
"ABCF1",544,2032,721,1150
"ABCF2",19,78,29,492
"ABCF3",0,91,96,78
"ABCG1",511,4,355,161
"ABHD11",1,7,0,0
"ABHD12",54,0,1,140
"ABHD14A",31,0,0,64
"ABHD14B",291,0,5,134
"ABHD15",635,201,37,98
"ABHD15-AS1",0,3,10,1
"ABHD16A",25,0,580,332
"ABHD17B",715,4,100,72
"ABHD18",8,0,99,43
"ABHD2",0,0,0,81
"ABHD3",24,1051,193,54
"ABHD4",28,0,0,131
"ABHD5",45,0,1,18
"ABI1",306,121,2336,794
"ABI2",42,0,0,5
"ABI3",8,0,0,15
"ABITRAM",0,268,1,2
"ABL1",0,456,246,119
"ABL2",12,36,9,65
"ABLIM1",523,505,147,448
"ABR",124,148,0,163
"ABRACL",199,1251,222,587
"ABRAXAS2",41,0,0,98
"ABT1",586,1039,382,539
"ABTB2",0,0,0,0
"ACAA1",108,109,0,176
"ACAA2",96,1,79,0
"ACACA",10,0,3,0
"ACAD8",0,0,1,0
"ACAD9",17,0,0,0
"ACADM",419,1630,0,392
"ACADVL",87,1,7,60
"ACAP1",63,492,152,275
"ACAP2",188,1954,221,377
"ACAT1",75,320,0,132
"ACAT2",88,366,42,260
"ACBD3",149,1311,546,321
"ACBD5",364,368,314,0
"ACBD6",272,0,255,67
"ACD",28,39,77,288
"ACER3",0,0,0,0
"ACIN1",719,547,1499,600
"ACLY",296,0,26,143
"ACMSD",0,0,0,37
"ACO2",269,209,125,528
"ACOT1",7,0,0,90
"ACOT13",134,717,95,207
"ACOT7",0,0,0,0
"ACOT8",0,0,3,129
"ACOT9",688,59,236,84
"ACOX1",15,6,35,62
"ACP1",284,1484,300,1166
"ACP5",12,0,94,11
"ACP6",93,0,0,0
"ACSF3",6,358,0,33
"ACSL1",73,384,541,95
"ACSL3",271,378,93,293
"ACSL4",342,0,139,71
"ACSL5",411,5,25,473
