,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
GAB3,164.6189356,24.33262203,2.888263187,8.424655391,3.62E-17,2.36E-13
SIGLEC14,143.8197092,24.14877779,2.930366241,8.2408736,1.71E-16,5.58E-13
GNAQ,167.5245315,-23.53660131,2.886909648,-8.152870777,3.55E-16,7.74E-13
F5,154.5381337,-23.42756189,2.920813765,-8.020902314,1.05E-15,1.69E-12
CTTN,148.5720477,23.44492009,2.932315927,7.99535953,1.29E-15,1.69E-12
CTPS2,119.2133873,23.8826266,3.024237229,7.897074467,2.86E-15,3.11E-12
SVIL-AS1,107.3344732,23.75274624,3.08354618,7.703061621,1.33E-14,1.24E-11
FAM169A,97.38800893,23.61988892,3.159530025,7.475760233,7.68E-14,6.27E-11
CHN1,88.87973179,23.49632076,3.203390528,7.334828691,2.22E-13,1.53E-10
MECR,90.74791742,23.49271308,3.205843,7.3280922,2.33E-13,1.53E-10
AGPAT1,88.45548486,23.45488881,3.206655024,7.314440947,2.58E-13,1.53E-10
DNAJC30,97.94134989,22.80611941,3.155941549,7.226407416,4.96E-13,2.49E-10
KLHL9,97.94134989,22.80611941,3.155941549,7.226407416,4.96E-13,2.49E-10
VPS8,95.83961569,-22.79451846,3.175443342,-7.17837354,7.05E-13,3.29E-10
ASPH,79.12775726,23.33611311,3.302453539,7.06629566,1.59E-12,6.93E-10
PRKCQ,77.00081776,23.29976148,3.306659049,7.046315068,1.84E-12,7.20E-10
NPL,83.36452171,22.87831712,3.248110818,7.04357653,1.87E-12,7.20E-10
LRRFIP1P1,76.57657083,23.29216525,3.310864412,7.035070712,1.99E-12,7.23E-10
GMPPA,79.99621038,-22.54306494,3.300005497,-6.83122042,8.42E-12,2.89E-09
GFPT2,77.13920287,-22.4907974,3.327132947,-6.759813255,1.38E-11,4.51E-09
SMIM13,95.80445377,-21.29745499,3.15766509,-6.744684565,1.53E-11,4.77E-09
THUMPD2,307.8394357,-11.75385544,2.243880648,-5.238182097,1.62E-07,4.82E-05
ZNF701,332.2680926,11.97754293,2.312641237,5.179161704,2.23E-07,6.33E-05
STUB1,262.8670955,-11.52599349,2.249168073,-5.124558555,2.98E-07,8.12E-05
CAND1,704.1527466,-8.535792185,1.674258,-5.098253785,3.43E-07,8.96E-05
KBTBD3,248.6683336,-11.44587394,2.271797531,-5.038245611,4.70E-07,0.000118051
GMCL1,313.6033979,-9.334687307,1.864135879,-5.007514427,5.51E-07,0.000133412
ZNF566,200.2704356,11.24717495,2.25396003,4.989962022,6.04E-07,0.000140906
DOP1B,632.1678202,6.399960993,1.285262459,4.979497339,6.37E-07,0.000143613
NUP37,240.8059143,11.51311295,2.351541243,4.895985975,9.78E-07,0.000213006
SH3TC1,157.1135652,10.89664189,2.340042506,4.656599982,3.21E-06,0.000677481
FAF2,321.8799579,-7.712707316,1.659646032,-4.647200167,3.36E-06,0.000686926
SWI5,148.1514786,10.81214614,2.331280433,4.637857369,3.52E-06,0.000696932
CBFB,225.1608867,-8.225305367,1.785859545,-4.605796345,4.11E-06,0.000789514
HSD17B4,310.4739009,-8.312853114,1.860744083,-4.467488672,7.91E-06,0.001477264
ATP13A3,507.1206262,-7.73194236,1.737602436,-4.449776428,8.60E-06,0.001545383
FOLR2,139.2494125,10.72246323,2.411763009,4.445902518,8.75E-06,0.001545383
ARL1,338.7371948,-6.264915869,1.412303091,-4.435957061,9.17E-06,0.001575899
ZMYM1,148.2136213,-10.69927857,2.416073477,-4.428374665,9.49E-06,0.001590465
TPGS2,182.9145333,9.618714237,2.178071435,4.416161052,1.00E-05,0.001640914
FUCA2,194.7639173,8.884910363,2.017707871,4.403467166,1.07E-05,0.001680592
ASXL2,214.9021567,-7.712628714,1.752704472,-4.40041595,1.08E-05,0.001680592
LYZ,2366.986261,7.123008597,1.633418562,4.360798121,1.30E-05,0.001968847
HADH,133.5094389,-10.54855261,2.443285092,-4.317364618,1.58E-05,0.002344504
CTNND1,155.8327777,8.435652476,1.956726196,4.311105198,1.62E-05,0.002358276
THAP11,124.8539422,-10.4519585,2.431631672,-4.298331289,1.72E-05,0.002444035
MFSD1,168.2212109,-9.471103639,2.212337133,-4.281039945,1.86E-05,0.002527982
TADA1,123.9678799,-10.4416672,2.439175651,-4.280818069,1.86E-05,0.002527982
RDX,328.1012203,5.823424046,1.361634624,4.276789047,1.90E-05,0.002527982
SPTSSA,339.7089486,8.725672023,2.042941531,4.271131548,1.94E-05,0.002541123
COPS7A,156.1302387,-10.77433066,2.528884175,-4.260507761,2.04E-05,0.002612726
CYB561A3,115.0138706,10.44673169,2.467417347,4.233873,2.30E-05,0.002834777
WDR18,134.5737192,-10.55996474,2.49432039,-4.233603984,2.30E-05,0.002834777
TUBGCP2,254.3944994,-6.827599395,1.626368922,-4.198063122,2.69E-05,0.003256913
PAXIP1,197.1134203,-8.207926331,1.957764869,-4.192498527,2.76E-05,0.0032645
PRDM8,120.688303,10.51658246,2.51034957,4.189290045,2.80E-05,0.0032645
LINS1,114.0128426,-10.32098761,2.469832158,-4.178821454,2.93E-05,0.003358462
ANXA1,1203.720829,-4.750989848,1.138110923,-4.174452375,2.99E-05,0.003364537
INPP5B,173.7922508,7.05163167,1.695101534,4.16000548,3.18E-05,0.003523833
IGSF6,145.1426009,9.376335017,2.261999469,4.145153501,3.40E-05,0.003697527
