"","x"
"ACIN1",3
"ACTN4",3
"ACTR1B",3
"ADCY7",3
"ADIPOR1",3
"ADRM1",3
"AHSA1",3
"AKR1A1",3
"ANAPC1",3
"ANAPC4",3
"ATF3",3
"BHLHE41",3
"BIRC5",3
"BTRC",3
"CCS",3
"CCT2",3
"CCT3",3
"CCT8",3
"CDC14A",3
"CDC16",3
"CDK2",3
"CEBPB",3
"CEBPD",3
"CFLAR",3
"CITED2",3
"CNOT8",3
"COP1",3
"COX4I1",3
"CTDP1",3
"CUL4A",3
"CXCL8",3
"CYLD",3
"CYTH1",3
"DERL1",3
"DHX29",3
"DNAJB14",3
"DNAJB4",3
"DVL3",3
"DYNC1H1",3
"EBNA1BP2",3
"EEF1A1P5",3
"EEF1B2",3
"EGFR",3
"EIF2AK2",3
"EIF2S1",3
"EIF3C",3
"EIF3CL",3
"EIF3H",3
"EIF4B",3
"EP300",3
"FBL",3
"FES",3
"FURIN",3
"GEM",3
"GMPS",3
"GPX1",3
"GRPEL2",3
"GTF2A2",3
"HABP4",3
"HDAC2",3
"HDAC4",3
"HIC1",3
"HLA-DRB5",3
"HSP90AB2P",3
"HSPA8",3
"HSPBP1",3
"ID2",3
"IGF1",3
"IL10RA",3
"IL27RA",3
"IL2RG",3
"IL32",3
"INTS5",3
"ISCU",3
"JAK1",3
"KARS1",3
"KAT5",3
"KHDRBS1",3
"KLF11",3
"LAMA5",3
"LSM5",3
"LSM6",3
"MAP2K1",3
"MAT2A",3
"MDM2",3
"MET",3
"MIS12",3
"MITF",3
"MON1B",3
"MRPL15",3
"MRPS18C",3
"MT-CO1",3
"MT-CYB",3
"MT-ND2",3
"MT-ND3",3
"MT-ND6",3
"MYD88",3
"NCOA2",3
"NDUFA1",3
"NDUFA10",3
"NDUFS4",3
"NELFA",3
"NME4",3
"NTPCR",3
"NUDT2",3
"NUDT21",3
"NUP210",3
"PABPN1",3
"PARD6A",3
"PARK7",3
"PCBP1",3
"PCBP2",3
"PCF11",3
"PDLIM2",3
"PFDN4",3
"PFKL",3
"PGM1",3
"PLEKHM1",3
"POLDIP3",3
"POLR2J",3
"POLR2J2",3
"PPARA",3
"PPP2CB",3
"PPP2R1A",3
"PPP4C",3
"PRDX1",3
"PRKCD",3
"PRNP",3
"PRPF19",3
"PRPF39",3
"PRPF40A",3
"PSMA1",3
"PSMB10",3
"PSMB5",3
"PSMC1",3
"PSMC6",3
"PSMD11",3
"RAD21",3
"RBM22",3
"RBM25",3
"REL",3
"RGPD3",3
"RGPD4",3
"RGPD8",3
"RHOG",3
"RNF19A",3
"RPL22",3
"RPL29",3
"RPL39L",3
"RPL5",3
"RPL7",3
"RPL9P7",3
"RPS14",3
"RPS15A",3
"RPS17",3
"RPS23",3
"RPS28",3
"RPS3",3
"RPS6KB1",3
"RPS8",3
"RRP12",3
"SAT2",3
"SEC61G",3
"SENP6",3
"SF3B5",3
"SHMT1",3
"SLC39A6",3
"SLTM",3
"SMAD4",3
"SMG6",3
"SMG7",3
"SNORA67",3
"SNRNP200",3
"SNRPD3",3
"SOCS2",3
"SOCS7",3
"SP100",3
"SPEN",3
"SRPK1",3
"SRPRB",3
"SSR1",3
"SSR2",3
"STAG2",3
"STAT1",3
"STAT3",3
"STAT4",3
"STAU1",3
"STUB1",3
"SUGP1",3
"SUN2",3
"TAF7",3
"TFF1",3
"TFRC",3
"THOC6",3
"TLR7",3
"TOP1",3
"TOP2A",3
"TPR",3
"TRAF3",3
"TRAM1",3
"TWISTNB",3
"TXNL4A",3
"UBLCP1",3
"UBXN7",3
"UPF2",3
"UPF3A",3
"UQCRB",3
"USP4",3
"VASP",3
"VCP",3
"XPA",3
"XRN1",3
"ZC3H13",3
"ZC3H14",3
"ZEB1",3
