,stage1,stage2
ENSG00000000419.12,179.879585,2.081632653
ENSG00000000457.13,117.863931,637.847551
ENSG00000001036.13,103.1046332,782.0204082
ENSG00000001167.14,4.089527027,76.06122449
ENSG00000001460.17,0.017857143,91.12244898
ENSG00000001461.16,56.93219111,105.8571429
ENSG00000001497.16,322.2620656,196.2857143
ENSG00000001561.6,31.09411197,0.142857143
ENSG00000001629.9,411.9840733,8.795918367
ENSG00000001630.15,3030.848289,5400.163265
ENSG00000001631.15,36.0009918,0.102040816
ENSG00000002016.17,2.441119691,35.7755102
ENSG00000002330.13,34.28281853,0.387755102
ENSG00000002549.12,316.1496139,402.4897959
ENSG00000002586.18,556.7833012,186.2244898
ENSG00000002586.18_PAR_Y,556.7833012,186.2244898
ENSG00000002822.15,71.9107143,0.040816327
ENSG00000002834.17,135.6876544,401.8430612
ENSG00000002919.14,1.401785715,0.448979592
ENSG00000002933.7,1.270270271,0.163265306
ENSG00000003056.7,629.5114648,761.4114286
ENSG00000003400.14,45.12282819,87.93877551
ENSG00000003402.19,694.4171718,1018.897959
ENSG00000003436.15,0.364864865,0.040816327
ENSG00000003509.15,18.60194257,0.020408163
ENSG00000003756.16,484.3874518,812.6830612
ENSG00000004059.10,370.6527872,43.69387755
ENSG00000004139.13,0.035955599,0.081632653
ENSG00000004142.11,0.313706564,0.040816327
ENSG00000004455.16,940.2820562,496.6242857
ENSG00000004468.12,16.08035715,82.48979592
ENSG00000004478.7,0.978040541,156.4897959
ENSG00000004534.14,7081.523663,1191.755102
ENSG00000004700.15,165.4586752,1117.657347
ENSG00000004779.9,289.7420367,743.6734694
ENSG00000004864.13,7.139961391,269.7346939
ENSG00000004866.20,0.11703668,0.020408163
ENSG00000004897.11,1326.867447,546.4285714
ENSG00000004961.14,48.88513514,24.73469388
ENSG00000004975.11,0.013513514,5.489795918
ENSG00000005007.12,220.5653957,80.36734694
ENSG00000005020.12,243.2680985,3785.122449
ENSG00000005022.5,3451.71576,6630.481224
ENSG00000005059.15,180.9341216,0.87755102
ENSG00000005075.15,39.69024131,78.17653061
ENSG00000005100.12,15.82649614,214.1020408
