"","logFC","logCPM","PValue","qval"
"ENSG00000000419.12",7.37675968070405,4.66330504893048,7.9906332744365e-09,1.958784123475e-08
"ENSG00000000457.13",-7.36209067626181,5.52763023191624,1.72232895571984e-09,5.55002988657137e-09
"ENSG00000001036.13",-12.4609667488153,5.8094631849976,2.24145649985938e-12,3.95721705409847e-11
"ENSG00000001167.14",0.219578178574195,3.57986132013154,0.820766450075067,0.259994107451412
"ENSG00000001460.17",-9.35967834536393,2.80488023916214,8.52417439413875e-07,1.14466903768415e-06
"ENSG00000001461.16",-2.08174446789802,3.28580214126886,0.0289126347929158,0.0150366863978315
"ENSG00000001497.16",-0.903373008564142,4.44131339608672,0.298565001002395,0.115383704896812
"ENSG00000001561.6",10.5781513051779,3.91189423919687,6.57771700350339e-09,1.67726734490874e-08
"ENSG00000001629.9",-1.79574922647682,0.222339805988334,0.233940095600826,0.0939380116970168
"ENSG00000001630.15",-1.95767847024971,8.91260012813082,0.0233386446610195,0.0124355866386824
"ENSG00000001631.15",10.5086569736136,3.84273284972329,8.51342426563627e-09,2.06992543758958e-08
"ENSG00000002016.17",-3.77922986750744,1.6664707370056,0.00218620962130246,0.00146368645987126
"ENSG00000002549.12",-0.32717008610652,5.68836693711301,0.70159796901443,0.230963767961289
"ENSG00000002586.18",1.85233515778907,5.92963191216795,0.0326907852521866,0.0167398085486502
"ENSG00000002586.18_PAR_Y",1.85233515778907,5.92963191216795,0.0326907852521866,0.0167398085486502
"ENSG00000002834.17",0.0806794804796994,5.88129486175965,0.92608165163387,0.283884221099725
"ENSG00000002919.14",9.724112010066,3.06548861221373,2.0799990282006e-07,3.2750314440703e-07
"ENSG00000003056.7",1.11365097519369,7.41698664048344,0.187670773121298,0.0780280177973105
"ENSG00000003400.14",-2.22602046860947,3.00584505173232,0.0210363250742287,0.0113434520604689
"ENSG00000003402.19",1.34327316880961,7.99841570361368,0.11365188415755,0.0504827477597443
"ENSG00000003756.16",-3.0252940010891,6.02860551771548,0.000931582125048136,0.000671350560014425
