"","ensembl_gene_id","chromosome_name","hgnc_symbol","hgnc_id"
"1","ENSG00000000419","20","DPM1","HGNC:3005"
"2","ENSG00000000457","1","SCYL3","HGNC:19285"
"3","ENSG00000001036","6","FUCA2","HGNC:4008"
"4","ENSG00000001460","1","STPG1","HGNC:28070"
"5","ENSG00000001461","1","NIPAL3","HGNC:25233"
"6","ENSG00000001561","6","ENPP4","HGNC:3359"
"7","ENSG00000001631","7","KRIT1","HGNC:1573"
"8","ENSG00000002016","12","RAD52","HGNC:9824"
"9","ENSG00000002919","17","SNX11","HGNC:14975"
"10","ENSG00000003400","2","CASP10","HGNC:1500"
"11","ENSG00000003756","3","RBM5","HGNC:9902"
"12","ENSG00000004059","7","ARF5","HGNC:658"
"13","ENSG00000004468","4","CD38","HGNC:1667"
"14","ENSG00000004700","12","RECQL","HGNC:9948"
"15","ENSG00000004864","7","SLC25A13","HGNC:10983"
"16","ENSG00000004975","17","DVL2","HGNC:3086"
"17","ENSG00000005007","19","UPF1","HGNC:9962"
"18","ENSG00000005020","7","SKAP2","HGNC:15687"
"19","ENSG00000005022","X","SLC25A5","HGNC:10991"
"20","ENSG00000005059","4","MCUB","HGNC:26076"
"21","ENSG00000005175","12","RPAP3","HGNC:26151"
"22","ENSG00000005194","16","CIAPIN1","HGNC:28050"
"23","ENSG00000005206","19","SPPL2B","HGNC:30627"
"24","ENSG00000005249","7","PRKAR2B","HGNC:9392"
"25","ENSG00000005339","16","CREBBP","HGNC:2348"
"26","ENSG00000005436","2","GCFC2","HGNC:1317"
"27","ENSG00000005448","2","WDR54","HGNC:25770"
"28","ENSG00000005486","7","RHBDD2","HGNC:23082"
"29","ENSG00000005700","6","IBTK","HGNC:17853"
"30","ENSG00000005801","11","ZNF195","HGNC:12986"
"31","ENSG00000005810","13","MYCBP2","HGNC:23386"
"32","ENSG00000005812","13","FBXL3","HGNC:13599"
"33","ENSG00000005882","17","PDK2","HGNC:8810"
"34","ENSG00000005893","X","LAMP2","HGNC:6501"
"35","ENSG00000006007","16","GDE1","HGNC:29644"
"36","ENSG00000006282","17","SPATA20","HGNC:26125"
"37","ENSG00000006453","7","BAIAP2L1","HGNC:21649"
"38","ENSG00000006530","7","AGK","HGNC:21869"
"39","ENSG00000006607","2","FARP2","HGNC:16460"
"40","ENSG00000006715","7","VPS41","HGNC:12713"
"41","ENSG00000006744","17","ELAC2","HGNC:14198"
"42","ENSG00000006831","12","ADIPOR2","HGNC:24041"
"43","ENSG00000007255","19","TRAPPC6A","HGNC:23069"
"44","ENSG00000007306","19","CEACAM7","HGNC:1819"
"45","ENSG00000007392","16","LUC7L","HGNC:6723"
"46","ENSG00000007520","16","TSR3","HGNC:14175"
"47","ENSG00000007541","16","PIGQ","HGNC:14135"
"48","ENSG00000007545","16","CRAMP1","HGNC:14122"
"49","ENSG00000008130","1","NADK","HGNC:29831"
"50","ENSG00000008282","7","SYPL1","HGNC:11507"
"51","ENSG00000008513","8","ST3GAL1","HGNC:10862"
"52","ENSG00000008517","16","IL32","HGNC:16830"
"53","ENSG00000008710","16","PKD1","HGNC:9008"
"54","ENSG00000008838","17","MED24","HGNC:22963"
"55","ENSG00000009335","7","UBE3C","HGNC:16803"
"56","ENSG00000009790","1","TRAF3IP3","HGNC:30766"
"57","ENSG00000010017","6","RANBP9","HGNC:13727"
"58","ENSG00000010072","1","SPRTN","HGNC:25356"
"59","ENSG00000010256","3","UQCRC1","HGNC:12585"
"60","ENSG00000010270","7","STARD3NL","HGNC:19169"
"61","ENSG00000010278","12","CD9","HGNC:1709"
"62","ENSG00000010292","12","NCAPD2","HGNC:24305"
"63","ENSG00000010322","3","NISCH","HGNC:18006"
"64","ENSG00000010404","X","IDS","HGNC:5389"
"65","ENSG00000010671","X","BTK","HGNC:1133"
"66","ENSG00000010810","6","FYN","HGNC:4037"
"67","ENSG00000010818","6","HIVEP2","HGNC:4921"
"68","ENSG00000011007","1","ELOA","HGNC:11620"
"69","ENSG00000011009","1","LYPLA2","HGNC:6738"
"70","ENSG00000011021","1","CLCN6","HGNC:2024"
"71","ENSG00000011052","17","NME1-NME2","HGNC:33531"
"72","ENSG00000011132","19","APBA3","HGNC:580"
"73","ENSG00000011243","19","AKAP8L","HGNC:29857"
"74","ENSG00000011260","17","UTP18","HGNC:24274"
"75","ENSG00000011275","7","RNF216","HGNC:21698"
"76","ENSG00000011295","17","TTC19","HGNC:26006"
"77","ENSG00000011304","19","PTBP1","HGNC:9583"
"78","ENSG00000011405","11","PIK3C2A","HGNC:8971"
"79","ENSG00000011422","19","PLAUR","HGNC:9053"
"80","ENSG00000011638","16","TMEM159","HGNC:30136"
"81","ENSG00000012779","10","ALOX5","HGNC:435"
"82","ENSG00000012822","12","CALCOCO1","HGNC:29306"
"83","ENSG00000013364","16","MVP","HGNC:7531"
"84","ENSG00000013573","12","DDX11","HGNC:2736"
"85","ENSG00000014123","6","UFL1","HGNC:23039"
"86","ENSG00000015133","14","CCDC88C","HGNC:19967"
"87","ENSG00000015153","12","YAF2","HGNC:17363"
"88","ENSG00000015171","10","ZMYND11","HGNC:16966"
"89","ENSG00000015285","X","WAS","HGNC:12731"
"90","ENSG00000017797","18","RALBP1","HGNC:9841"
"91","ENSG00000018610","X","CXorf56","HGNC:26239"
"92","ENSG00000018699","2","TTC27","HGNC:25986"
"93","ENSG00000019995","10","ZRANB1","HGNC:18224"
"94","ENSG00000020426","14","MNAT1","HGNC:7181"
"95","ENSG00000020922","11","MRE11","HGNC:7230"
"96","ENSG00000021574","2","SPAST","HGNC:11233"
"97","ENSG00000021776","15","AQR","HGNC:29513"
"98","ENSG00000022277","20","RTF2","HGNC:15890"
"99","ENSG00000023228","2","NDUFS1","HGNC:7707"
"100","ENSG00000023330","3","ALAS1","HGNC:396"
"101","ENSG00000023516","13","AKAP11","HGNC:369"
"102","ENSG00000023572","1","GLRX2","HGNC:16065"
"103","ENSG00000023608","14","SNAPC1","HGNC:11134"
"104","ENSG00000023892","6","DEF6","HGNC:2760"
"105","ENSG00000023902","1","PLEKHO1","HGNC:24310"
"106","ENSG00000023909","1","GCLM","HGNC:4312"
"107","ENSG00000025156","6","HSF2","HGNC:5225"
"108","ENSG00000025796","6","SEC63","HGNC:21082"
"109","ENSG00000026103","10","FAS","HGNC:11920"
"110","ENSG00000026950","6","BTN3A1","HGNC:1138"
"111","ENSG00000027697","6","IFNGR1","HGNC:5439"
"112","ENSG00000027869","1","SH2D2A","HGNC:10821"
"113","ENSG00000028137","1","TNFRSF1B","HGNC:11917"
"114","ENSG00000028277","19","POU2F2","HGNC:9213"
"115","ENSG00000028310","5","BRD9","HGNC:25818"
"116","ENSG00000028528","15","SNX1","HGNC:11172"
"117","ENSG00000028839","6","TBPL1","HGNC:11589"
"118","ENSG00000029363","6","BCLAF1","HGNC:16863"
"119","ENSG00000029364","14","SLC39A9","HGNC:20182"
"120","ENSG00000029534","8","ANK1","HGNC:492"
"121","ENSG00000029639","6","TFB1M","HGNC:17037"
"122","ENSG00000029993","X","HMGB3","HGNC:5004"
"123","ENSG00000030419","2","IKZF2","HGNC:13177"
"124","ENSG00000030582","17","GRN","HGNC:4601"
"125","ENSG00000031698","1","SARS1","HGNC:10537"
"126","ENSG00000032389","2","EIPR1","HGNC:12383"
"127","ENSG00000033030","12","ZCCHC8","HGNC:25265"
"128","ENSG00000033100","7","CHPF2","HGNC:29270"
"129","ENSG00000033170","14","FUT8","HGNC:4019"
"130","ENSG00000033800","15","PIAS1","HGNC:2752"
"131","ENSG00000033867","3","SLC4A7","HGNC:11033"
"132","ENSG00000034152","17","MAP2K3","HGNC:6843"
"133","ENSG00000034677","8","RNF19A","HGNC:13432"
"134","ENSG00000034693","6","PEX3","HGNC:8858"
"135","ENSG00000035115","2","SH3YL1","HGNC:29546"
"136","ENSG00000035403","10","VCL","HGNC:12665"
"137","ENSG00000035681","8","NSMAF","HGNC:8017"
"138","ENSG00000035687","1","ADSS2","HGNC:292"
"139","ENSG00000035720","4","STAP1","HGNC:24133"
"140","ENSG00000036054","3","TBC1D23","HGNC:25622"
"141","ENSG00000036549","1","ZZZ3","HGNC:24523"
"142","ENSG00000037474","5","NSUN2","HGNC:25994"
"143","ENSG00000037637","1","FBXO42","HGNC:29249"
"144","ENSG00000037757","19","MRI1","HGNC:28469"
"145","ENSG00000038210","4","PI4K2B","HGNC:18215"
"146","ENSG00000038358","16","EDC4","HGNC:17157"
