#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
hsa04932	Non-alcoholic fatty liver disease (NAFLD)	9	149	1.29	1.43e-07	9606.ENSP00000233627,9606.ENSP00000306512,9606.ENSP00000322450,9606.ENSP00000330341,9606.ENSP00000341785,9606.ENSP00000360492,9606.ENSP00000389160,9606.ENSP00000441126,9606.ENSP00000485401	NDUFS7,CXCL8,NDUFV1,SOCS3,ADIPOR1,NDUFA1,NDUFA11,NDUFC1,UQCRHL
hsa00190	Oxidative phosphorylation	7	131	1.24	1.04e-05	9606.ENSP00000233627,9606.ENSP00000322450,9606.ENSP00000355206,9606.ENSP00000360492,9606.ENSP00000389160,9606.ENSP00000441126,9606.ENSP00000485401	NDUFS7,NDUFV1,MT-ND3,NDUFA1,NDUFA11,NDUFC1,UQCRHL
hsa05016	Huntington's disease	8	193	1.13	1.04e-05	9606.ENSP00000221859,9606.ENSP00000233627,9606.ENSP00000322450,9606.ENSP00000342889,9606.ENSP00000360492,9606.ENSP00000389160,9606.ENSP00000441126,9606.ENSP00000485401	POLR2I,NDUFS7,NDUFV1,POLR2K,NDUFA1,NDUFA11,NDUFC1,UQCRHL
hsa05012	Parkinson's disease	7	142	1.21	1.06e-05	9606.ENSP00000233627,9606.ENSP00000322450,9606.ENSP00000355206,9606.ENSP00000360492,9606.ENSP00000389160,9606.ENSP00000441126,9606.ENSP00000485401	NDUFS7,NDUFV1,MT-ND3,NDUFA1,NDUFA11,NDUFC1,UQCRHL
hsa03040	Spliceosome	6	130	1.18	8.90e-05	9606.ENSP00000269601,9606.ENSP00000317123,9606.ENSP00000356541,9606.ENSP00000383949,9606.ENSP00000421592,9606.ENSP00000452123	TXNL4A,SNRNP200,SF3B5,NHP2L1,ALYREF,SRSF5
hsa04714	Thermogenesis	7	228	1.0	0.00015	9606.ENSP00000233627,9606.ENSP00000322450,9606.ENSP00000355206,9606.ENSP00000360492,9606.ENSP00000389160,9606.ENSP00000441126,9606.ENSP00000485401	NDUFS7,NDUFV1,MT-ND3,NDUFA1,NDUFA11,NDUFC1,UQCRHL
hsa04723	Retrograde endocannabinoid signaling	6	148	1.12	0.00015	9606.ENSP00000233627,9606.ENSP00000322450,9606.ENSP00000355206,9606.ENSP00000360492,9606.ENSP00000389160,9606.ENSP00000441126	NDUFS7,NDUFV1,MT-ND3,NDUFA1,NDUFA11,NDUFC1
hsa04630	Jak-STAT signaling pathway	6	160	1.09	0.00018	9606.ENSP00000227752,9606.ENSP00000249636,9606.ENSP00000264657,9606.ENSP00000330341,9606.ENSP00000362608,9606.ENSP00000465676	IL10RA,PIAS1,STAT3,SOCS3,PIM1,PIAS2
hsa04930	Type II diabetes mellitus	4	46	1.45	0.00020	9606.ENSP00000290573,9606.ENSP00000320171,9606.ENSP00000330341,9606.ENSP00000378217	HK2,PKM,SOCS3,PRKCD
hsa05010	Alzheimer's disease	6	168	1.07	0.00020	9606.ENSP00000233627,9606.ENSP00000322450,9606.ENSP00000360492,9606.ENSP00000389160,9606.ENSP00000441126,9606.ENSP00000485401	NDUFS7,NDUFV1,NDUFA1,NDUFA11,NDUFC1,UQCRHL
