source	target
ALYREF	CHTOP
ALYREF	NUP107
ALYREF	NUP153
ALYREF	NUP62
ALYREF	PABPN1
ALYREF	PCF11
ALYREF	POLR2I
ALYREF	POLR2K
ALYREF	RBM5
ALYREF	SF3B5
ALYREF	SNRNP200
ALYREF	SNU13
ALYREF	SPEN
ALYREF	SRSF5
ALYREF	TPR
ALYREF	TXNL4A
ANAPC11	BUB3
ANAPC11	CCNB1
ANAPC11	CDC14A
ANAPC11	CDK2
ANAPC11	CUL4A
ANAPC11	CXCL8
ANAPC11	PHC1
ANAPC11	PPP3CB
ANAPC11	PSMA1
ANAPC11	PSMB7
ANAPC11	PSMC6
ANAPC11	PSMD12
ANAPC11	PSMD14
CCT4	CCT3
CCT4	CCT8
CCT4	PFDN4
CCT7	CCT3
CCT7	CCT8
CCT7	PFDN4
COX6A1	UQCRFS1P1
COX6A1	UQCRHL
CPSF6	MAX
CPSF6	NUP107
CPSF6	PCF11
DDX17	PCNA
DHX9	HEXIM1
DHX9	PABPN1
DHX9	PCF11
DHX9	PCNA
DHX9	POLR2I
DHX9	POLR2K
DHX9	RBM5
DHX9	SF3B5
DHX9	SNRNP200
DHX9	SNU13
DHX9	SRSF5
DHX9	SSRP1
DHX9	TXNL4A
EIF1AX	DHX29
EIF1AX	EIF3D
EIF1AX	EIF3H
EIF1AX	RPS10-NUDT3
EIF3I	EIF3D
EIF3I	EIF3H
EIF3I	RPS10-NUDT3
EIF3M	EIF3D
EIF3M	EIF3H
EIF4A3	CNOT11
EIF4A3	CNOT8
EIF4A3	GPX1
EIF4A3	ISG15
EIF4A3	RPS10-NUDT3
EIF4A3	SMG7
EIF4A3	SRSF5
EIF4E	CASP10
EIF4E	CASP2
EIF4E	CNOT11
EIF4E	CNOT8
EIF4E	EIF3D
EIF4E	EIF3H
EIF4E	EIF4EBP2
EIF4E	ISG15
EIF4E	MAX
EIF4E	NUP107
EIF4E	NUP153
EIF4E	NUP62
EIF4E	RPS10-NUDT3
EIF4E	TPR
EIF4E	TSC2
ENO1	ISG15
ENO1	MAX
ENO1	PFKP
ENO1	PKM
HIF1A	CD2AP
HIF1A	ERLEC1
HIF1A	HK2
HIF1A	PKM
HIF1A	PRDX1
HIF1A	UBXN7
HIF1A	VMP1
HSPA4	AHSA1
HSPA4	CD40
HSPA4	CDK5RAP3
HSPA4	DNAJB12
HSPA4	DNAJB9
HSPA4	HSPA5
HSPA4	MAX
HSPA4	VCP
LSM3	CLNS1A
LSM3	LSM5
LSM3	LSM6
LSM3	PRPF3
LSM3	SNRPN
LSM3	TXNL4A
LSM7	LSM5
LSM7	LSM6
LSM7	PRPF3
LSM7	SNRPN
LSM7	TXNL4A
LSM7	USP4
NDUFA1	MT-ND3
NDUFA1	NDUFA11
NDUFA1	NDUFC1
NDUFA1	NDUFS7
NDUFA1	NDUFV1
NDUFA1	UQCRFS1P1
NDUFA1	UQCRHL
NDUFB9	MT-ND3
NDUFB9	NDUFA11
NDUFB9	NDUFC1
NDUFB9	NDUFS7
NDUFB9	NDUFV1
NDUFB9	UQCRFS1P1
NDUFB9	UQCRHL
NDUFS6	MT-ND3
NDUFS6	NDUFA11
NDUFS6	NDUFC1
NDUFS6	NDUFS7
NDUFS6	NDUFV1
NDUFS6	UQCRFS1P1
NDUFS6	UQCRHL
NHP2	GRWD1
NHP2	KRR1
NHP2	POLR1D
NHP2	RBM28
NHP2	SNU13
POLR2G	ADCY3
POLR2G	GTF2A2
POLR2G	NUDT2
POLR2G	PABPN1
POLR2G	PCF11
POLR2G	PKM
POLR2G	POLR1D
POLR2G	POLR2I
POLR2G	POLR2K
POLR2G	RBM5
POLR2G	SF3B5
POLR2G	SNRNP200
POLR2G	SNU13
POLR2G	SRSF5
POLR2G	SSRP1
POLR2G	TXNL4A
POLR2G	UBXN7
PSMA2	ADRM1
PSMA2	PSMA1
PSMA2	PSMB7
PSMA2	PSMC6
PSMA2	PSMD12
PSMA2	PSMD14
PSMA2	VCP
PSMB6	BUB3
PSMB6	CDK2
PSMB6	PSMA1
PSMB6	PSMB7
PSMB6	PSMC6
PSMB6	PSMD12
PSMB6	PSMD14
PSMB6	ZCCHC8
PSMD8	ADRM1
PSMD8	BUB3
PSMD8	CDK2
PSMD8	PSMA1
PSMD8	PSMB7
PSMD8	PSMC6
PSMD8	PSMD12
PSMD8	PSMD14
RAB7A	CXCL8
RAB7A	DCTN1
RAB7A	DCTN3
RAB7A	DCTN5
RAB7A	MON1B
RAB7A	TIFA
RAB7A	VPS39
RPL10A	EIF3D
RPL10A	EIF3H
RPL10A	MRPL24
RPL10A	MRPL4
RPL10A	RPS10-NUDT3
RPL10A	SEC11A
RPL10A	SLC25A5
RPL10A	SMG7
RPL10A	SRP68
RPL10A	SRPRB
RPL8	EIF3D
RPL8	EIF3H
RPL8	MRPL1
RPL8	MRPL24
RPL8	MRPL4
RPL8	RPS10-NUDT3
RPL8	SEC11A
RPL8	SMG7
RPL8	SRP68
RPL8	SRPRB
RPSA	EIF3D
RPSA	EIF3H
RPSA	HSPA5
RPSA	MRPL1
RPSA	MRPL24
RPSA	MRPL4
RPSA	RPS10-NUDT3
RPSA	SEC11A
RPSA	SMG7
RPSA	SNU13
RPSA	SRP68
RPSA	SRPRB
SNRPA1	LSM6
SNRPA1	PABPN1
SNRPA1	PCF11
SNRPA1	POLR2I
SNRPA1	POLR2K
SNRPA1	RBM5
SNRPA1	SF3B5
SNRPA1	SNRNP200
SNRPA1	SNRPN
SNRPA1	SNU13
SNRPA1	SRSF5
SNRPA1	TXNL4A
SNRPB2	PABPN1
SNRPB2	PCF11
SNRPB2	POLR2I
SNRPB2	POLR2K
SNRPB2	RBM5
SNRPB2	SF3B5
SNRPB2	SNRNP200
SNRPB2	SNRPN
SNRPB2	SNU13
SNRPB2	SRSF5
SNRPB2	TXNL4A
SOD1	CAT
SOD1	DERL1
SOD1	GPX1
SOD1	PRDX1
SOD2	CAT
SOD2	DECR1
SOD2	GPX1
SRSF6	NUP107
SRSF6	NUP153
SRSF6	NUP62
SRSF6	PABPN1
SRSF6	PCF11
SRSF6	POLR2I
SRSF6	POLR2K
SRSF6	RBM5
SRSF6	SF3B5
SRSF6	SNRNP200
SRSF6	SNU13
SRSF6	SRSF5
SRSF6	TPR
SRSF6	TXNL4A
STAT3	ADIPOR1
STAT3	BATF
STAT3	BCL3
STAT3	BCL6
STAT3	CXCL8
STAT3	DECR1
STAT3	ECHS1
STAT3	EIF2AK2
STAT3	HCK
STAT3	HES1
STAT3	IL10RA
STAT3	KAT5
STAT3	LCK
STAT3	PIAS1
STAT3	PIAS2
STAT3	PIM1
STAT3	PKM
STAT3	PRKCD
STAT3	SLC39A6
STAT3	SOCS3
STAT3	TIFA
STAT3	VMP1
TRA2B	SRSF5
UBE2I	CTBP1
UBE2I	DAXX
UBE2I	NSMCE2
UBE2I	NUP153
UBE2I	NUP62
UBE2I	PCNA
UBE2I	PIAS1
UBE2I	PIAS2
UBE2I	SENP6
UBE2I	STAG2
UBE2I	SUN2
UBE2I	SYNE1
UBE2I	TERF1
UBE2I	TRAF3
UBE2I	ZMIZ1
UQCRQ	MT-ND3
UQCRQ	NDUFA11
UQCRQ	NDUFC1
UQCRQ	NDUFS7
UQCRQ	NDUFV1
UQCRQ	UQCRFS1P1
UQCRQ	UQCRHL
