"SUID","name","selected","shared name"
"1549","ALYREF","false","ALYREF"
"1550","CHTOP","false","CHTOP"
"1552","NUP107","false","NUP107"
"1554","NUP153","false","NUP153"
"1556","NUP62","false","NUP62"
"1558","PABPN1","false","PABPN1"
"1560","PCF11","false","PCF11"
"1562","POLR2I","false","POLR2I"
"1564","POLR2K","false","POLR2K"
"1566","RBM5","false","RBM5"
"1568","SF3B5","false","SF3B5"
"1570","SNRNP200","false","SNRNP200"
"1572","SNU13","false","SNU13"
"1574","SPEN","false","SPEN"
"1576","SRSF5","false","SRSF5"
"1578","TPR","false","TPR"
"1580","TXNL4A","false","TXNL4A"
"1582","ANAPC11","false","ANAPC11"
"1583","BUB3","false","BUB3"
"1585","CCNB1","false","CCNB1"
"1587","CDC14A","false","CDC14A"
"1589","CDK2","false","CDK2"
"1591","CUL4A","false","CUL4A"
"1593","CXCL8","false","CXCL8"
"1595","PHC1","false","PHC1"
"1597","PPP3CB","false","PPP3CB"
"1599","PSMA1","false","PSMA1"
"1601","PSMB7","false","PSMB7"
"1603","PSMC6","false","PSMC6"
"1605","PSMD12","false","PSMD12"
"1607","PSMD14","false","PSMD14"
"1609","CCT4","false","CCT4"
"1610","CCT3","false","CCT3"
"1612","CCT8","false","CCT8"
"1614","PFDN4","false","PFDN4"
"1616","CCT7","false","CCT7"
"1620","COX6A1","false","COX6A1"
"1621","UQCRFS1P1","false","UQCRFS1P1"
"1623","UQCRHL","false","UQCRHL"
"1625","CPSF6","false","CPSF6"
"1626","MAX","false","MAX"
"1630","DDX17","false","DDX17"
"1631","PCNA","false","PCNA"
"1633","DHX9","false","DHX9"
"1634","HEXIM1","false","HEXIM1"
"1646","SSRP1","false","SSRP1"
"1649","EIF1AX","false","EIF1AX"
"1650","DHX29","false","DHX29"
"1652","EIF3D","false","EIF3D"
"1654","EIF3H","false","EIF3H"
"1656","RPS10-NUDT3","false","RPS10-NUDT3"
"1658","EIF3I","false","EIF3I"
"1662","EIF3M","false","EIF3M"
"1665","EIF4A3","false","EIF4A3"
"1666","CNOT11","false","CNOT11"
"1668","CNOT8","false","CNOT8"
"1670","GPX1","false","GPX1"
"1672","ISG15","false","ISG15"
"1675","SMG7","false","SMG7"
"1678","EIF4E","false","EIF4E"
"1679","CASP10","false","CASP10"
"1681","CASP2","false","CASP2"
"1687","EIF4EBP2","false","EIF4EBP2"
"1696","TSC2","false","TSC2"
"1698","ENO1","false","ENO1"
"1701","PFKP","false","PFKP"
"1703","PKM","false","PKM"
"1705","HIF1A","false","HIF1A"
"1706","CD2AP","false","CD2AP"
"1708","ERLEC1","false","ERLEC1"
"1710","HK2","false","HK2"
"1713","PRDX1","false","PRDX1"
"1715","UBXN7","false","UBXN7"
"1717","VMP1","false","VMP1"
"1719","HSPA4","false","HSPA4"
"1720","AHSA1","false","AHSA1"
"1722","CD40","false","CD40"
"1724","CDK5RAP3","false","CDK5RAP3"
"1726","DNAJB12","false","DNAJB12"
"1728","DNAJB9","false","DNAJB9"
"1730","HSPA5","false","HSPA5"
"1733","VCP","false","VCP"
"1735","LSM3","false","LSM3"
"1736","CLNS1A","false","CLNS1A"
"1738","LSM5","false","LSM5"
"1740","LSM6","false","LSM6"
"1742","PRPF3","false","PRPF3"
"1744","SNRPN","false","SNRPN"
"1747","LSM7","false","LSM7"
"1753","USP4","false","USP4"
"1755","NDUFA1","false","NDUFA1"
"1756","MT-ND3","false","MT-ND3"
"1758","NDUFA11","false","NDUFA11"
