"","stage1","stage2","stage3","stage4"
"ADCY3",284.3602799,311.4681633,0.172839506,7.760884109
"ADIPOR1",485.8277027,305.0408163,1378.169991,360.6914576
"ADRM1",130.8431877,100.9257143,361.6936182,331.2870341
"AHSA1",147.8902027,81.89795918,358.7899335,228.8264636
"ALYREF",287.0844595,3.693877551,50.46058879,55.15621268
"ANAPC11",597.066361,1519.693878,64.78043686,630.9563917
"BATF",12.1078668,9.795918367,0.710351377,13.03046595
"BCL3",17.83470077,13.75510204,0.237037037,9.316606929
"BCL6",318.200724,329.5936735,28.69188794,26.98238351
"BUB3",1352.731419,1603.612245,281.8864197,1270.253883
"CASP10",45.12282819,87.93877551,14.87825261,185.8763441
"CASP2",2793.250965,2043.469388,219.2159544,2666.740442
"CAT",608.2871622,250.3673469,1.320987654,152.1571088
"CCNB1",259.4128861,478.4693878,0.025641026,168.0331541
"CCT3",331.4000965,276.1836735,1885.838366,967.6505375
"CCT4",615.9298553,577.7767347,636.820283,837.8730108
"CCT7",589.382722,1868.612245,32.0980057,474.4157706
"CCT8",360.0219595,359.755102,1762.215955,435.4396655
"CD2AP",250.7010135,352.6326531,68.42659071,369.9160693
"CD40",569.4430502,1086.612245,59.7768281,1037.615591
"CDC14A",25.87934363,8.183673469,121.0320988,45.93130227
"CDK2",100.2265927,61.55102041,266.208547,98.85961766
"CDK5RAP3",345.4886583,594.2242857,118.3583001,218.0488411
"CHTOP",1027.483642,1033.510204,94.80684522,575.8939663
"CLNS1A",820.4387064,329.122449,13.62431149,369.6562127
"CNOT11",26.56708494,43.75510204,1.187654321,11.97192353
"CNOT8",250.0680502,203.0612245,963.3901233,590.9417563
"COX6A1",1209.505348,1822.993061,1400.394479,1339.086885
"CPSF6",503.8571429,1146.877551,256.1378917,727.816607
"CTBP1",1721.519546,4127.571429,290.6793827,993.8993847
"CUL4A",7.156370659,19.91836735,574.9588832,252.5301673
"CXCL8",5.187741311,1.469387755,621.2258311,15.91517324
"DAXX",107.6030405,212.9387755,25.64273504,535.4823776
"DCTN1",161.5139961,270.2244898,0.214245014,11.76702509
"DCTN3",437.3658301,315.4081633,35.65128204,305.3127241
"DCTN5",211.4502896,395.9257143,17.37037037,298.8416965
"DDX17",1890.225145,885.5102041,2037.042545,2578.991936
"DECR1",52.13103283,51.89795918,0.138271605,79.13381122
"DERL1",333.9648238,265.4693878,1120.488522,531.0973776
"DHX29",165.9365347,216.4081633,746.4972458,252.6469534
"DHX9",278.1954634,2155.204082,495.9851852,530.5454003
"DNAJB12",55.45004826,98.85714286,0.200379867,0.794205496
"DNAJB9",78.62524133,85.04081633,3.180493827,282.1974791
"ECHS1",289.3778958,498.1428571,24.55479582,200.1875747
"EIF1AX",702.9205186,275.7387755,1008.107854,1702.011458
"EIF2AK2",9.473050192,12.53061224,1088.426401,220.6133811
"EIF3D",576.5279923,621.6734694,98.93865148,544.6875747
"EIF3H",570.7136605,737.0002041,3391.258879,1072.397384
"EIF3I",425.3404923,2184.693878,405.9462488,982.7774792
"EIF3M",1132.317061,563.7916327,979.5845319,1485.114899
"EIF4A3",201.2067592,1904.816327,542.9103514,1239.301673
"EIF4E",1396.57069,2256.017755,624.8235462,795.3877031
"EIF4EBP2",938.6187261,428.2857143,14.37473884,429.7948029
"ENO1",1849.119933,3794.591837,1350.555935,2215.018949
"ERLEC1",91.89599421,42.06122449,0.761633428,364.39546
"GPX1",170.3499228,122.747551,432.4695707,263.5428584
"GRWD1",92.3462838,122.877551,0.192592593,425.4100956
"GTF2A2",365.7297298,176.9795918,992.9498576,476.5
"HCK",61.14285715,124.0204082,0.022222222,245.4853644
"HES1",73.84821429,141.1428571,0.084900285,28.28853047
"HEXIM1",23.51434604,26.14183673,3.704053181,301.8480287
"HIF1A",2315.916117,1831.061224,1784.518518,2368.567999
"HK2",569.3955118,576.0816327,9.48091168,275.0910992
