"","stage1","stage2","stage3","stage4"
"ADCY3",0.809734554841717,0.842809028423165,-1.19270919761654,-0.459834385648337
"ADIPOR1",-0.103647673503853,-0.790927547821292,1.43813531857993,-0.54356009725479
"ADRM1",-0.652867363090334,-1.05318088837621,0.921119295916378,0.784928955550169
"AHSA1",-0.291777355432556,-1.2269602734531,1.11724621630557,0.401491412580089
"ALYREF",1.10220118261171,-1.3261763456435,0.0862347517933377,0.137740411238456
"ANAPC11",0.227683531463658,0.924884092042022,-1.42142982351976,0.268862200014085
"BATF",0.538795053160626,0.345410978032774,-1.49078814330298,0.606582112109583
"BCL3",0.716522653777519,0.520490330908687,-1.47014742017391,0.233134435487708
"BCL6",0.853313695010821,0.87838690681071,-0.84465251003573,-0.887048091785802
"BUB3",0.451988931564165,0.662754128868145,-1.48880508260213,0.37406202216982
"CASP10",-0.236520765179175,0.391357276882305,-1.25616976418403,1.1013332524809
"CASP2",0.594950904249944,0.338520467500222,-1.49039405507768,0.556922683327514
"CAT",0.791797388363725,0.433965524507094,-1.45948746280286,0.233724549932042
"CCNB1",0.473270767900915,0.688912114955187,-1.48277884610791,0.320595963251806
"CCT3",-0.723005240328616,-0.923202165111816,1.19050115366861,0.455706251771825
"CCT4",-0.422471207451726,-0.812257146871592,-0.219140261483277,1.45386861580658
"CCT7",0.285042337398463,0.960713245855877,-1.40384752168167,0.158091938427333
"CCT8",-0.578728045189837,-0.579692451810545,1.4897215024365,-0.331301005436112
"CD2AP",0.178526319541059,0.611940265335999,-1.46323112810769,0.672764543230634
"CD40",0.182947943925673,0.657733954740656,-1.46450163314145,0.623819734475121
"CDC14A",-0.230448352353985,-1.22404515841124,1.16930519079486,0.285188319970362
"CDK2",-0.194848264802178,-0.983557609222562,1.39553053206167,-0.217124658036929
"CDK5RAP3",0.360177214589527,1.15305820376348,-1.20147073948274,-0.311764678870265
"CHTOP",0.654504558299787,0.659696926612256,-1.45486667827637,0.140665193364327
"CLNS1A",0.80719122595789,0.294037289472089,-1.46045827608804,0.359229760658063
"CNOT11",0.529275835898813,0.895275052673721,-1.38446479726922,-0.0400860913033141
"CNOT8",-0.684718954266817,-0.969156075540562,1.1617846052303,0.492090424577079
"COX6A1",-0.941594891226301,1.40476535740713,-0.103581500577902,-0.359588965602932
"CPSF6",-0.203243497911151,1.09623277847401,-1.27058530530437,0.377596024741515
"CTBP1",0.326863501153447,1.11472066712946,-1.27372771726985,-0.167856451013056
"CUL4A",-1.07155661292084,-0.604094039550817,1.04146012449052,0.634190527981135
"CXCL8",-0.484927484105401,-0.864217188107526,1.41884322552055,-0.0696985533076208
