"","stage1","stage2","stage3","stage4"
"ADCY3",-0.364731600020309,-0.396828210938184,-0.621718073594972,-0.658647808676349
"ADIPOR1",-0.101939637312807,-0.401907422304056,0.977761668750782,-0.313644045040481
"ADRM1",-0.564977661679794,-0.56320939433459,-0.202090818682876,-0.342388046090596
"AHSA1",-0.542741716692294,-0.578246078999746,-0.205461206532208,-0.44254735531995
"ALYREF",-0.361178209135062,-0.64004685936334,-0.563347679882101,-0.612316977731292
"ANAPC11",0.0431588850057409,0.557972235131267,-0.546726232677655,-0.049449253070503
"BATF",-0.719854750930057,-0.635224721229575,-0.621094168568752,-0.653496581481864
"BCL3",-0.712384729632518,-0.632095976086131,-0.621643557729514,-0.657127027343168
"BCL6",-0.32059048479514,-0.382504525377086,-0.588615218344724,-0.639858023562313
"BUB3",1.02884034646184,0.624288729864136,-0.29472526074665,0.575489636184137
"CASP10",-0.676790386568761,-0.573472323519844,-0.604649090297603,-0.484532816453393
"CASP2",2.90783871528328,0.971885864433907,-0.36746861843941,1.94061114990357
"CAT",0.0577951787028412,-0.445113134892491,-0.620385386004184,-0.517494718762829
"CCNB1",-0.397272715055305,-0.264855482906704,-0.621888930977812,-0.501975248953299
"CCT3",-0.303373363746117,-0.424711781193712,1.56702651647686,0.279682752542283
"CCT4",0.0677642262650065,-0.186377845852242,0.117256377680808,0.152820025111286
"CCT7",0.0331364280472756,0.833704996319969,-0.584661642423861,-0.202473976622184
"CCT8",-0.266039310182618,-0.358669454632012,1.42353453474086,-0.240574679597156
"CD2AP",-0.408636388981309,-0.364297970317523,-0.542494040169689,-0.304626617836316
"CD40",0.00712733230742875,0.215729447759737,-0.552534060975099,0.348076393086718
"CDC14A",-0.701891383080113,-0.636498797860335,-0.481433359141042,-0.62133469693644
"CDK2",-0.604913622440348,-0.594325248626232,-0.312923005030474,-0.569595149886624
"CDK5RAP3",-0.284996393635057,-0.173380167653141,-0.484536911895939,-0.453082912749183
"CHTOP",0.604590606746196,0.173765556561984,-0.511873742703237,-0.103274978084955
"CLNS1A",0.334523395686541,-0.382876910567473,-0.606104574742806,-0.30488063806505
"CNOT11",-0.700994300632847,-0.608388474223207,-0.620540149724038,-0.654531349071579
"CNOT8",-0.409462019575164,-0.482496801056682,0.49631510320475,-0.0885651609867921
"COX6A1",0.84201778336022,0.797654433331132,1.00355825207569,0.642776651070538
"CPSF6",-0.0784222273473308,0.263354109568561,-0.324612295626636,0.0452354847648623
"CTBP1",1.50988365545261,2.61884763175165,-0.284519023253018,0.305342051439305
"CUL4A",-0.726313429812964,-0.62722545529218,0.0454521248882845,-0.419376036077986
"CXCL8",-0.72888128898848,-0.641804762562764,0.0991554622471345,-0.650676664629114
"DAXX",-0.59529186241468,-0.474691065765561,-0.592154455192621,-0.142778923742301
"DCTN1",-0.524970985537106,-0.429421026482688,-0.621670013066548,-0.654731645498902
"DCTN3",-0.165152788302868,-0.39371462569352,-0.580537255433203,-0.367778973884709
"DCTN5",-0.459834615612773,-0.330085626015833,-0.601756419678989,-0.374104662403299
"DDX17",1.72994144377785,0.0568085474505817,1.74253342591156,1.85483347265681
"DECR1",-0.667648959002927,-0.601953580862671,-0.62175819752217,-0.588877915319033
"DERL1",-0.300027960744434,-0.433178746133467,0.678663597904596,-0.147065436776803
"DHX29",-0.519202273242625,-0.471949381841171,0.244561488587906,-0.419261872990209
"DHX9",-0.37277292106989,1.06018421330585,-0.0462148498889716,-0.147605016683576
"DNAJB12",-0.663319670590021,-0.564844083043504,-0.621686106729534,-0.665458015901391
"DNAJB9",-0.633090195331202,-0.575762435941795,-0.618227005305606,-0.390375051191025
"ECHS1",-0.35818667522727,-0.249308522570706,-0.593417256600742,-0.470543015653699
"EIF1AX",0.181233921901747,-0.425063361865839,0.548220220933605,0.997549949292981
"EIF2AK2",-0.723291577679353,-0.633063629226619,0.641448199468874,-0.450575972238921
"EIF3D",0.0163688553996079,-0.15168844852969,-0.507077839892406,-0.133780475086815
"EIF3H",0.00878470286358474,-0.0605514892715155,3.31441010986431,0.382076988082804
"EIF3I",-0.180838510980821,1.08348852642609,-0.150725555617223,0.294469943595691
"EIF3M",0.741334203072917,-0.197429573576182,0.515112405119987,0.785524880355231
"EIF4A3",-0.473196167676415,0.862315274368651,0.00825249981616633,0.545232611871336
"EIF4E",1.08602382510887,1.13985222465438,0.103331430546447,0.111288936119071
"EIF4EBP2",0.488676155959872,-0.304513134006358,-0.605233532779385,-0.246092758756305
"ENO1",1.67632424260031,2.35571048849645,0.945709263469599,1.49903530778065
"ERLEC1",-0.615779966473986,-0.60972706106228,-0.621034644061294,-0.310023234420772
"GPX1",-0.513445496762984,-0.545964686527334,-0.119939195839359,-0.408610689682298
"GRWD1",-0.615192613523826,-0.545861954019262,-0.621695145635745,-0.25037898566484
"GTF2A2",-0.258594155333392,-0.503107812917461,0.530625911576677,-0.200436558950578
"HCK",-0.65589403124481,-0.544958811045993,-0.621892899279005,-0.426262612920938
"HES1",-0.639321298575098,-0.531427794739507,-0.62182014710245,-0.638581212622971
"HEXIM1",-0.704976260773176,-0.622307358228174,-0.617619295355167,-0.371165852332298
"HIF1A",2.28520821834615,0.804030299642895,1.44942174189671,1.64913565082748
"HK2",0.00706532372427247,-0.187717400313004,-0.610913934510604,-0.397321822016446
"HSPA4",-0.270533535982199,-0.452193130288734,-0.284012172030539,0.179542419026743
"HSPA5",1.09640756791913,1.80320796363606,0.0429101638640787,0.835543393506764
"IL10RA",-0.694835908291148,-0.63432157830135,-0.137817115014285,-0.37539169835271
"ISG15",0.825486234358389,0.506976914200828,-0.546818826379911,0.357652373272112
"KAT5",-0.661460824470708,-0.616404674087003,-0.373144139124085,-0.408028016780599
"KRR1",0.877122458110351,1.03548873765429,-0.312377925814913,0.545110266871258
"LCK",-0.0404891747106648,0.0564376137124838,-0.508121502929892,-0.430006053982415
"LSM3",0.0533432764248273,-0.250563407348089,-0.448488038849673,0.0316592405842349
"LSM5",-0.394353577235338,-0.532637361125604,0.11290893040565,-0.118295458480159
"LSM6",-0.549020034865682,-0.576230134962332,-0.0909307624534377,-0.48661987028412
"LSM7",1.45707980886934,0.474350876148589,0.68447714306553,0.171993054011338
"MAX",-0.247932497369486,-0.233406755998902,-0.600386915073635,0.0355633567724258
"MON1B",-0.728298657539095,-0.64038553796172,-0.585780275472044,-0.470206955573398
"MRPL1",-0.541161907214513,-0.452918870183612,-0.599180551726676,-0.592520916185417
"MRPL24",-0.593218500177846,-0.572794966321503,-0.621848807050614,-0.359807117534357
"MRPL4",-0.661798140067942,-0.554485194939072,-0.621841311371613,-0.606022259381793
"MT-ND3",0.76950230868981,0.415453055387426,5.20740564074908,0.699708462219516
"NDUFA1",0.192091632195254,0.0378307728148169,0.470602279514178,0.486330312675049
"NDUFA11",0.222397013171043,-0.00918620289638021,-0.609977415584452,-0.0993695973509801
