"","source","target"
"1","ALYREF","ACIN1"
"2","ALYREF","CCAR1"
"3","ALYREF","CD2BP2"
"4","ALYREF","CDC40"
"5","ALYREF","CHTOP"
"6","ALYREF","CLP1"
"7","ALYREF","CPSF2"
"8","ALYREF","CPSF3"
"9","ALYREF","CPSF7"
"10","ALYREF","CSTF1"
"11","ALYREF","CSTF2"
"12","ALYREF","CSTF3"
"13","ALYREF","DDX23"
"14","ALYREF","DDX39A"
"15","ALYREF","DDX39B"
"16","ALYREF","DDX3X"
"17","ALYREF","DHX38"
"18","ALYREF","DHX9"
"19","ALYREF","DNAJC8"
"20","ALYREF","EFTUD2"
"21","ALYREF","EIF4A3"
"22","ALYREF","EIF4E"
"23","ALYREF","FUS"
"24","ALYREF","GTF2F1"
"25","ALYREF","GTF2F2"
"26","ALYREF","HNRNPA0"
"27","ALYREF","HNRNPA1"
"28","ALYREF","HNRNPA2B1"
"29","ALYREF","HNRNPA3"
"30","ALYREF","HNRNPC"
"31","ALYREF","HNRNPD"
"32","ALYREF","HNRNPF"
"33","ALYREF","HNRNPH1"
"34","ALYREF","HNRNPK"
"35","ALYREF","HNRNPL"
"36","ALYREF","HNRNPM"
"37","ALYREF","HNRNPR"
"38","ALYREF","HNRNPU"
"39","ALYREF","HNRNPUL1"
"40","ALYREF","HRH1"
"41","ALYREF","IMP4"
"42","ALYREF","MAGOH"
"43","ALYREF","MAPRE2"
"44","ALYREF","NCBP1"
"45","ALYREF","NCBP2"
"46","ALYREF","NFX1"
"47","ALYREF","NUDT21"
"48","ALYREF","NUP107"
"49","ALYREF","NUP133"
"50","ALYREF","NUP153"
"51","ALYREF","NUP155"
"52","ALYREF","NUP160"
"53","ALYREF","NUP188"
"54","ALYREF","NUP205"
"55","ALYREF","NUP210"
"56","ALYREF","NUP214"
"57","ALYREF","NUP35"
"58","ALYREF","NUP37"
"59","ALYREF","NUP43"
"60","ALYREF","NUP50"
"61","ALYREF","NUP54"
"62","ALYREF","NUP62"
"63","ALYREF","NUP85"
"64","ALYREF","NUP88"
"65","ALYREF","NUP93"
"66","ALYREF","NXF1"
"67","ALYREF","PABPN1"
"68","ALYREF","PAPOLA"
"69","ALYREF","PCBP1"
"70","ALYREF","PCBP2"
"71","ALYREF","PCF11"
"72","ALYREF","PHF5A"
"73","ALYREF","POLR2A"
"74","ALYREF","POLR2B"
"75","ALYREF","POLR2C"
"76","ALYREF","POLR2E"
"77","ALYREF","POLR2F"
"78","ALYREF","POLR2G"
"79","ALYREF","POLR2H"
"80","ALYREF","POLR2I"
"81","ALYREF","POLR2J"
"82","ALYREF","POLR2K"
"83","ALYREF","POLR2L"
"84","ALYREF","PRMT1"
"85","ALYREF","PRPF4"
"86","ALYREF","PRPF6"
"87","ALYREF","PRPF8"
"88","ALYREF","PTBP1"
"89","ALYREF","RAE1"
"90","ALYREF","RBM5"
"91","ALYREF","RBM8A"
"92","ALYREF","RBMX"
"93","ALYREF","RBP4"
"94","ALYREF","RGPD8"
"95","ALYREF","RNPS1"
"96","ALYREF","SAP18"
"97","ALYREF","SARNP"
"98","ALYREF","SF1"
"99","ALYREF","SF3A1"
"100","ALYREF","SF3A3"
"101","ALYREF","SF3B1"
"102","ALYREF","SF3B3"
"103","ALYREF","SF3B5"
"104","ALYREF","SLBP"
"105","ALYREF","SMAD4"
"106","ALYREF","SNRNP200"
"107","ALYREF","SNRNP40"
"108","ALYREF","SNRNP70"
"109","ALYREF","SNRPA"
"110","ALYREF","SNRPA1"
"111","ALYREF","SNRPB"
"112","ALYREF","SNRPB2"
"113","ALYREF","SNRPD1"
"114","ALYREF","SNRPD2"
"115","ALYREF","SNRPD3"
"116","ALYREF","SNRPE"
"117","ALYREF","SNRPF"
"118","ALYREF","SNRPG"
"119","ALYREF","SNU13"
"120","ALYREF","SPEN"
"121","ALYREF","SRRM1"
"122","ALYREF","SRRT"
"123","ALYREF","SRSF1"
"124","ALYREF","SRSF11"
"125","ALYREF","SRSF2"
"126","ALYREF","SRSF3"
"127","ALYREF","SRSF4"
"128","ALYREF","SRSF5"
"129","ALYREF","SRSF6"
"130","ALYREF","SRSF7"
"131","ALYREF","SRSF9"
"132","ALYREF","SUGP1"
"133","ALYREF","THOC1"
"134","ALYREF","THOC2"
"135","ALYREF","THOC3"
"136","ALYREF","THOC6"
"137","ALYREF","THOC7"
"138","ALYREF","TPR"
"139","ALYREF","TXNL4A"
"140","ALYREF","U2AF1L4"
"141","ALYREF","U2AF2"
"142","ALYREF","UBC"
"143","ALYREF","UPF1"
"144","ALYREF","UPF3A"
"145","ALYREF","UPF3B"
"146","ALYREF","YBX1"
"147","ALYREF","ZC3H13"
"148","ALYREF","ZC3H14"
"149","ANAPC11","ANAPC1"
"150","ANAPC11","ANAPC10"
"151","ANAPC11","ANAPC13"
"152","ANAPC11","ANAPC15"
"153","ANAPC11","ANAPC16"
"154","ANAPC11","ANAPC4"
"155","ANAPC11","ANAPC5"
"156","ANAPC11","AURKA"
"157","ANAPC11","AURKB"
"158","ANAPC11","BARD1"
"159","ANAPC11","BRCC3"
"160","ANAPC11","BUB3"
"161","ANAPC11","CBX4"
"162","ANAPC11","CCNB1"
"163","ANAPC11","CCNB2"
"164","ANAPC11","CCNE1"
"165","ANAPC11","CCNE2"
"166","ANAPC11","CDC14A"
"167","ANAPC11","CDC16"
"168","ANAPC11","CDC20"
"169","ANAPC11","CDC23"
"170","ANAPC11","CDC26"
"171","ANAPC11","CDC27"
"172","ANAPC11","CDK1"
"173","ANAPC11","CDK2"
"174","ANAPC11","CDKN1A"
"175","ANAPC11","CDKN1B"
"176","ANAPC11","CEBPB"
"177","ANAPC11","COMMD3-BMI1"
"178","ANAPC11","CUL4A"
"179","ANAPC11","CXCL8"
"180","ANAPC11","EHMT1"
"181","ANAPC11","FZR1"
"182","ANAPC11","MAD2L1"
"183","ANAPC11","MAD2L2"
"184","ANAPC11","NFKB1"
"185","ANAPC11","PCGF6"
"186","ANAPC11","PHC1"
"187","ANAPC11","PHC2"
"188","ANAPC11","PHC3"
"189","ANAPC11","PHGDH"
"190","ANAPC11","PPP3CA"
"191","ANAPC11","PPP3CB"
"192","ANAPC11","PPP3CC"
"193","ANAPC11","PPP3R1"
"194","ANAPC11","PSMA1"
"195","ANAPC11","PSMA3"
"196","ANAPC11","PSMA4"
"197","ANAPC11","PSMA5"
"198","ANAPC11","PSMA6"
"199","ANAPC11","PSMA7"
"200","ANAPC11","PSMB1"
"201","ANAPC11","PSMB10"
"202","ANAPC11","PSMB2"
"203","ANAPC11","PSMB3"
"204","ANAPC11","PSMB4"
"205","ANAPC11","PSMB5"
"206","ANAPC11","PSMB6"
"207","ANAPC11","PSMB7"
"208","ANAPC11","PSMC1"
"209","ANAPC11","PSMC2"
"210","ANAPC11","PSMC3"
"211","ANAPC11","PSMC4"
"212","ANAPC11","PSMC5"
"213","ANAPC11","PSMC6"
"214","ANAPC11","PSMD10"
"215","ANAPC11","PSMD11"
"216","ANAPC11","PSMD12"
"217","ANAPC11","PSMD13"
"218","ANAPC11","PSMD14"
"219","ANAPC11","PSMD3"
"220","ANAPC11","PSMD4"
"221","ANAPC11","PSMD5"
"222","ANAPC11","PSMD6"
"223","ANAPC11","PSMD7"
"224","ANAPC11","PSMD8"
"225","ANAPC11","PSMD9"
"226","ANAPC11","PSME1"
"227","ANAPC11","PSME2"
"228","ANAPC11","PSME3"
"229","ANAPC11","PSME4"
"230","ANAPC11","PSMF1"
"231","ANAPC11","PTTG1"
"232","ANAPC11","PTTG2"
"233","ANAPC11","RBX1"
"234","ANAPC11","RELA"
"235","ANAPC11","RNF2"
"236","ANAPC11","RNF7"
"237","ANAPC11","RPN1"
"238","ANAPC11","RPN2"
"239","ANAPC11","SKP1"
"240","ANAPC11","SKP2"
"241","ANAPC11","UBC"
"242","ANAPC11","UBE2C"
"243","ANAPC11","UBE2D1"
"244","ANAPC11","UBE2D3"
"245","ANAPC11","UBE2E1"
"246","ANAPC11","UBE2K"
"247","ANAPC11","UBE2S"
"248","ANAPC11","WDFY1"
"249","ANAPC11","WDFY2"
"250","CCT4","ACTG1"
"251","CCT4","CCT2"
"252","CCT4","CCT3"
"253","CCT4","CCT5"
"254","CCT4","CCT6A"
"255","CCT4","CCT7"
"256","CCT4","CCT8"
"257","CCT4","COP1"
"258","CCT4","FARS2"
"259","CCT4","GCN1"
"260","CCT4","GRPEL1"
