source,target,,,,
ALYREF,ACIN1,,,,
ALYREF,ALYREF,,,,
ALYREF,CCAR1,,,,
ALYREF,CD2BP2,,,,
ALYREF,CDC40,,,,
ALYREF,CHTOP,,,,
ALYREF,CLP1,,,,
ALYREF,CPSF2,,,,
ALYREF,CPSF3,,,,
ALYREF,CPSF7,,,,
ALYREF,CSTF1,,,,
ALYREF,CSTF2,,,,
ALYREF,CSTF3,,,,
ALYREF,DDX23,,,,
ALYREF,DDX39A,,,,
ALYREF,DDX39B,,,,
ALYREF,DDX3X,,,,
ALYREF,DHX38,,,,
ALYREF,DHX9,,,,
ALYREF,DNAJC8,,,,
ALYREF,EFTUD2,,,,
ALYREF,EIF4A3,,,,
ALYREF,EIF4E,,,,
ALYREF,FUS,,,,
ALYREF,GTF2F1,,,,
ALYREF,GTF2F2,,,,
ALYREF,HNRNPA0,,,,
ALYREF,HNRNPA1,,,,
ALYREF,HNRNPA2B1,,,,
ALYREF,HNRNPA3,,,,
ALYREF,HNRNPC,,,,
ALYREF,HNRNPD,,,,
ALYREF,HNRNPF,,,,
ALYREF,HNRNPH1,,,,
ALYREF,HNRNPK,,,,
ALYREF,HNRNPL,,,,
ALYREF,HNRNPM,,,,
ALYREF,HNRNPR,,,,
ALYREF,HNRNPU,,,,
ALYREF,HNRNPUL1,,,,
ALYREF,HRH1,,,,
ALYREF,IMP4,,,,
ALYREF,MAGOH,,,,
ALYREF,MAPRE2,,,,
ALYREF,NCBP1,,,,
ALYREF,NCBP2,,,,
ALYREF,NFX1,,,,
ALYREF,NUDT21,,,,
ALYREF,NUP107,,,,
ALYREF,NUP133,,,,
ALYREF,NUP153,,,,
ALYREF,NUP155,,,,
ALYREF,NUP160,,,,
ALYREF,NUP188,,,,
ALYREF,NUP205,,,,
ALYREF,NUP210,,,,
ALYREF,NUP214,,,,
ALYREF,NUP35,,,,
ALYREF,NUP37,,,,
ALYREF,NUP43,,,,
ALYREF,NUP50,,,,
ALYREF,NUP54,,,,
ALYREF,NUP62,,,,
ALYREF,NUP85,,,,
ALYREF,NUP88,,,,
ALYREF,NUP93,,,,
ALYREF,NXF1,,,,
ALYREF,PABPN1,,,,
ALYREF,PAPOLA,,,,
ALYREF,PCBP1,,,,
ALYREF,PCBP2,,,,
ALYREF,PCF11,,,,
ALYREF,PHF5A,,,,
ALYREF,POLR2A,,,,
ALYREF,POLR2B,,,,
ALYREF,POLR2C,,,,
ALYREF,POLR2E,,,,
ALYREF,POLR2F,,,,
ALYREF,POLR2G,,,,
ALYREF,POLR2H,,,,
ALYREF,POLR2I,,,,
ALYREF,POLR2J,,,,
ALYREF,POLR2K,,,,
ALYREF,POLR2L,,,,
ALYREF,PRMT1,,,,
ALYREF,PRPF4,,,,
ALYREF,PRPF6,,,,
ALYREF,PRPF8,,,,
ALYREF,PTBP1,,,,
ALYREF,RAE1,,,,
ALYREF,RBM5,,,,
ALYREF,RBM8A,,,,
ALYREF,RBMX,,,,
ALYREF,RBP4,,,,
ALYREF,RGPD8,,,,
ALYREF,RNPS1,,,,
ALYREF,SAP18,,,,
ALYREF,SARNP,,,,
ALYREF,SF1,,,,
ALYREF,SF3A1,,,,
ALYREF,SF3A3,,,,
ALYREF,SF3B1,,,,
ALYREF,SF3B3,,,,
ALYREF,SF3B5,,,,
ALYREF,SLBP,,,,
ALYREF,SMAD4,,,,
ALYREF,SNRNP200,,,,
ALYREF,SNRNP40,,,,
ALYREF,SNRNP70,,,,
ALYREF,SNRPA,,,,
ALYREF,SNRPA1,,,,
ALYREF,SNRPB,,,,
ALYREF,SNRPB2,,,,
ALYREF,SNRPD1,,,,
ALYREF,SNRPD2,,,,
ALYREF,SNRPD3,,,,
ALYREF,SNRPE,,,,
ALYREF,SNRPF,,,,
