"","stage1","stage2","stage3","stage4"
"ADCY3",8.15157614983302,8.28294089557127,-2.53249508226972,2.9562210115639
"ADIPOR1",8.92430094695395,8.25285848665945,10.4285381335513,8.49462144538134
"ADRM1",7.03169500275624,6.65714998727852,8.49862433277135,8.37193793015206
"AHSA1",7.20838267098588,6.35575559660008,8.48699560318307,7.83811009808298
"ALYREF",8.16533142624424,1.88513604296003,5.65708513511868,5.78545149199724
"ANAPC11",9.22174747866006,10.5695650259825,6.01748629215955,9.30139648713434
"BATF",3.59787280400285,3.29218075144221,-0.493395261174726,3.70381676833564
"BCL3",4.15661510540705,3.78189493698103,-2.07681559727625,3.21980462676829
"BCL6",8.31379330800189,8.36454474025164,4.84257099614355,4.75394589040013
"BUB3",10.4016597093861,10.6471096235601,8.13897016536522,10.3109011589345
"CASP10",5.49578559010226,6.45842753899183,3.89513319264249,7.53819936443651
"CASP2",11.4477294858113,10.9968049160259,7.77620899033661,11.3808616966292
"CAT",9.2486087464656,7.96790260692837,0.401616983165961,7.24941792810259
"CCNB1",8.01910633571291,8.90228281462835,-5.28540219866452,7.39260210454439
"CCT3",8.3724302124308,8.10948422748521,10.8809903135048,9.91834230871705
"CCT4",9.26662224982962,9.17436830193495,9.31474247684583,9.71058779339874
"CCT7",9.20306095765048,10.8677515117156,5.00441175808853,8.8900081587401
"CCT8",8.49194109603952,8.49087133699854,10.7831750182941,8.76632902268821
"CD2AP",7.96982401828989,8.46202226138204,6.09648516313676,8.53105416283969
"CD40",9.15340775549677,10.0856214945617,5.90151444112038,10.0190563471683
"CDC14A",4.69372912204188,3.03274858227135,6.91924590370669,5.5214057831237
"CDK2",6.64712153330117,5.94371086919651,8.05641308152252,6.62730942174651
"CDK5RAP3",8.43249454037981,9.21486375850068,6.88701707111748,7.76850751248626
"CHTOP",10.0048997104003,10.0133369174385,6.56691932287611,9.16965939662439
"CLNS1A",9.68025174621228,8.36248062388332,3.76811141945136,8.53004035025446
"CNOT11",4.73156803241383,5.45137934631565,0.248114986013052,3.58158306373059
"CNOT8",7.96617693396907,7.66577096627566,9.91197632322925,9.20687213398811
"COX6A1",10.2402014330754,10.8320933546075,10.4516175637841,10.3870338558486
"CPSF6",8.97687093849136,10.1634956516084,8.00077688325664,9.50743116011231
"CTBP1",10.749466845911,12.0110774663354,8.1832849374398,9.95695600077613
"CUL4A",2.83922811266267,4.3160274936694,9.16731497865881,7.98031193254774
"CXCL8",2.37510654076108,0.555215157226917,9.27897400923766,3.99233095598489
"DAXX",6.74957503395455,7.7342948738434,4.68047824210951,9.06469528731342
"DCTN1",7.33551537778468,8.07801461836863,-2.22266646516418,3.55667772279213
"DCTN3",8.77269670172241,8.30107618978907,5.15588205260824,8.25414390579647
"DCTN5",7.72417472604211,8.62908595931086,4.11855661032115,8.22323764692774
"DDX17",10.8843423689655,9.79036512161882,10.9922603969342,11.3325915467729
"DECR1",5.70407053805471,5.69760590247278,-2.85442317507032,6.30622233645094
"DERL1",8.38355234276791,8.05240169820382,10.1299121549843,9.05283259562645
"DHX29",7.3744877531487,7.75761111098334,9.54399312732408,7.98097897277349
"DHX9",8.1199550834734,11.073608773071,8.95415321853669,9.05133240177268
"DNAJB12",5.79311681089982,6.62727330562082,-2.31919053265357,-0.332415750362793
"DNAJB9",6.29692063505175,6.4100835406462,1.66925078640636,8.14056129001971
"ECHS1",8.17681091524616,8.96041572659498,4.61793292105739,7.64520862111649
"EIF1AX",9.45721775829831,8.10715834899092,9.97743428074899,10.7330250339916
"EIF2AK2",3.24382902847575,3.64738500069105,10.0880281409689,7.78537648868743
"EIF3D",9.17124684686596,9.28001320136399,6.62846233078601,9.08928514686835
"EIF3H",9.15662328529258,9.52552120862562,11.7276052044409,10.0666238897975
"EIF3I",8.73247439545466,11.0932154263415,8.6651449030881,9.94072098783017
"EIF3M",10.1450622695852,9.13901825662986,9.93602618302395,10.5363588371056
"EIF4A3",7.65253496062655,10.8954361763957,9.08457018104858,10.2753116982629
"EIF4E",10.4476728847972,11.1395627065431,9.28730501160592,9.63551444765108
"EIF4EBP2",9.87439543320302,8.74242974593838,3.84546384032459,8.74750422750615
"ENO1",10.8526230849223,11.8897289960196,10.3993376768052,11.113103325434
"ERLEC1",6.52193007001077,5.39441894543105,-0.39283129513924,8.50936117450117
"GPX1",7.41235748340163,6.93955043064544,8.75645481560012,8.0418937875887
"GRWD1",6.52898200031614,6.94107755772895,-2.37637587585788,8.73271046073017
"GTF2A2",8.51463409644223,7.46743919693921,9.95557705554618,8.89633240390994
"HCK",5.93411206451208,6.95443373285718,-5.49185311075663,7.93949320479556
"HES1",6.20649113075747,7.14101230908901,-3.55808679303532,4.82214532857772
"HEXIM1",4.55546930469464,4.70828860358655,1.88910481226289,8.23767856904688
"HIF1A",11.1773672841983,10.838464315057,10.8013191570146,11.2097993753747
"HK2",9.15328731100839,9.17012945065549,3.24502579466939,8.10376565059293
"HSPA4",8.47806779997961,7.9153306519211,8.1854505680589,9.75690549369071
"HSPA5",10.4558730661272,11.5959301115143,9.16180937903644,10.5852279453369
"IL10RA",4.96755453817415,3.45137934631565,8.70413617248902,8.2168675224483
"ISG15",10.2250044136515,10.506965312979,6.01570862999585,10.0326127572318
"KAT5",5.82972573436666,5.07087119729143,7.74366530198738,8.04515307675142
"KRR1",10.2719509346553,11.0525367227895,8.05895580403338,10.2751659943859
"LCK",9.05782450092358,9.78960018069436,6.61529131232896,7.91681049177839
"LSM3",9.2404911865121,8.95580941748617,7.22318529668266,9.47963565367968
"LSM5",8.03149897282223,7.12528167059011,9.30623223621382,9.13064359710365
"LSM6",7.16064774872128,6.40000808571342,8.83750544426645,7.52153243006537
"LSM7",10.7151365240062,10.4654414654781,10.1363465677538,9.74397024783693
"MAX",8.54652180799518,9.01754700932646,4.21336574655633,9.48768380459864
"MON1B",2.49426485535475,1.70721825057378,4.9604316224747,7.64768403120814
"MRPL1",7.22014952351441,7.90983187081046,4.29201262091207,6.23662862960268
"MRPL24",6.77073084958978,6.47242145746843,-4.05387878279271,8.29217317667637
"MRPL4",5.82315111514794,6.80691058342912,-3.90689058839504,5.94475442140284
"MT-ND3",10.1723173908066,10.3873140036081,12.2940831428925,10.4484537161415
"NDUFA1",9.47420177713131,9.75069912565072,9.87841544475314,10.2034043318407
"NDUFA11",9.52057523936266,9.64745659088515,3.36285548495971,9.17963315342514
"NDUFB9",8.46329375372853,10.4438041010458,8.21732547723033,9.31043972080507
"NDUFC1",9.17343531660194,9.85353234817813,6.2673558128829,7.99021581903015
"NDUFS6",8.26767922289744,10.1876550543597,8.31907121877426,7.03124047455239
"NDUFS7",8.60635686985142,8.81816868049432,-0.222986245962886,8.5427422481033
"NDUFV1",7.27458952397835,8.44590165766445,0.43665895243381,7.05982416059081
"NHP2",8.32514373284303,8.5802916445088,8.52249389551068,9.89087633390904
"NSMCE2",7.75584779297479,7.48513105483621,-3.3042260917464,3.77085430090155
