"","stage1","stage2","stage3","stage4"
"ADCY3",0.103806255970077,0.0717332885715217,-1.86361804178093,-2.01525952581782
"ADIPOR1",0.46218986726553,0.0595816724291645,0.99210608458951,0.132341674003256
"ADRM1",-0.415585707645477,-0.584995602496355,0.566885246795879,0.0847692263889764
"AHSA1",-0.333639373261695,-0.706742133956655,0.564323071150518,-0.122230846348491
"ALYREF",0.110185843700387,-2.5126232019788,-0.0591953987547244,-0.918181254400568
"ANAPC11",0.600143201489201,0.995401960720121,0.0202123353506958,0.445181286876855
"BATF",-2.00816511589131,-1.94425558079756,-1.41434008236095,-1.72536760424047
"BCL3",-1.7490248831631,-1.74643835081512,-1.76321748902257,-1.91305086556824
"BCL6",0.179041282948959,0.104696692506469,-0.238658535621147,-1.3181636489717
"BUB3",1.14737710395332,1.02672565512366,0.487642098050789,0.836632477575378
"CASP10",-1.12792826993996,-0.665268393067351,-0.44740894530228,-0.238525913690601
"CASP2",1.63253594127691,1.16798305818902,0.40771437759906,1.25152637374142
"CAT",0.612601243726216,-0.0555246170355582,-1.21714067572408,-0.3505054223173
"CCNB1",0.0423678104214316,0.321912896305539,-2.47017024630342,-0.294983523387026
"CCT3",0.206236612570472,0.00166646466480795,1.09179556032861,0.684411657177542
"CCT4",0.620955763228808,0.431820264739631,0.746701796541102,0.603851601670988
"CCT7",0.591476541758704,1.11585267741932,-0.202999914829071,0.285659042465414
"CCT8",0.261664809279553,0.155725595036802,1.07024376782798,0.237700527339632
"CD2AP",0.0195110638062354,0.144072176788908,0.0376182765321638,0.14646902876232
"CD40",0.568447781757046,0.799915753294322,-0.00533991866159537,0.723465097318137
"CDC14A",-1.49991567678562,-2.04905171411204,0.218898399648269,-1.02056909868173
"CDK2",-0.593947822211033,-0.87318523283108,0.469452170426453,-0.591737704207097
"CDK5RAP3",0.234093969860678,0.448178171619321,0.211797372032861,-0.149220335123165
"CHTOP",0.963362973976005,0.77071681391458,0.141269749178389,0.394098174158499
"CLNS1A",0.812793831845538,0.103862904565666,-0.475395845438719,0.146075907110959
"CNOT11",-1.48236629129016,-1.07205972118631,-1.25096200380929,-1.77276563076551
"CNOT8",0.0178195751229884,-0.177568956384666,0.878291236657671,0.408527993808766
"COX6A1",1.07249404034082,1.1014487698469,0.99719121049276,0.866154118921478
"CPSF6",0.486571410970537,0.831372571350878,0.457193762393562,0.525074446676292
"CTBP1",1.30868728590495,1.57769262404265,0.497406039062335,0.699384718874065
"CUL4A",-2.36001848617996,-1.53067857515887,0.714218872035577,-0.0670898658501233
"CXCL8",-2.5752743775891,-3.04983709832951,0.73882087576796,-1.6134917254619
"DAXX",-0.546430703968128,-0.149889117852505,-0.27437267821279,0.353396702715955
"DCTN1",-0.274676235614143,-0.011045503025537,-1.79535303218059,-1.78242306538414
"DCTN3",0.391877024845774,0.0790589364147338,-0.16962623486964,0.0390927551657786
"DCTN5",-0.0944191229768759,0.211556597152473,-0.398181724475297,0.0271083709700852
"DDX17",1.37124148011189,0.680648638812124,1.11631186674504,1.23280886983653
"DECR1",-1.03132736868274,-0.97259791933238,-1.93454894723104,-0.716244232376733
"DERL1",0.211394968107091,-0.0213916948827097,0.926309369346645,0.348796758886596
"DHX29",-0.256601158075853,-0.140470657900071,0.797212940417942,-0.0668312105928416
"DHX9",0.0891406570437865,1.19900753471287,0.667252617797661,0.348215035307954
"DNAJB12",-0.990028415997993,-0.597064116297096,-1.816620326517,-3.29047975232307
"DNAJB9",-0.75636821180013,-0.684796673279382,-0.937840995286757,-0.00495067665824728
"ECHS1",0.115509939341763,0.345395351900324,-0.288153383758863,-0.197031404439404
"EIF1AX",0.709352443232092,0.000726939418036632,0.892713687818731,1.00031759774297
"EIF2AK2",-2.17236780137886,-1.80077286630954,0.917081000948751,-0.142679126345954
"EIF3D",0.576721410364464,0.474494914533228,0.154829613548088,0.362931804504758
"EIF3H",0.569939118886051,0.573666462691612,1.27833150461115,0.741910154305942
"EIF3I",0.373222239301714,1.20692752958687,0.603574976871567,0.693089339242619
"EIF3M",1.02836925346418,0.417540817158767,0.883590178779641,0.924057210751525
"EIF4A3",-0.127645076042767,1.12703573856341,0.695987585151849,0.822832108795123
"EIF4E",1.16871764852033,1.22564924698336,0.740656458168199,0.574740740271767
"EIF4EBP2",0.90283612880973,0.257341168170582,-0.458352669108364,0.23040091923031
"ENO1",1.35653032860563,1.52867460706594,0.985672303621406,1.14769888670568
"ERLEC1",-0.652010626568472,-1.09506854767004,-1.39218267104435,0.138057233995899
"GPX1",-0.239037478564858,-0.470921566860255,0.623693428525487,-0.0432105405189992
"GRWD1",-0.648739997414527,-0.470304692654008,-1.82922006000615,0.224664405293187
"GTF2A2",0.272189642267641,-0.257683934439645,0.887897852205333,0.288111367225428
"HCK",-0.924635939461262,-0.464909542492862,-2.51565788920622,-0.0829179645481679
"HES1",-0.798308696222776,-0.389542199225808,-2.08958822050586,-1.29171825250614
"HEXIM1",-1.56403947975218,-1.37222695483614,-0.88940022397913,0.032708063885066
"HIF1A",1.50714410380402,1.10402228269516,1.07424149345938,1.18519428909706
"HK2",0.568391920561876,0.430108005133575,-0.590648095315221,-0.0192187600742852
"HSPA4",0.25523048497542,-0.0767607560354082,0.497883195744585,0.621812012787639
"HSPA5",1.17252082736131,1.40999623665925,0.713005814911973,0.943006970113593
"IL10RA",-1.37291762798015,-1.87994822359836,0.612165982456685,0.0246382557917881
"ISG15",1.06544578367509,0.970115166525217,0.0198206603472531,0.728721806879946
"KAT5",-0.973049488640453,-1.22576380052169,0.400543977336022,-0.0419467002820806
"KRR1",1.08721920650013,1.19049560114052,0.470012412337729,0.822775609842972
"LCK",0.524117028970358,0.680339645323173,0.15192762305471,-0.0917135405042565
"LSM3",0.608836384022112,0.343534659816544,0.285865827554894,0.514296305283721
"LSM5",0.0481154168878726,-0.39589650021524,0.744826722302082,0.378969189018473
"LSM6",-0.355778450317117,-0.688866595377761,0.641551436593657,-0.244988777595178
"LSM7",1.29276515581798,0.953341847039243,0.927727073281117,0.616796169341949
"MAX",0.286978909112543,0.368473205123732,-0.377292283545798,0.51741710140102
"MON1B",-2.52000969958334,-2.58449207140049,-0.212690124881165,-0.196071525545413
"MRPL1",-0.328182000703617,-0.0789819570536938,-0.359963898314352,-0.74323027827813
"MRPL24",-0.536618805041752,-0.659615630146883,-2.19882682233917,0.05383919842967
"MRPL4",-0.976098744711018,-0.524500670624131,-2.16644069030452,-0.856409057461264
"MT-ND3",1.04100996178103,0.921782707955537,1.40314444883834,0.889970628260964
"NDUFA1",0.717229496002184,0.664625787772446,0.87089671734964,0.794948905287231
"NDUFA11",0.738737138729149,0.622921559373957,-0.564686500760083,0.397965654007231
"NDUFB9",0.248378399901099,0.944601558065587,0.504906242876013,0.448687941860296
"NDUFC1",0.577736405211414,0.706164676845385,0.0752664662129851,-0.0632494793077125
"NDUFS6",0.157653937269236,0.841131623204847,0.527324036584602,-0.435107134782384
"NDUFS7",0.314729934613499,0.287935475376925,-1.35476045349418,0.15100126622613
"NDUFV1",-0.302933161740656,0.137560351591215,-1.20941982543326,-0.424023364447437
"NHP2",0.184305519659701,0.191846414196644,0.572144463793905,0.67376129681505
"NSMCE2",-0.0797294065986427,-0.250537410148997,-2.03365470677,-1.6993727548084
"NUDT2",-2.07288698538496,-2.51585184381271,0.155463610161431,-5.78089335764816
"NUP107",-0.0985830189820387,0.104549088075877,-0.29492010757289,-0.891669561343976
"NUP153",-0.323729799805787,-0.20196914394079,-0.525730329609573,0.375759606724406
"NUP62",0.365859518828017,0.757401135375361,-0.547362052959519,-0.539806562638561
"PABPN1",-0.648267342556669,-0.892052493690299,0.590175309011294,-0.339712408670338
"PCF11",0.415405881934796,0.116386598970419,0.937445909860504,0.619048391395068
"PCNA",-2.08119406520951,-1.30442393105076,-1.5236151499462,-0.00160351899550987
"PFDN4",-0.18914694532678,-0.348313831148179,0.710879988834173,0.282851957780663
"PFKP",-1.03252399195636,-1.23000768768929,-1.87754163274551,-1.2858074071129
"PHC1",-2.14186222122681,-1.42610161833323,-1.23775617675197,-1.43636963962739
"PIAS1",0.52197271812802,0.768225391674092,0.196245113749865,0.564740425899135
"PIAS2",-0.185828015571202,-0.527408845184587,-0.904792528105476,-0.30482570573991
"PIM1",0.760223378512274,0.556603814880817,-0.355787647408305,-0.0108514071699206
"PKM",0.785914266869556,0.752921779839064,0.165714764363405,0.683785172221406
"POLR1D",0.112702478219259,-0.109801419619796,-0.394862432473905,-0.213426259764157
"POLR2G",0.0620382147281576,1.1151776241987,0.922453213206668,0.314019542243767
"POLR2I",-0.571206375226371,-0.312093098140726,-0.776150452895352,-0.180633331216346
"POLR2K",0.14476547660762,0.480319791343675,0.00305740219591294,0.0541802445429721
"PPP3CB",-0.84760774575135,-1.32503316375429,-1.75122092625324,0.050110931980289
"PRDX1",1.03416704548463,0.605066293642616,1.2071592153305,0.719994260166727
"PRKCD",-1.17228520241111,-1.53728395464751,0.601197512106246,-0.775669317471504
"PRPF3",0.123768644245285,-0.153699539982273,-2.0040639439602,-0.790695660089963
"PSMA1",0.542309057329877,0.221090086149968,1.13974632964076,0.68068344200154
"PSMA2",0.98748835068982,1.04378321763084,0.873661881485389,0.661128169188094
"PSMB6",1.34133697199635,1.46557363006689,1.10263692534823,0.940335842882107
"PSMB7",0.546527889945907,0.0424902340242639,-0.212461269842589,0.372896862482779
"PSMC6",0.11064294313712,-0.254133112987346,0.854954487866909,0.226886137492776
"PSMD12",0.448588728005983,0.51221711149522,-0.011337964347306,0.780477489704057
"PSMD14",0.276686493380771,0.637696367169494,-1.25805580138803,0.761323847726402
"PSMD8",0.22663425958231,0.718704377482941,0.758692982482427,0.323959573251332
"RAB7A",0.593855177460378,1.06035665303981,0.527573665534195,0.435679366442471
"RBM28",-0.516650964038339,-0.116250184069447,-1.12151763423526,-0.059895451325667
"RBM5",0.460203322997971,0.630633834002712,0.0879102023846323,0.402318347276662
"RPL10A",1.72731236905229,1.80592187939649,1.21428489108717,1.34498488965718
"RPL8",1.78691075794949,1.82419592745747,1.2537133553223,1.53849837893919
"RPS10-NUDT3",0.374440064697058,0.477670600277551,-0.883481558805255,-0.176406365699487
"RPSA",1.55440826014745,1.85092402589616,1.4103782208912,1.28495143109521
"SEC11A",0.904052950849264,0.314181071371567,-0.460874264843277,-0.0735144316655191
"SENP6",-0.995818957724092,-1.5176882662395,0.785286832170339,0.00600780149083916
"SF3B5",-1.54110718380711,-1.28491021867608,0.497419549751024,-0.645636713193607
"SLC25A5",1.77416340557938,1.8539179433661,0.65590689872229,1.47419884271066
"SLC39A6",-0.585231346600567,-0.536120687768704,0.745761943646862,-0.195188127187307
"SMG7",-2.21665751888,-2.18054782010523,0.252691569157338,-1.00514088312427
"SNRNP200",-0.71400071625091,-0.533849526358664,0.639028607734025,0.50470392721849
"SNRPA1",0.352038547155868,-0.654813666371133,0.322325986706056,0.505747614260035
"SNRPB2",0.263436672617037,0.682807017825629,0.852680842174227,0.210040609594585
"SNRPN",0.821229730101027,0.854466928222037,0.136324860178925,0.655401459632553
"SNU13",1.5379018200008,1.43374704292501,0.590023914006387,1.08892508584355
"SOCS3",-1.23230598069119,-0.937901727813572,-1.64293740637462,-0.87509638800062
"SOD1",0.760865144181396,1.07862597238837,0.891785503425387,0.339421977853939
"SOD2",-0.0251093092639147,0.572490801125598,0.486971166087383,0.102753490815668
"SPEN",0.330144590428927,-0.124105468454817,1.06483441736189,0.806018697138057
"SRP68",-0.762586571418843,-0.241971009052502,-1.78373242572255,-2.77523684839834
"SRPRB",0.0684232809710439,-0.222480332413468,0.942774344477576,0.239560843451328
"SRSF5",1.52264959918238,1.76411893526114,0.786619644265986,1.33606293788107
