"SUID","name","selected","shared name"
"72","ALYREF","false","ALYREF"
"73","CSTF3","false","CSTF3"
"75","NUP37","false","NUP37"
"77","ANAPC11","false","ANAPC11"
"78","CDC23","false","CDC23"
"80","CXCL8","false","CXCL8"
"82","CCT4","false","CCT4"
"83","PPP2CB","false","PPP2CB"
"85","CCT7","false","CCT7"
"86","GMPS","false","GMPS"
"89","DDX17","false","DDX17"
"91","DHX9","false","DHX9"
"93","EIF4A3","false","EIF4A3"
"95","EIF4E","false","EIF4E"
"97","HIF1A","false","HIF1A"
"98","ASPH","false","ASPH"
"100","RORA","false","RORA"
"102","HSPA4","false","HSPA4"
"103","STUB1","false","STUB1"
"105","TLR7","false","TLR7"
"107","POLR2G","false","POLR2G"
"108","ADCY3","false","ADCY3"
"111","CTPS2","false","CTPS2"
"113","PSMB6","false","PSMB6"
"115","PSMD8","false","PSMD8"
"117","RAB7A","false","RAB7A"
"119","RPL10A","false","RPL10A"
"121","RPL8","false","RPL8"
"123","RPSA","false","RPSA"
"125","SNRPA1","false","SNRPA1"
"127","SNRPB2","false","SNRPB2"
"129","SOD1","false","SOD1"
"131","SRSF6","false","SRSF6"
"134","STAT3","false","STAT3"
"136","EIF2AK2","false","EIF2AK2"
"138","PRKCQ","false","PRKCQ"
"140","STAT4","false","STAT4"
"143","UBE2I","false","UBE2I"
"144","ATF3","false","ATF3"
