Names	total	elements
DEG.txt top50 adjacent.txt	16	ATF3
		CSTF3
		NUP37
		STAT4
		CXCL8
		ASPH
		STUB1
		ADCY3
		PPP2CB
		EIF2AK2
		RORA
		TLR7
		CDC23
		PRKCQ
		CTPS2
		GMPS
DEG.txt	145	YIF1B
		SLC7A6
		ANXA1
		AGPAT1
		DOP1B
		ARL1
		COPS7A
		SCYL3
		URB1
		FARSB
		CAND1
		ACTR10
		GFPT2
		SPTSSA
		THAP11
		BTN3A2
		KBTBD3
		GMCL1
		ATP13A3
		GMPPA
		ALCAM
		HSD17B4
		SPRTN
		TSR3
		FUCA2
		GPR22
		SIGLEC14
		POC5
		IDI2
		AGTPBP1
		ZNF566
		LRRFIP1P1
		DYRK2
		FAM169A
		KLHL9
		DNAJC30
		PAXIP1
		MICALL1
		HPF1
		ASXL2
		YJU2
		RDX
		CENPL
		CPD
		CCDC86
		EIF2B2
		TNK2
		SVIL-AS1
		SLC44A1
		INPP5B
		IQCG
		PCID2
		CCDC144A
		LINC00667
		GOLGA5
		CLIC5
		SAYSD1
		FOLR2
		LIMS1
		AHCTF1
		TWNK
		SH3TC1
		MFSD1
		TADA1
		UCK1
		SDHAF1
		FAF2
		MKRN2
		VPS8
		ZMYM1
		SLC4A10
		GOLGA7
		LGALSL
		PRDM8
		CD302
		ZNF701
		ATP11B
		SERGEF
		CBFB
		ZFAND1
		PTGER2
		PALB2
		FABP1
		HDHD3
		LINS1
		TUBGCP2
		CHML
		TPGS2
		SERPINB6
		OR2A20P
		GNAQ
		HADH
		OAS2
		NOTCH2NLA
		LINC00869
		KLHL18
		GCFC2
		SNHG17
		CDKN2AIP
		NAIF1
		MON2
		GLRX5
		NAA30
		ZNF708
		THUMPD2
		TNFRSF18
		C11orf1
		GAB3
		UBA5
		CYBC1
		EIF2B1
		CTNND1
		F5
		LYZ
		DNAJC17
		WDR18
		HSD17B12
		NNT
		SWI5
		SLFN5
		IGSF6
		TTPAL
		ATP6V1D
		TACO1
		CYB561A3
		CHN1
		MECR
		CCL3
		UAP1
		MT2A
		NPL
		SMG1P4
		PLAUR
		CALCOCO1
		CD274
		PCGF1
		CTTN
		SMIM13
		VPS45
		CYP1B1
		WDR66
		IFI44
		SMAD5
		GOLPH3L
		BET1
top50 adjacent.txt	1402	ACTN4
		KARS1
		RPS11
		CD44
		RPS17
		VPS33A
		TFIP11
		PINK1
		ERCC5
		GNL3
		RPL17-C18orf32
		POLR2G
		NDUFS6
		EIF4EBP2
		RAE1
		ECHS1
		NDUFB1
		BYSL
		HSPB1
		PFKP
		COX7A2L
		PDCL3
		RPL10A
		DECR1
		COX5A
		IRAK1
		RPS18
		IGF1
		BRIX1
		POLR2L
		G3BP1
		MRPL4
		PLAU
		NUP155
		RAC1
		ADCY7
		SUMO1
		MNAT1
		UQCR11
		TAF4B
		SLTM
		CYCS
		GTF2A1
		RPL19
		AXIN1
		EP300
		TLN1
		CRNKL1
		MITF
		SETD2
		SENP1
		MATR3
		CSTF1
		MON1B
		PAIP1
		DDX5
		IMP4
		CCNB1
		ZEB1
		ANAPC4
		TRIM33
		NDUFS1
		PARN
		SOD2
		CYTH1
		NDUFA6
		PNPT1
		KLF11
		CHD9
		SYCP3
		CD2BP2
		SYNE2
		PAPOLA
		COX15
		NDUFAB1
		RAD51B
		MET
		COX6C
		THRAP3
		NUP214
		IRF1
		NSMCE2
		PDLIM2
		LYAR
		HLA-DRB5
		FBH1
		SDHB
		MAX
		SOX4
		GK
		EIF3B
		DNAJB1
		RPL36A
		RPS5
		SRPK1
		DUSP22
		MRPL1
		OAZ2
		RPL7A
		NAT10
		PLEK
		TPP2
		UBA1
		GTF2E1
		RPS6KA5
		MRPS14
		TAF7
		PRDX6
		SFPQ
		ILF2
		PSMA3
		NOM1
		SLK
		LAMP1
		PSMA1
		EIF4G3
		A2M
		CDC14A
		RPL29
		GRPEL1
		VPS26A
		STAG2
		RPL35
		LARP7
		TERF2IP
		INTS6
		NFATC1
		EED
		SMC3
		RAC2
		PDIA3
		HES1
		RPS23
		SNRNP70
		ALDOC
		PTPN11
		LNPEP
		NUP93
		SMAD3
		RALY
		TAF5
		SUPT4H1
		PDCD4
		RPL9P7
		RHOC
