#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
EIF3M	RPSA	4449770	4441585	9606.ENSP00000436049	9606.ENSP00000346067	0	0	0	0	0.868	0.958	0.900	0.125	0.999
PSMB6	PSMD8	4435950	4432854	9606.ENSP00000270586	9606.ENSP00000215071	0	0	0	0	0.878	0.992	0.900	0.503	0.999
NDUFA13	NDUFB9	4449261	4436240	9606.ENSP00000423673	9606.ENSP00000276689	0	0	0	0	0.970	0.870	0.900	0.401	0.999
SNRPA1	SNRPB2	4434347	4433966	9606.ENSP00000254193	9606.ENSP00000246071	0	0	0	0	0.529	0.993	0.900	0.960	0.999
RPSA	RPL8	4441585	4435108	9606.ENSP00000346067	9606.ENSP00000262584	0.100	0	0	0	0.990	0.992	0.900	0.512	0.999
ARPC1B	ACTR2	4447620	4444985	9606.ENSP00000389631	9606.ENSP00000367220	0	0	0	0	0.941	0.998	0.900	0.950	0.999
UQCRQ	UQCRFS1	4445100	4438219	9606.ENSP00000367939	9606.ENSP00000306397	0	0	0	0	0.920	0.972	0.900	0.800	0.999
PSMB6	PSMA2	4435950	4433278	9606.ENSP00000270586	9606.ENSP00000223321	0	0	0	0	0.951	0.989	0.900	0.738	0.999
UBE2I	RANBP2	4441792	4436527	9606.ENSP00000348056	9606.ENSP00000283195	0	0	0	0	0.098	0.990	0.900	0.802	0.999
RAN	RANBP2	4450191	4436527	9606.ENSP00000446215	9606.ENSP00000283195	0	0	0	0	0.367	0.989	0.900	0.703	0.999
NDUFB9	NDUFS6	4436240	4436114	9606.ENSP00000276689	9606.ENSP00000274137	0	0	0	0	0.947	0.931	0.900	0.527	0.999
RPL10A	RPSA	4444285	4441585	9606.ENSP00000363018	9606.ENSP00000346067	0	0	0	0	0.952	0.991	0.900	0.425	0.999
EIF3M	EIF3I	4449770	4444219	9606.ENSP00000436049	9606.ENSP00000362688	0	0	0	0	0.973	0.955	0.900	0.869	0.999
EIF3I	RPSA	4444219	4441585	9606.ENSP00000362688	9606.ENSP00000346067	0	0	0	0	0.969	0.674	0.900	0.502	0.999
NDUFA13	NDUFS6	4449261	4436114	9606.ENSP00000423673	9606.ENSP00000274137	0	0	0	0	0.802	0.954	0.900	0.510	0.999
NDUFA13	NDUFA3	4449261	4448964	9606.ENSP00000423673	9606.ENSP00000418438	0	0	0	0	0.753	0.942	0.900	0.477	0.999
LSM3	LSM7	4437830	4434242	9606.ENSP00000302160	9606.ENSP00000252622	0	0	0	0	0.350	0.998	0.900	0.925	0.999
PSMA2	PSMD8	4433278	4432854	9606.ENSP00000223321	9606.ENSP00000215071	0	0	0	0	0.897	0.994	0.900	0.615	0.999
ATP5H	ATP5E	4437775	4433873	9606.ENSP00000301587	9606.ENSP00000243997	0	0	0	0	0.937	0.746	0.900	0.579	0.999
CCT4	CCT7	4446274	4434598	9606.ENSP00000377958	9606.ENSP00000258091	0	0	0.367	0.840	0.993	0.962	0.900	0.895	0.999
PSMB9	PSMA2	4444464	4433278	9606.ENSP00000363993	9606.ENSP00000223321	0	0	0	0	0.808	0.984	0.900	0.519	0.999
PTTG1	ANAPC11	4446209	4441990	9606.ENSP00000377536	9606.ENSP00000349957	0	0	0	0	0.076	0.993	0.900	0.578	0.999
ATP5C1	ATP5H	4441891	4437775	9606.ENSP00000349142	9606.ENSP00000301587	0	0	0	0	0.945	0.797	0.900	0.761	0.999
RPL10A	RPL8	4444285	4435108	9606.ENSP00000363018	9606.ENSP00000262584	0.167	0	0	0	0.999	0.992	0.900	0.591	0.999
NDUFC1	NDUFB9	4449976	4436240	9606.ENSP00000441126	9606.ENSP00000276689	0	0	0	0	0.664	0.937	0.900	0.535	0.998
NDUFC1	NDUFA1	4449976	4443745	9606.ENSP00000441126	9606.ENSP00000360492	0	0	0	0	0.551	0.937	0.900	0.641	0.998
TRA2B	SRSF6	4448854	4433875	9606.ENSP00000416959	9606.ENSP00000244020	0	0	0	0	0.391	0.930	0.900	0.642	0.998
ATP5C1	ATP5G3	4441891	4436602	9606.ENSP00000349142	9606.ENSP00000284727	0.154	0	0	0	0.867	0.734	0.900	0.702	0.998
NDUFA3	NDUFS6	4448964	4436114	9606.ENSP00000418438	9606.ENSP00000274137	0	0	0	0	0.404	0.965	0.900	0.423	0.998
SOD2	SOD1	4450194	4435927	9606.ENSP00000446252	9606.ENSP00000270142	0	0	0	0	0.176	0.624	0.900	0.959	0.998
NDUFA1	NDUFS6	4443745	4436114	9606.ENSP00000360492	9606.ENSP00000274137	0	0	0	0	0.300	0.919	0.900	0.710	0.998
ATP5C1	ATP5E	4441891	4433873	9606.ENSP00000349142	9606.ENSP00000243997	0	0	0	0	0.501	0.802	0.900	0.831	0.998
NDUFC1	NDUFS6	4449976	4436114	9606.ENSP00000441126	9606.ENSP00000274137	0	0	0	0	0.386	0.938	0.900	0.548	0.998
GNG2	GNAI2	4440566	4438833	9606.ENSP00000334448	9606.ENSP00000312999	0	0	0	0	0.062	0.964	0.900	0.271	0.997
SNRPA1	LSM7	4434347	4434242	9606.ENSP00000254193	9606.ENSP00000252622	0	0	0	0	0.157	0.960	0.900	0.472	0.997
SNRPA1	RBM22	4434347	4432775	9606.ENSP00000254193	9606.ENSP00000199814	0	0	0	0	0.067	0.960	0.900	0.382	0.997
NDUFA3	NDUFB9	4448964	4436240	9606.ENSP00000418438	9606.ENSP00000276689	0	0	0	0	0.467	0.942	0.900	0.384	0.997
NDUFA3	NDUFA1	4448964	4443745	9606.ENSP00000418438	9606.ENSP00000360492	0	0	0	0	0.215	0.933	0.900	0.647	0.997
LSM3	SNRPA1	4437830	4434347	9606.ENSP00000302160	9606.ENSP00000254193	0	0	0	0	0.324	0.960	0.900	0.312	0.997
CWC15	SNRPA1	4451135	4434347	9606.ENSP00000475615	9606.ENSP00000254193	0	0	0	0	0.102	0.960	0.900	0.270	0.997
EIF4A3	SNRPA1	4435883	4434347	9606.ENSP00000269349	9606.ENSP00000254193	0	0	0	0	0.255	0.959	0.900	0.149	0.997
ALYREF	TRA2B	4449181	4448854	9606.ENSP00000421592	9606.ENSP00000416959	0	0	0.237	0	0.934	0.170	0.900	0.550	0.997
PSMB9	PSMD8	4444464	4432854	9606.ENSP00000363993	9606.ENSP00000215071	0	0	0	0	0.727	0.871	0.900	0.429	0.997
CWC15	RBM22	4451135	4432775	9606.ENSP00000475615	9606.ENSP00000199814	0	0	0	0	0.092	0.960	0.900	0.438	0.997
MRPS6	MRPL33	4446909	4437235	9606.ENSP00000382250	9606.ENSP00000296102	0.077	0	0	0	0.455	0.944	0.900	0.383	0.997
LSM3	SNRPB2	4437830	4433966	9606.ENSP00000302160	9606.ENSP00000246071	0	0	0	0	0.499	0.959	0.900	0.117	0.997
CWC15	SNRPB2	4451135	4433966	9606.ENSP00000475615	9606.ENSP00000246071	0	0	0	0	0.121	0.959	0.900	0	0.996
EIF4A3	RBM22	4435883	4432775	9606.ENSP00000269349	9606.ENSP00000199814	0	0	0	0	0.167	0.955	0.900	0.146	0.996
NDUFA1	NDUFB9	4443745	4436240	9606.ENSP00000360492	9606.ENSP00000276689	0	0	0	0	0.561	0.874	0.900	0.474	0.996
RPN1	RPL8	4437255	4435108	9606.ENSP00000296255	9606.ENSP00000262584	0	0	0	0	0.085	0.960	0.900	0	0.996
CWC15	EIF4A3	4451135	4435883	9606.ENSP00000475615	9606.ENSP00000269349	0	0	0	0	0.107	0.961	0.900	0.103	0.996
RPSA	SEC61B	4441585	4433288	9606.ENSP00000346067	9606.ENSP00000223641	0	0	0	0	0.127	0.958	0.900	0.064	0.996
NDUFC1	NDUFA3	4449976	4448964	9606.ENSP00000441126	9606.ENSP00000418438	0	0	0	0	0.179	0.934	0.900	0.471	0.996
SRP9	RPL8	4438111	4435108	9606.ENSP00000305230	9606.ENSP00000262584	0	0	0	0	0.166	0.958	0.900	0.112	0.996
RPN1	SEC61B	4437255	4433288	9606.ENSP00000296255	9606.ENSP00000223641	0	0	0	0	0.104	0.960	0.900	0.172	0.996
LSM7	SNRPB2	4434242	4433966	9606.ENSP00000252622	9606.ENSP00000246071	0	0	0	0	0.229	0.958	0.900	0.131	0.996
ATP5H	ATP5G3	4437775	4436602	9606.ENSP00000301587	9606.ENSP00000284727	0	0	0	0	0.674	0.736	0.900	0.652	0.996
ATP5G2	ATP5C1	4446264	4441891	9606.ENSP00000377878	9606.ENSP00000349142	0.154	0	0	0	0.653	0.734	0.900	0.601	0.996
RPL8	SEC61B	4435108	4433288	9606.ENSP00000262584	9606.ENSP00000223641	0	0	0	0	0.181	0.960	0.900	0.042	0.996
EIF3I	RPL8	4444219	4435108	9606.ENSP00000362688	9606.ENSP00000262584	0	0	0	0	0.959	0.054	0.900	0.126	0.996
GDI2	RAB8A	4445338	4437702	9606.ENSP00000369538	9606.ENSP00000300935	0	0	0	0	0.063	0.845	0.900	0.726	0.995
NDUFA13	NDUFA1	4449261	4443745	9606.ENSP00000423673	9606.ENSP00000360492	0	0	0	0	0.363	0.859	0.900	0.606	0.995
UQCRQ	NDUFB9	4445100	4436240	9606.ENSP00000367939	9606.ENSP00000276689	0	0	0	0	0.948	0.829	0	0.482	0.995
ATP5G2	ATP5H	4446264	4437775	9606.ENSP00000377878	9606.ENSP00000301587	0	0	0	0	0.594	0.734	0.900	0.651	0.995
UQCRQ	NDUFS6	4445100	4436114	9606.ENSP00000367939	9606.ENSP00000274137	0	0	0	0	0.943	0.868	0	0.257	0.994
ANAPC11	RNF7	4441990	4436081	9606.ENSP00000349957	9606.ENSP00000273480	0	0	0	0	0.501	0	0.900	0.896	0.994
ALYREF	EIF4A3	4449181	4435883	9606.ENSP00000421592	9606.ENSP00000269349	0	0	0	0	0.396	0.754	0.900	0.696	0.994
WDR43	KRR1	4447102	4433449	9606.ENSP00000384302	9606.ENSP00000229214	0	0	0	0	0.680	0.708	0.900	0.515	0.994
GDI2	RAB8B	4445338	4438817	9606.ENSP00000369538	9606.ENSP00000312734	0	0	0	0	0.109	0.906	0.900	0.417	0.994
ATG12	GABARAPL2	4449317	4432616	9606.ENSP00000425107	9606.ENSP00000037243	0	0	0	0	0.062	0.186	0.900	0.937	0.994
SNRPB2	RBM22	4433966	4432775	9606.ENSP00000246071	9606.ENSP00000199814	0	0	0	0	0.070	0.945	0.900	0.074	0.994
ATP5G2	ATP5G3	4446264	4436602	9606.ENSP00000377878	9606.ENSP00000284727	0	0	0.448	0.968	0.075	0.944	0.900	0.931	0.994
EIF4A3	SNRPB2	4435883	4433966	9606.ENSP00000269349	9606.ENSP00000246071	0	0	0	0	0.229	0.916	0.900	0.062	0.993
EIF3M	RPL8	4449770	4435108	9606.ENSP00000436049	9606.ENSP00000262584	0	0	0	0	0.932	0	0.900	0	0.992
UQCRQ	COX6A1	4445100	4433467	9606.ENSP00000367939	9606.ENSP00000229379	0	0	0	0	0.862	0.732	0.540	0.619	0.992
NDUFC1	NDUFA13	4449976	4449261	9606.ENSP00000441126	9606.ENSP00000423673	0	0	0	0	0.226	0.870	0.900	0.358	0.992
EIF4E	EIF4EBP2	4449328	4444135	9606.ENSP00000425561	9606.ENSP00000362314	0	0	0	0	0	0.901	0	0.914	0.991
MRPL33	MRPL51	4437235	4433450	9606.ENSP00000296102	9606.ENSP00000229238	0	0	0	0	0.275	0.818	0.900	0.407	0.991
ATP5C1	NDUFB9	4441891	4436240	9606.ENSP00000349142	9606.ENSP00000276689	0	0	0	0	0.914	0.817	0	0.422	0.990
NDUFA13	UQCRFS1	4449261	4438219	9606.ENSP00000423673	9606.ENSP00000306397	0	0	0	0	0.641	0.960	0	0.402	0.990
WASF2	ACTR2	4451760	4444985	9606.ENSP00000483313	9606.ENSP00000367220	0	0	0	0	0.063	0.461	0.900	0.830	0.990
RPSA	SRP9	4441585	4438111	9606.ENSP00000346067	9606.ENSP00000305230	0	0	0	0	0.123	0.888	0.900	0.091	0.989
STRAP	SMN1	4447735	4445441	9606.ENSP00000392270	9606.ENSP00000370083	0	0	0	0	0.081	0.764	0.900	0.584	0.989
EIF1AX	RPSA	4445241	4441585	9606.ENSP00000368927	9606.ENSP00000346067	0.167	0	0	0	0.328	0.795	0.900	0.224	0.989
RAB8A	RAB7A	4437702	4435545	9606.ENSP00000300935	9606.ENSP00000265062	0	0	0.439	0.842	0.077	0.855	0.900	0.838	0.988
RAB8B	RAB7A	4438817	4435545	9606.ENSP00000312734	9606.ENSP00000265062	0	0	0.438	0.851	0.100	0.864	0.900	0.764	0.988
GDI2	RAB7A	4445338	4435545	9606.ENSP00000369538	9606.ENSP00000265062	0	0	0	0	0.237	0.626	0.900	0.626	0.987
RSL1D1	KRR1	4450638	4433449	9606.ENSP00000460871	9606.ENSP00000229214	0	0	0	0	0.852	0.792	0	0.628	0.987
PTPN22	LCK	4442291	4440823	9606.ENSP00000352833	9606.ENSP00000337825	0	0	0	0	0.113	0.456	0.900	0.766	0.987
UQCRQ	NDUFA1	4445100	4443745	9606.ENSP00000367939	9606.ENSP00000360492	0	0	0	0	0.807	0.829	0	0.617	0.986
HIF1A	STAT3	4449842	4435468	9606.ENSP00000437955	9606.ENSP00000264657	0	0	0	0	0.061	0.434	0.900	0.781	0.986
UQCRFS1	NDUFB9	4438219	4436240	9606.ENSP00000306397	9606.ENSP00000276689	0	0	0	0	0.861	0.829	0	0.470	0.986
DPY30	KMT2C	4441561	4435027	9606.ENSP00000345837	9606.ENSP00000262189	0	0	0	0	0	0.473	0.900	0.756	0.986
ATP5G3	ATP5E	4436602	4433873	9606.ENSP00000284727	9606.ENSP00000243997	0	0	0	0	0.168	0.732	0.900	0.446	0.985
LCK	CD3D	4440823	4437689	9606.ENSP00000337825	9606.ENSP00000300692	0	0	0	0	0.739	0.050	0.900	0.479	0.985
BLOC1S1	BLOC1S6	4450232	4433120	9606.ENSP00000447537	9606.ENSP00000220531	0	0	0	0	0	0.270	0.900	0.817	0.985
OPTN	RAB8A	4445111	4437702	9606.ENSP00000368022	9606.ENSP00000300935	0	0	0	0	0	0.379	0.900	0.782	0.985
IRF4	STAT3	4445477	4435468	9606.ENSP00000370343	9606.ENSP00000264657	0	0	0	0	0	0.299	0.900	0.805	0.985
ALYREF	DHX9	4449181	4442908	9606.ENSP00000421592	9606.ENSP00000356520	0	0	0	0	0.706	0.495	0.900	0.089	0.984
EIF1AX	EIF3I	4445241	4444219	9606.ENSP00000368927	9606.ENSP00000362688	0	0	0	0	0.327	0.731	0.900	0.227	0.984
