"SUID","name","selected","shared name"
"752","ENO1","false","ENO1"
"113","ATP5H","false","ATP5H"
"114","ATP5E","false","ATP5E"
"116","CCT4","false","CCT4"
"117","CCT7","false","CCT7"
"249","DHX9","false","DHX9"
"506","DDX17","false","DDX17"
"122","ANAPC11","false","ANAPC11"
"124","ATP5C1","false","ATP5C1"
"640","CPSF6","false","CPSF6"
"129","NDUFA1","false","NDUFA1"
"131","TRA2B","false","TRA2B"
"132","SRSF6","false","SRSF6"
"134","ATP5G3","false","ATP5G3"
"137","SOD2","false","SOD2"
"138","SOD1","false","SOD1"
"154","EIF4A3","false","EIF4A3"
"156","ALYREF","false","ALYREF"
"289","SYNCRIP","false","SYNCRIP"
"424","ILF2","false","ILF2"
"429","POLR2G","false","POLR2G"
"698","SFPQ","false","SFPQ"
"72","EIF3M","false","EIF3M"
"73","RPSA","false","RPSA"
"75","PSMB6","false","PSMB6"
"204","COX6A1","false","COX6A1"
"76","PSMD8","false","PSMD8"
"79","NDUFB9","false","NDUFB9"
"207","EIF4E","false","EIF4E"
"81","SNRPA1","false","SNRPA1"
"82","SNRPB2","false","SNRPB2"
"84","RPL8","false","RPL8"
"89","UQCRQ","false","UQCRQ"
"90","UQCRFS1","false","UQCRFS1"
"92","PSMA2","false","PSMA2"
"220","EIF1AX","false","EIF1AX"
"349","NHP2","false","NHP2"
"94","UBE2I","false","UBE2I"
"222","RAB7A","false","RAB7A"
"95","RANBP2","false","RANBP2"
"97","RAN","false","RAN"
"99","NDUFS6","false","NDUFS6"
"101","RPL10A","false","RPL10A"
"103","EIF3I","false","EIF3I"
"232","HIF1A","false","HIF1A"
"872","C14orf166","false","C14orf166"
"233","STAT3","false","STAT3"
"361","HSPA4","false","HSPA4"
"109","LSM3","false","LSM3"
"110","LSM7","false","LSM7"
