Top 50 in network Mfuzz_DNBnet.tsv ranked by Degree method,,
Rank,Name,Score
1,EIF4A3,43
2,DHX9,39
3,RPSA,34
4,RPL8,32
4,HSPA4,32
4,ILF2,32
7,TRA2B,31
8,PSMA2,30
8,SYNCRIP,30
10,NHP2,29
11,RPL10A,28
11,CCT4,28
13,SRSF6,27
13,SOD1,27
13,ALYREF,27
13,DDX17,27
17,SNRPA1,26
17,RAN,26
17,EIF3I,26
17,LSM3,26
17,ATP5H,26
17,ATP5C1,26
17,SOD2,26
24,UQCRQ,25
24,STAT3,25
26,RANBP2,24
26,CCT7,24
26,EIF4E,24
29,POLR2G,23
30,UQCRFS1,22
30,UBE2I,22
30,ENO1,22
33,HIF1A,21
34,SFPQ,20
35,PSMB6,19
35,NDUFS6,19
35,EIF1AX,19
38,SNRPB2,18
38,LSM7,18
38,ATP5E,18
41,EIF3M,17
41,PSMD8,17
41,ANAPC11,17
41,NDUFA1,17
41,ATP5G3,17
41,C14orf166,17
47,NDUFB9,16
47,CPSF6,16
47,COX6A1,16
47,RAB7A,16
