Names	total	elements
B_C B_P	51	RTN4
		HLA-F
		G3BP1
		EP300
		ADGRE5
		RAB8B
		HECTD1
		SFPQ
		BCLAF1
		PIP4K2A
		SOD1
		LSM14A
		TRAM1
		PHACTR2
		SYNCRIP
		U2AF1L4
		IST1
		AP3S1
		CD48
		FUBP1
		GLS
		PPP6R3
		SLA
		BRD2
		ZFR
		MESD
		ARHGAP25
		PSMB8-AS1
		SREK1
		WIPF1
		ATP5F1A
		STRN3
		ANKRD40
		VDAC1
		SEC61B
		DERL2
		RBM25
		HIGD2A
		KPNA6
		TES
		RANBP2
		ATP1B3
		ANP32B
		HSBP1
		KMT2C
		M6PR
		HIPK1
		KLRB1
		LSM7
		RAB7A
		ERVK3-1
B_C	79	TBCB
		ATP6V1F
		EIF6
		SUMO1
		OGT
		PRDX3
		HNRNPD
		MKNK2
		CYTH1
		EIF5B
		MIR4435-2HG
		MSN
		RORA
		IL2RA
		ARHGAP9
		TLE3
		BIRC6
		RSL24D1
		DDX27
		SNHG15
		BTG1
		SNAP23
		GTPBP4
		DUSP4
		DCUN1D1
		SLC25A5
		TPM3
		TUT7
		SAP18
		COX8A
		FAM133B
		TBL1XR1
		TMBIM6
		RASSF5
		MED10
		CYBB
		ETS1
		SSR2
		EDEM1
		TARDBP
		PAN3
		PPP1R12A
		RAB11FIP1
		MEAF6
		YWHAH
		COPB1
		TMEM170A
		CALR
		SUMO3
		JAK1
		CDV3
		HNRNPA3
		PRELID3B
		CFLAR
		ISCU
		IFNGR2
		SLIRP
		MIDN
		TMEM107
		NINJ1
		CDC5L
		LMNA
		RABAC1
		SNRNP27
		ERH
		SEC22B
		CAST
		TOMM7
		ATP5ME
		GOLGA4
		ATG3
		PSMA5
		PRNP
		STARD7
		MRFAP1
		MRPL22
		SENP5
		BIRC3
		ZNF638
B_P	520	PRPF40A
		RPS17
		KRTCAP2
		PSMA2
		ANXA2
		IRF4
		DPY30
		BLOC1S1
		POLR2G
		BTG2
		RGS2
		NDUFS6
		HECA
		EIF4EBP2
		PDCL3
		RPL10A
		BUB3
		NDUFB10
		GLTP
		SLC25A3
		CNN2
		CCDC59
		PPP1R2
		NUTF2
		FOSL2
		CHMP4A
		TOMM20
		ZDHHC2
		ADD3
		ANXA1
		RAP1A
		CCNI
		LMAN2
		CHORDC1
		RB1CC1
		ATP5F1E
		EIF4E
		AP1G1
		SOD2
		CCDC12
		SYNE2
		IFITM3
		IRF1
		MARCKS
		ING3
		CBWD1
		NT5C3A
		CCR6
		SSH2
		IRF2BP2
		ANAPC11
		SOX4
		SERINC3
		RHOF
		LSP1
		C4orf3
		DDIT4
		USP15
		RC3H1
		GNAI2
		ECH1
		LAPTM4A
