B_C_P£¨¹²ÓÐ£©,B_C,B_P
RTN4,TBCB,PRPF40A
HLA-F,ATP6V1F,RPS17
G3BP1,EIF6,KRTCAP2
EP300,SUMO1,PSMA2
ADGRE5,OGT,ANXA2
RAB8B,PRDX3,IRF4
HECTD1,HNRNPD,DPY30
SFPQ,MKNK2,BLOC1S1
BCLAF1,CYTH1,POLR2G
PIP4K2A,EIF5B,BTG2
SOD1,MIR4435-2HG,RGS2
LSM14A,MSN,NDUFS6
TRAM1,RORA,HECA
PHACTR2,IL2RA,EIF4EBP2
SYNCRIP,ARHGAP9,PDCL3
U2AF1L4,TLE3,RPL10A
IST1,BIRC6,BUB3
AP3S1,RSL24D1,NDUFB10
CD48,DDX27,GLTP
FUBP1,SNHG15,SLC25A3
GLS,BTG1,CNN2
PPP6R3,SNAP23,CCDC59
SLA,GTPBP4,PPP1R2
BRD2,DUSP4,NUTF2
ZFR,DCUN1D1,FOSL2
MESD,SLC25A5,CHMP4A
ARHGAP25,TPM3,TOMM20
PSMB8-AS1,TUT7,ZDHHC2
SREK1,SAP18,ADD3
WIPF1,COX8A,ANXA1
ATP5F1A,FAM133B,RAP1A
STRN3,TBL1XR1,CCNI
ANKRD40,TMBIM6,LMAN2
VDAC1,RASSF5,CHORDC1
SEC61B,MED10,RB1CC1
DERL2,CYBB,ATP5F1E
RBM25,ETS1,EIF4E
HIGD2A,SSR2,AP1G1
KPNA6,EDEM1,SOD2
TES,TARDBP,CCDC12
RANBP2,PAN3,SYNE2
ATP1B3,PPP1R12A,IFITM3
ANP32B,RAB11FIP1,IRF1
HSBP1,MEAF6,MARCKS
KMT2C,YWHAH,ING3
M6PR,COPB1,CBWD1
HIPK1,TMEM170A,NT5C3A
KLRB1,CALR,CCR6
LSM7,SUMO3,SSH2
RAB7A,JAK1,IRF2BP2
ERVK3-1   ,CDV3,ANAPC11
,HNRNPA3,SOX4
,PRELID3B,SERINC3
,CFLAR,RHOF
,ISCU,LSP1
,IFNGR2,C4orf3
,SLIRP,DDIT4
,MIDN,USP15
,TMEM107,RC3H1
,NINJ1,GNAI2
,CDC5L,ECH1
,LMNA,LAPTM4A
,RABAC1,ELOVL5
,SNRNP27,DARS
,ERH,RAD23A
,SEC22B,ILF2
,CAST,PTPN22
,TOMM7,OPTN
,ATP5ME,DAD1
,GOLGA4,LYN
,ATG3,TOMM6
,PSMA5,RUNX3
,PRNP,SLK
,STARD7,ITM2B
,MRFAP1,NASP
,MRPL22,HLA-H
,SENP5,UTRN
,BIRC3,GPR183
,ZNF638,BAZ1B
,,NOP56
,,CHD7
,,NUCB2
,,TERF2IP
,,SQSTM1
,,SMC3
,,KPNA2
,,SNRPA1
,,DGUOK
,,RBM17
,,DCP1A
,,TACC1
,,PDCD4
,,CEP350
,,PCF11
,,GZMA
,,TUT4
,,ATRAID
,,TAGLN2
,,TBCA
,,DAZAP2
,,TRA2B
,,FNBP4
,,IKZF1
,,DHRS7
,,UBE2I
,,TCL1A
,,CMC2
,,RPS15A
,,NPC2
,,EVI2A
,,SRSF10
,,SRPRA
,,THOC2
,,UFM1
,,TWISTNB
,,DOCK8
,,CHD2
,,CKLF
,,PCMT1
,,ANKRD36C
,,REEP5
,,MRPL33
,,SRSF6
,,SWAP70
,,POLE3
,,HSPD1
,,DDX3Y
,,CCAR1
,,EMC4
,,ANKHD1
,,UFD1
,,CFL1
,,CMPK1
,,PLIN2
,,DTX3L
,,NOP53
,,TP53INP1
,,FNIP1
,,CPSF6
,,ENSA
,,EIF1AX
,,TMEM120B
,,PSMB6
,,CAMTA1
,,WDR43
,,TMEM156
,,BOD1L1
,,GNG5
,,SAMSN1
,,EML4
,,CCT2
,,PSMD6
,,UBXN4
,,MYH9
,,RHEB
,,FKBP3
,,RTRAF
,,IDI1
,,HMGN3
,,ADAM19
,,CORO1A
,,C1orf56
,,RSRC1
,,CIAO2A
,,NGLY1
,,CD63
,,RASSF2
,,USP16
,,SINHCAF
,,ARAP2
,,JSRP1
,,POGZ
,,LETM1
,,USP10
,,TNFAIP8
,,EIF3M
,,SF3B1
,,ZNF24
,,THBS1
,,TNFRSF1B
,,RBM22
,,CRBN
,,GZMB
,,ANKRD44
,,CCDC186
,,PTGES3
,,KDM5A
,,HSPB11
,,BTF3
,,SNRPN
,,BNIP2
,,CYTOR
,,IKZF3
,,SEC11C
,,ELMO1
,,MYDGF
,,TGOLN2
,,ARF1
,,TMEM33
,,CCT3
,,NDUFA1
,,HSPE1
,,ARL4C
,,RSBN1
,,PPP4R3A
,,RBM5
,,HSP90B1
,,KRR1
,,MOB1A
,,ARPC1B
,,AEBP2
,,EIF3C
,,ATP5PD
,,NDUFC1
,,MIS18BP1
,,HSPA4
,,AKNA
,,RABEP1
,,TECR
,,RHOA
,,CHD4
,,HIST2H2AA3
,,HIF1A
,,ZBTB20
,,YTHDF2
,,HP1BP3
,,RPSA
,,XPC
,,MRPS36
,,SMC4
,,EIF3L
,,ADAR
,,SLC12A2
,,PARP14
,,LITAF
,,CYLD
,,GDI2
,,RHOG
,,AHNAK
,,ITM2A
,,XBP1
,,TUBA1B
,,NABP1
,,MTPN
,,SSR1
,,SLAMF7
,,PDE4B
,,EIF4A3
,,ATP5F1C
,,TRAT1
,,CHMP2B
,,DDX24
,,S100A10
,,ATP1A1
,,ALYREF
,,USP9X
,,UBE2N
,,TMX1
,,APOBEC3C
,,CYSTM1
,,WAPL
,,VAPA
,,NFE2L2
,,ARIH2
,,TMEM14B
,,KLF6
,,ADIPOR1
,,NR3C1
,,H2AFV
,,IFITM2
,,THUMPD1
,,DDX17
,,CHCHD7
,,MRPL57
,,C6orf62
,,TARS
,,ACIN1
,,DNTTIP2
,,SH3BGRL
,,ENO1
,,PRPF39
,,RAB30
,,CBWD2
,,LSM3
,,ATP6AP2
,,FYTTD1
,,CCT4
,,ETFA
,,SMN1
,,BRD4
,,NCOA3
,,VMP1
,,SPCS3
,,NDUFA13
,,NOL7
,,GGNBP2
,,CD96
