"","logFC","logCPM","PValue","qval"
"ENSG00000084444.13",14.81404182,8.044717729,8.75e-17,1.91041636077749e-13
"ENSG00000176208.8",14.48352929,7.714858995,3.64e-16,3.23517198616524e-13
"ENSG00000117009.11",-14.36143625,7.590302693,6.19e-16,3.5566988682834e-13
"ENSG00000032742.17",14.34697929,7.578625292,6.57e-16,3.58612442580232e-13
"ENSG00000196937.10",-14.27456305,7.50347738,9e-16,3.92999937074227e-13
"ENSG00000159256.12",-14.11910937,7.34811738,1.76e-15,5.58711444932615e-13
"ENSG00000162909.17",-10.85790871,8.091358362,2.12e-15,6.03968374329837e-13
"ENSG00000026103.21",-10.79272678,8.02623495,2.8e-15,6.68235374309186e-13
"ENSG00000160799.11",-11.29739369,7.618053328,3.96e-15,7.40162124478488e-13
"ENSG00000213965.3",11.11592894,7.6023965,4.29e-15,7.55256393155499e-13
"ENSG00000251022.6",-10.6665706,7.900199969,4.83e-15,7.76501322614666e-13
"ENSG00000137601.16",-13.88094642,7.110120516,4.91e-15,7.79338975744074e-13
"ENSG00000147174.11",-13.87767522,7.106851806,4.99e-15,7.82105465158637e-13
"ENSG00000156136.9",-11.23216918,7.552887231,5.26e-15,7.9095095104994e-13
"ENSG00000180346.3",-13.85539845,7.084592165,5.48e-15,7.9764431672843e-13
"ENSG00000135317.12",-13.82769571,7.056911128,6.2e-15,8.19354799185728e-13
"ENSG00000143110.11",13.8137151,7.046920669,6.57e-15,8.29026729286006e-13
"ENSG00000255384.1",13.80236497,7.035610254,6.9e-15,8.36944310435853e-13
"ENSG00000197860.9",13.77707584,7.01041072,7.69e-15,8.72907523379598e-13
"ENSG00000139684.13",13.74502562,6.978476287,8.82e-15,9.16999853173196e-13
"ENSG00000100647.7",10.05648596,8.023272283,8.82e-15,9.16999853173196e-13
"ENSG00000147251.15",13.71386353,6.947429203,1.01e-14,9.64847657813812e-13
"ENSG00000119950.20",-11.07816887,7.399036196,1.02e-14,9.68260714530704e-13
"ENSG00000124171.8",-13.65215693,6.881520804,1.32e-14,1.16482380306225e-12
"ENSG00000104889.5",-13.63094211,6.860325279,1.45e-14,1.24166014194546e-12
"ENSG00000166199.12",-13.58755298,6.816976603,1.74e-14,1.3976855108384e-12
"ENSG00000163297.16",-13.57548955,6.80492465,1.83e-14,1.44225058416271e-12
"ENSG00000155542.11",13.53066466,6.764957663,2.23e-14,1.62154930346305e-12
"ENSG00000129472.13",-10.89515271,7.216220327,2.25e-14,1.62978890856446e-12
"ENSG00000173418.11",-10.8798869,7.20097245,2.4e-14,1.68961903464406e-12
"ENSG00000167562.12",13.49914192,6.733569386,2.55e-14,1.74618041648217e-12
"ENSG00000163518.10",-13.49665211,6.726164877,2.57e-14,1.75348930257077e-12
"ENSG00000197329.11",-10.25485544,7.48896482,2.86e-14,1.85638266448232e-12
"ENSG00000113273.15",13.44858725,6.683236421,3.16e-14,1.95278976569486e-12
"ENSG00000145390.11",-10.80911834,7.130289661,3.26e-14,1.98290389878536e-12
"ENSG00000140830.8",13.43786905,6.672566204,3.32e-14,2.00052197362215e-12
"ENSG00000112763.15",13.41619076,6.650986032,3.63e-14,2.08654319032615e-12
"ENSG00000017797.12",-13.40646236,6.636069842,3.8e-14,2.1304338412528e-12
"ENSG00000110880.10",-10.77321469,7.094431233,3.81e-14,2.1329483764285e-12
"ENSG00000137101.12",13.38609451,6.621028375,4.13e-14,2.22097665587925e-12
"ENSG00000105171.9",13.38203381,6.616986598,4.21e-14,2.24191021013888e-12
"ENSG00000117906.13",10.56017042,7.048521371,4.72e-14,2.44034958548421e-12
"ENSG00000104312.7",-10.1219407,7.356237508,5.06e-14,2.56634812906107e-12
"ENSG00000114491.13",13.32183205,6.557071418,5.47e-14,2.71205200533622e-12
"ENSG00000052802.12",13.28424948,6.519673716,6.4e-14,3.01949096840853e-12
"ENSG00000125812.15",-13.2796016,6.509353806,6.56e-14,3.0694065143038e-12
"ENSG00000257605.2",-13.27463584,6.504394008,6.7e-14,3.11241084916941e-12
"ENSG00000136026.13",-13.20717323,6.437014579,8.98e-14,3.86766349126635e-12
"ENSG00000264343.5",-13.19671051,6.426565144,9.36e-14,3.98296897438317e-12
"ENSG00000182606.14",13.19216472,6.428062116,9.51e-14,4.02772636081837e-12
"ENSG00000107798.17",-13.18219923,6.412072479,9.98e-14,4.16527404453861e-12
"ENSG00000203705.10",13.16051082,6.396577723,1.09e-13,4.42324972806492e-12
"ENSG00000100883.11",-10.52499544,6.846559076,1.11e-13,4.47745179414517e-12
"ENSG00000226950.6",13.14860864,6.384740207,1.15e-13,4.58393258222774e-12
"ENSG00000138430.15",10.33653864,6.825872192,1.24e-13,4.81454316565991e-12
"ENSG00000205707.10",9.734684651,7.145799216,1.27e-13,4.88877911955178e-12
"ENSG00000163251.3",13.11963626,6.355927415,1.3e-13,4.96175389387489e-12
"ENSG00000119638.12",-13.10736919,6.337341782,1.37e-13,5.12730080465825e-12
"ENSG00000214087.8",-13.07774162,6.307755154,1.56e-13,5.54583101203243e-12
"ENSG00000116406.18",-13.05909108,6.289130878,1.7e-13,5.82833774495425e-12
"ENSG00000182150.15",-13.05909108,6.289130878,1.7e-13,5.82833774495425e-12
"ENSG00000152700.13",-13.05475266,6.284798615,1.73e-13,5.88627722549352e-12
"ENSG00000165997.4",-13.04749283,6.277549144,1.78e-13,5.98091736178134e-12
"ENSG00000162385.10",-13.0372673,6.267338305,1.86e-13,6.12753063082473e-12
"ENSG00000174405.13",13.03553294,6.272305252,1.87e-13,6.14545516751997e-12
"ENSG00000172172.7",13.0290555,6.265866005,1.92e-13,6.23378264413477e-12
"ENSG00000197124.11",13.02254885,6.259397882,1.98e-13,6.33700734706248e-12
"ENSG00000123595.7",-9.507455582,7.297151239,2.01e-13,6.38752460250819e-12
"ENSG00000075188.8",13.01470194,6.251597653,2.05e-13,6.45377976815977e-12
"ENSG00000160712.12",-13.01063537,6.240745187,2.09e-13,6.51880848004074e-12
