,ensembl_gene_id,logFC,logCPM,PValue,qval,chromosome_name,hgnc_symbol
511,ENSG00000084444,14.81404182,8.044717729,8.75E-17,1.91E-13,12,FAM234B
3570,ENSG00000176208,14.48352929,7.714858995,3.64E-16,3.24E-13,17,ATAD5
1342,ENSG00000117009,-14.36143625,7.590302693,6.19E-16,3.56E-13,1,KMO
153,ENSG00000032742,14.34697929,7.578625292,6.57E-16,3.59E-13,13,IFT88
4006,ENSG00000196937,-14.27456305,7.50347738,9.00E-16,3.93E-13,7,FAM3C
2765,ENSG00000159256,-14.11910937,7.34811738,1.76E-15,5.59E-13,21,MORC3
2874,ENSG00000162909,-10.85790871,8.091358362,2.12E-15,6.04E-13,1,CAPN2
129,ENSG00000026103,-10.79272678,8.02623495,2.80E-15,6.68E-13,10,FAS
2811,ENSG00000160799,-11.29739369,7.618053328,3.96E-15,7.40E-13,3,CCDC12
4311,ENSG00000213965,11.11592894,7.6023965,4.29E-15,7.55E-13,19,NUDT19
4741,ENSG00000251022,-10.6665706,7.900199969,4.83E-15,7.77E-13,4,THAP9-AS1
2065,ENSG00000137601,-13.88094642,7.110120516,4.91E-15,7.79E-13,4,NEK1
2437,ENSG00000147174,-13.87767522,7.106851806,4.99E-15,7.82E-13,X,GCNA
2682,ENSG00000156136,-11.23216918,7.552887231,5.26E-15,7.91E-13,4,DCK
3679,ENSG00000180346,-13.85539845,7.084592165,5.48E-15,7.98E-13,4,TIGD2
1930,ENSG00000135317,-13.82769571,7.056911128,6.20E-15,8.19E-13,6,SNX14
2271,ENSG00000143110,13.8137151,7.046920669,6.57E-15,8.29E-13,1,C1orf162
4063,ENSG00000197860,13.77707584,7.01041072,7.69E-15,8.73E-13,5,SGTB
2161,ENSG00000139684,13.74502562,6.978476287,8.82E-15,9.17E-13,13,ESD
714,ENSG00000100647,10.05648596,8.023272283,8.82E-15,9.17E-13,14,SUSD6
2439,ENSG00000147251,13.71386353,6.947429203,1.01E-14,9.65E-13,X,DOCK11
1436,ENSG00000119950,-11.07816887,7.399036196,1.02E-14,9.68E-13,10,MXI1
1553,ENSG00000124171,-13.65215693,6.881520804,1.32E-14,1.16E-12,20,PARD6B
883,ENSG00000104889,-13.63094211,6.860325279,1.45E-14,1.24E-12,19,RNASEH2A
3086,ENSG00000166199,-13.58755298,6.816976603,1.74E-14,1.40E-12,11,ALKBH3
2892,ENSG00000163297,-13.57548955,6.80492465,1.83E-14,1.44E-12,4,ANTXR2
2666,ENSG00000155542,13.53066466,6.764957663,2.23E-14,1.62E-12,5,SETD9
1704,ENSG00000129472,-10.89515271,7.216220327,2.25E-14,1.63E-12,14,RAB2B
3455,ENSG00000173418,-10.8798869,7.20097245,2.40E-14,1.69E-12,20,NAA20
3161,ENSG00000167562,13.49914192,6.733569386,2.55E-14,1.75E-12,19,ZNF701
2903,ENSG00000163518,-13.49665211,6.726164877,2.57E-14,1.75E-12,1,FCRL4
4036,ENSG00000197329,-10.25485544,7.48896482,2.86E-14,1.86E-12,2,PELI1
1197,ENSG00000113273,13.44858725,6.683236421,3.16E-14,1.95E-12,5,ARSB
2372,ENSG00000145390,-10.80911834,7.130289661,3.26E-14,1.98E-12,4,USP53
2208,ENSG00000140830,13.43786905,6.672566204,3.32E-14,2.00E-12,16,TXNL4B
1180,ENSG00000112763,13.41619076,6.650986032,3.63E-14,2.09E-12,6,BTN2A1
108,ENSG00000017797,-13.40646236,6.636069842,3.80E-14,2.13E-12,18,RALBP1
1101,ENSG00000110880,-10.77321469,7.094431233,3.81E-14,2.13E-12,12,CORO1C
2038,ENSG00000137101,13.38609451,6.621028375,4.13E-14,2.22E-12,9,CD72
895,ENSG00000105171,13.38203381,6.616986598,4.21E-14,2.24E-12,19,POP4
1376,ENSG00000117906,10.56017042,7.048521371,4.72E-14,2.44E-12,15,RCN2
855,ENSG00000104312,-10.1219407,7.356237508,5.06E-14,2.57E-12,8,RIPK2
1236,ENSG00000114491,13.32183205,6.557071418,5.47E-14,2.71E-12,3,UMPS
214,ENSG00000052802,13.28424948,6.519673716,6.40E-14,3.02E-12,4,MSMO1
1608,ENSG00000125812,-13.2796016,6.509353806,6.56E-14,3.07E-12,20,GZF1
1979,ENSG00000136026,-13.20717323,6.437014579,8.98E-14,3.87E-12,12,CKAP4
4948,ENSG00000264343,-13.19671051,6.426565144,9.36E-14,3.98E-12,1,NOTCH2NLA
3738,ENSG00000182606,13.19216472,6.428062116,9.51E-14,4.03E-12,3,TRAK1
1003,ENSG00000107798,-13.18219923,6.412072479,9.98E-14,4.17E-12,10,LIPA
4160,ENSG00000203705,13.16051082,6.396577723,1.09E-13,4.42E-12,1,TATDN3
727,ENSG00000100883,-10.52499544,6.846559076,1.11E-13,4.48E-12,14,SRP54
4427,ENSG00000226950,13.14860864,6.384740207,1.15E-13,4.58E-12,4,DANCR
2107,ENSG00000138430,10.33653864,6.825872192,1.24E-13,4.81E-12,2,OLA1
4233,ENSG00000205707,9.734684651,7.145799216,1.27E-13,4.89E-12,12,ETFRF1
2890,ENSG00000163251,13.11963626,6.355927415,1.30E-13,4.96E-12,2,FZD5
1416,ENSG00000119638,-13.10736919,6.337341782,1.37E-13,5.13E-12,14,NEK9
4318,ENSG00000214087,-13.07774162,6.307755154,1.56E-13,5.55E-12,17,ARL16
1318,ENSG00000116406,-13.05909108,6.289130878,1.70E-13,5.83E-12,1,EDEM3
