Names	total	elements
C N P	14	ADGRE5
		SFPQ
		BCLAF1
		PIP4K2A
		PHACTR2
		IST1
		CD48
		ARHGAP25
		WIPF1
		SEC61B
		RANBP2
		ATP1B3
		KLRB1
		LSM7
C P	37	RTN4
		HLA-F
		G3BP1
		EP300
		RAB8B
		HECTD1
		SOD1
		LSM14A
		TRAM1
		SYNCRIP
		U2AF1L4
		AP3S1
		FUBP1
		GLS
		PPP6R3
		SLA
		BRD2
		ZFR
		MESD
		PSMB8-AS1
		SREK1
		ATP5F1A
		STRN3
		ANKRD40
		VDAC1
		DERL2
		RBM25
		HIGD2A
		KPNA6
		TES
		ANP32B
		HSBP1
		KMT2C
		M6PR
		HIPK1
		RAB7A
		ERVK3-1
C N	13	OGT
		RORA
		TLE3
		RSL24D1
		SNAP23
		COX8A
		TBL1XR1
		MEAF6
		COPB1
		HNRNPA3
		CDC5L
		RABAC1
		SEC22B
N P	91	RPS17
		DPY30
		BTG2
		RPL10A
		NUTF2
		IFITM3
		LSP1
		C4orf3
		USP15
		LAPTM4A
		LYN
		NASP
		SNRPA1
		RBM17
		PDCD4
		TUT4
		TAGLN2
		CMC2
		RPS15A
		TWISTNB
		ANKHD1
		SAMSN1
		CCT2
		RTRAF
		NGLY1
		SF3B1
		TNFRSF1B
		BTF3
		BNIP2
		CYTOR
		IKZF3
		TGOLN2
		RSBN1
		ARPC1B
		MIS18BP1
		HP1BP3
		EIF3L
		PDE4B
		S100A10
		ADIPOR1
		IFITM2
		DDX17
		SH3BGRL
		ENO1
		CBWD2
		LSM3
		BRD4
		NCOA3
		VMP1
		SPCS3
		NDUFA13
		GGNBP2
		CD96
		SS18L2
		TSPYL2
		PDIA6
		TLK1
		ARPP19
		FAM177A1
		SERP1
		RPL22
		CAPG
		MRPS6
		RSRC2
		RAB1A
		ATG12
		SNRPB
		NAP1L4
		CNOT7
		PRRC2C
		CEMIP2
		SFT2D1
		GNG2
		CBWD5
		CD3D
		ABRACL
		S100A6
		CCL3
		DDX3X
		PCED1B-AS1
		SYTL3
		PEBP1
		TMF1
		MCL1
		MAPK1IP1L
		GGA2
		USP8
		BOLA2B
		SNW1
		RUBCN
		DHX9
C	66	TBCB
		ATP6V1F
		EIF6
		SUMO1
		PRDX3
		HNRNPD
		MKNK2
		CYTH1
		EIF5B
		MIR4435-2HG
		MSN
		IL2RA
		ARHGAP9
		BIRC6
		DDX27
		SNHG15
		BTG1
		GTPBP4
		DUSP4
		DCUN1D1
		SLC25A5
		TPM3
		TUT7
		SAP18
		FAM133B
		TMBIM6
		RASSF5
		MED10
		CYBB
		ETS1
		SSR2
		EDEM1
		TARDBP
		PAN3
		PPP1R12A
		RAB11FIP1
		YWHAH
		TMEM170A
		CALR
		SUMO3
		JAK1
		CDV3
		PRELID3B
		CFLAR
		ISCU
		IFNGR2
		SLIRP
		MIDN
		TMEM107
		NINJ1
		LMNA
		SNRNP27
		ERH
		CAST
		TOMM7
		ATP5ME
		GOLGA4
		ATG3
		PSMA5
		PRNP
		STARD7
		MRFAP1
		MRPL22
		SENP5
		BIRC3
		ZNF638
P	429	PRPF40A
		KRTCAP2
		PSMA2
		ANXA2
		IRF4
		BLOC1S1
		POLR2G
		RGS2
		NDUFS6
		HECA
		EIF4EBP2
		PDCL3
		BUB3
		NDUFB10
		GLTP
		SLC25A3
		CNN2
		CCDC59
		PPP1R2
		FOSL2
		CHMP4A
		TOMM20
		ZDHHC2
		ADD3
		ANXA1
		RAP1A
		CCNI
		LMAN2
		CHORDC1
		RB1CC1
		ATP5F1E
		EIF4E
		AP1G1
		SOD2
		CCDC12
		SYNE2
		IRF1
		MARCKS
		ING3
		CBWD1
		NT5C3A
		CCR6
		SSH2
		IRF2BP2
		ANAPC11
		SOX4
		SERINC3
		RHOF
		DDIT4
		RC3H1
		GNAI2
		ECH1
		ELOVL5
		DARS
		RAD23A
		ILF2
		PTPN22
		OPTN
		DAD1
		TOMM6
		RUNX3
		SLK
		ITM2B
		HLA-H
		UTRN
		GPR183
		BAZ1B
		NOP56
		CHD7
		NUCB2
		TERF2IP
		SQSTM1
		SMC3
		KPNA2
		DGUOK
		DCP1A
		TACC1
		CEP350
		PCF11
		GZMA
		ATRAID
		TBCA
		DAZAP2
		TRA2B
		FNBP4
		IKZF1
		DHRS7
		UBE2I
		TCL1A
		NPC2
		EVI2A
		SRSF10
		SRPRA
		THOC2
		UFM1
		DOCK8
		CHD2
		CKLF
		PCMT1
		ANKRD36C
		REEP5
		MRPL33
		SRSF6
		SWAP70
		POLE3
		HSPD1
		DDX3Y
		CCAR1
		EMC4
		UFD1
		CFL1
		CMPK1
		PLIN2
		DTX3L
		NOP53
		TP53INP1
		FNIP1
		CPSF6
		ENSA
		EIF1AX
		TMEM120B
		PSMB6
		CAMTA1
		WDR43
		TMEM156
		BOD1L1
		GNG5
		EML4
		PSMD6
		UBXN4
		MYH9
		RHEB
		FKBP3
		IDI1
		HMGN3
		ADAM19
		CORO1A
		C1orf56
		RSRC1
		CIAO2A
		CD63
		RASSF2
		USP16
		SINHCAF
		ARAP2
		JSRP1
		POGZ
		LETM1
		USP10
		TNFAIP8
		EIF3M
		ZNF24
		THBS1
		RBM22
		CRBN
		GZMB
		ANKRD44
		CCDC186
		PTGES3
		KDM5A
		HSPB11
		SNRPN
		SEC11C
		ELMO1
		MYDGF
		ARF1
		TMEM33
		CCT3
		NDUFA1
		HSPE1
		ARL4C
		PPP4R3A
		RBM5
		HSP90B1
		KRR1
		MOB1A
		AEBP2
		EIF3C
		ATP5PD
		NDUFC1
		HSPA4
		AKNA
		RABEP1
		TECR
		RHOA
		CHD4
		HIST2H2AA3
		HIF1A
		ZBTB20
		YTHDF2
		RPSA
		XPC
		MRPS36
		SMC4
		ADAR
		SLC12A2
		PARP14
		LITAF
		CYLD
		GDI2
		RHOG
		AHNAK
		ITM2A
		XBP1
		TUBA1B
		NABP1
		MTPN
		SSR1
		SLAMF7
		EIF4A3
		ATP5F1C
		TRAT1
		CHMP2B
		DDX24
		ATP1A1
		ALYREF
		USP9X
		UBE2N
		TMX1
		APOBEC3C
		CYSTM1
		WAPL
		VAPA
		NFE2L2
		ARIH2
		TMEM14B
		KLF6
		NR3C1
		H2AFV
		THUMPD1
		CHCHD7
		MRPL57
		C6orf62
		TARS
		ACIN1
		DNTTIP2
		PRPF39
		RAB30
		ATP6AP2
		FYTTD1
		CCT4
		ETFA
		SMN1
		NOL7
		CDC42SE1
		STAT2
		CBLB
		CCL5
		AP2M1
		NHP2
		ZFAND5
		CREBRF
		DNAJC9
		ARL6IP4
		PPHLN1
		LCK
		ORAI2
		CDC123
		TTC3
		LYST
		PGAM1
		UQCRFS1
		SMARCA5
		PPP1R16B
		YPEL5
		SELENOW
		IL32
		LAMP2
		HLA-B
		RPN1
		CGGBP1
		RNF7
		VIM
		HIGD1A
		SNRPC
		CACYBP
		RNF10
		PSMD8
		BZW1
		TRAPPC4
		TANK
		SET
		GSTO1
		LIMD2
		NDUFA3
		TOR1AIP2
		RPL21P28
		SVIP
		SLC35F2
		HIPK2
		CCND2
		LCP1
		TBRG1
		NFKBIZ
		PRKCH
		COX20
		MAF
		TAF9
		TMEM258
		STAT3
		SUSD6
		CD47
		RANBP1
		CHURC1
		IFNAR1
		LINC01578
		RPL8
		SARNP
		SDHD
		ATP5MPL
		CD2
		IRF8
		UBE2J1
		MIA3
		MRPL51
		PTP4A1
		IGLL5
		ASF1A
		CRIM1
		MPHOSPH8
		RNF181
		PRKDC
		SNRPB2
		CCL4
		ZCCHC10
		OAZ1
		BLOC1S6
		CWC15
		SKIL
		EDF1
		ODF2L
		HSPA1A
		TOP2B
		SETX
		RNF114
		ZNF207
		DERL1
		TRMT10C
		EIF3I
		STRAP
		ATP5MC2
		RPF1
		RSF1
		UQCRQ
		TMEM263
		PHPT1
		MDH2
		FUNDC2
		EEF1B2
		LIMS1
		RSL1D1
		PSME2
		ETV6
		LARP4B
		DNAJB14
		TPR
		UBE2L3
		WDR26
		SAR1A
		PDHB
		PELI1
		PPT1
		SUPT16H
		BCL11B
		UBE2B
		AUTS2
		LBH
		CEP57
		CSNK1A1
		PSMB10
		GABARAPL2
		MRPS18C
		HINT1
		ISCA1
		DYNLRB1
		SMAP2
		RPS9
		TSTD1
		WAC
		EXOSC8
		APRT
		HNRNPH3
		ATF4
		IFRD1
		FKBP1A
		AMD1
		SLC16A1
		PSMC1
		TTC1
		EVL
		S100A11
		SRP9
		PDCD10
		PTTG1
		NXT1
		ARL8B
		SATB1
		ANXA5
		STMN1
		CARD16
		PAK2
		RAN
		VDAC2
		ATF7IP
		BRWD1
		ATP5PF
		WASF2
		TMEM154
		RGS1
		SYAP1
		CCDC47
		GADD45B
		SAFB
		FNBP1
		BCAS4
		PSMB9
		TNRC6B
		NDUFB9
		MYADM
		CNOT6L
		ACTR2
		PPP1CA
		DNAJB11
		HLA-DRB6
		ATP5MC3
		RAB8A
		PGK1
		COX6A1
		CCT7
N	207	PHAX
		PSMA4
		ACTR3
		ATRX
		CXCR4
		TMBIM4
		C9orf78
		MACF1
		POLR2L
		GAS5
		LMAN1
		UBE2G1
		KMT2E
		PTEN
		PRKRA
		H3F3A
		NUCKS1
		MED4
		SMDT1
		SESN3
		C16orf54
		EMB
		MYL12B
		MRPL32
		PSAP
		PCBP1-AS1
		CCNL1
		S1PR2
		PSMA1
		SP110
		AMFR
		SDCBP
		LARP7
		UQCR10
		FYB1
		RAC2
		ANKRD10
		ZC3H7A
		DDX47
		SNHG5
		RPL7L1
		HSPA9
		OSTF1
		ZNF706
		CAPZA2
		TIAL1
		LGALS1
		UBA6
		MBNL1
		RPL15
		TSC22D2
		ENY2
		FOS
		MYCBP2
		ABCF1
		JUNB
		CLEC2B
		TIPARP
		YWHAQ
		YME1L1
		PTP4A2
		KIF5B
		ARL6IP5
		HNRNPM
		SEC61G
		DUSP2
		IFI30
		DYNLL1
		XRCC6
		ANAPC16
		EVI2B
		PSMD11
		IAH1
		LARS
		ZNF331
		DNAJC8
		RPL3
		RHOH
		PRKD3
		FGFR1OP2
		H3F3B
		CYTIP
		COX17
		ERBIN
		SLC25A6
		OFD1
		TTI2
		PAFAH1B2
		PMAIP1
		DAPP1
		RPL32
		ISG20
		SMU1
		SNU13
		CD99
		HSPA8
		LPXN
		SYF2
		LRMP
		PPIG
		TCF4
		NKTR
		SHOC2
		FBXW7
		XRN1
		CCNH
		PHACTR1
		COX5B
		PRDX2
		LUC7L3
		CD3G
		NKG7
		HSPH1
		IDS
		YY1
		ANKRD12
		ARPC5
		NPIPB4
		NDUFB11
		UBE2A
		FTH1
		EWSR1
		JUND
		SH3BGRL3
		GLIPR1
		DDX39A
		C1QBP
		ACAP2
		RBM26
		PARK7
		CLEC2D
		MPC2
		LTB
		UQCRB
		LYZ
		HLA-DMB
		MAP1LC3B
		RBBP4
		BEST1
		LAPTM5
		PRKAR1A
		LDHA
		PIK3R1
		TMEM50A
		USP22
		RAP2C
		ELMSAN1
		BDP1
		DENND4A
		XRCC5
		UBE2D3
		WBP11
		H3F3C
		RAD21
		SPEN
		MIF
		CD164
		ATXN7
		HNRNPK
		CAMLG
		PCBP2
		CCNK
		MINOS1
		SAFB2
		EBF1
		SMCHD1
		CCNDBP1
		TAF1D
		ELL2
		RPN2
		NSD3
		DEK
		UPF2
		RIPOR2
		PPIB
		PDE4D
		MAT2B
		EIF3F
		KPNB1
		U2AF1
		WSB1
		SBNO1
		TXNDC12
		NPIPB3
		ILF3
		TOMM22
		APBB1IP
		RPS24
		HNRNPU
		RPL38
		ARID2
		ALDOA
		CUTA
		ATP5IF1
		NDUFV2
		SMARCE1
		LRRFIP1
		CAPZB
		IRF2BPL
		CWC25
		FAM49B
		SSR4
		EBP
		HSP90AA1
		HCLS1
		NAP1L1
		LBR
