"SUID","name","selected","shared name"
"9258","RAN","false","RAN"
"9259","DHX9","false","DHX9"
"9260","SNRPN","false","SNRPN"
"9262","RPS9","false","RPS9"
"9264","CWC15","false","CWC15"
"9266","ALYREF","false","ALYREF"
"9268","CCT2","false","CCT2"
"9270","SNRPB","false","SNRPB"
"9272","C14orf166","false","C14orf166"
"9274","SETX","false","SETX"
"9276","EIF4A3","false","EIF4A3"
"9278","SMARCA5","false","SMARCA5"
"9280","ILF2","false","ILF2"
"9282","KPNA2","false","KPNA2"
"9284","LARP4B","false","LARP4B"
"9286","ENO1","false","ENO1"
"9288","PCMT1","false","PCMT1"
"9290","RPL8","false","RPL8"
"9292","CCT4","false","CCT4"
"9294","SAFB","false","SAFB"
"9296","UBE2I","false","UBE2I"
"9298","STRAP","false","STRAP"
"9302","GDI2","false","GDI2"
"9304","RBM5","false","RBM5"
"9306","LSM3","false","LSM3"
"9308","DDX3X","false","DDX3X"
"9310","HSPD1","false","HSPD1"
"9312","POLR2G","false","POLR2G"
"9314","NOP56","false","NOP56"
"9316","U2AF1L4","false","U2AF1L4"
"9318","EIF1AX","false","EIF1AX"
"9320","TPR","false","TPR"
"9322","RPSA","false","RPSA"
"9325","DDX24","false","DDX24"
"9327","HNRNPH3","false","HNRNPH3"
"9329","SRSF10","false","SRSF10"
"9331","DDX17","false","DDX17"
"9333","SF3B1","false","SF3B1"
"9335","ZCCHC11","false","ZCCHC11"
"9337","CCT3","false","CCT3"
"9339","CHD4","false","CHD4"
"9341","SAR1A","false","SAR1A"
"9343","TRA2B","false","TRA2B"
"9345","SMN1","false","SMN1"
"9347","SRSF6","false","SRSF6"
"9351","PEBP1","false","PEBP1"
"9353","PSMB6","false","PSMB6"
"9355","EEF1B2","false","EEF1B2"
"9357","RPL10A","false","RPL10A"
"9359","ZNF207","false","ZNF207"
"9362","SNW1","false","SNW1"
"9364","G3BP1","false","G3BP1"
"9366","SYNCRIP","false","SYNCRIP"
"9368","BUB3","false","BUB3"
"9370","EP300","false","EP300"
"9372","PRKDC","false","PRKDC"
"9374","PTGES3","false","PTGES3"
"9376","SFPQ","false","SFPQ"
"9378","HSPE1","false","HSPE1"
"9380","PCF11","false","PCF11"
"9382","EIF3L","false","EIF3L"
"9384","SMC3","false","SMC3"
"9386","SNRPA1","false","SNRPA1"
"9388","SNRPB2","false","SNRPB2"
"9390","NUTF2","false","NUTF2"
"9392","RANBP1","false","RANBP1"
"9394","SNRPC","false","SNRPC"
"9396","TRMT10C","false","TRMT10C"
"9398","BCLAF1","false","BCLAF1"
"9400","NXT1","false","NXT1"
"9402","EIF3I","false","EIF3I"
"9405","H2AFV","false","H2AFV"
"9407","CCAR1","false","CCAR1"
"9409","LSM7","false","LSM7"
"9411","UBE2N","false","UBE2N"
"9413","RBM25","false","RBM25"
"9415","HSPA4","false","HSPA4"
"9417","RBM17","false","RBM17"
"9419","WDR43","false","WDR43"
"9421","SET","false","SET"
"9423","NR3C1","false","NR3C1"
"9425","RANBP2","false","RANBP2"
"9428","ADAR","false","ADAR"
"9430","PSMD8","false","PSMD8"
"9434","PSMA2","false","PSMA2"
"9437","KPNA6","false","KPNA6"
"9440","EIF4E","false","EIF4E"
"9442","CPSF6","false","CPSF6"
"9444","RBM22","false","RBM22"
"9446","THOC2","false","THOC2"
"9448","CCT7","false","CCT7"
"9452","EIF3M","false","EIF3M"
"9454","PRPF40A","false","PRPF40A"
