"SUID","name","selected","shared name"
"624","CPSF6","true","CPSF6"
"241","RBM22","true","RBM22"
"115","RPSA","true","RPSA"
"886","POLR2G","true","POLR2G"
"123","ALYREF","true","ALYREF"
"124","THOC2","true","THOC2"
"126","SNRPB","true","SNRPB"
"255","CWC15","true","CWC15"
"127","SNRPC","true","SNRPC"
"640","SYNCRIP","true","SYNCRIP"
"2050","HNRNPH3","true","HNRNPH3"
"515","DHX9","true","DHX9"
"132","NOP56","true","NOP56"
"647","DDX24","true","DDX24"
"265","TRA2B","true","TRA2B"
"138","RANBP2","true","RANBP2"
"266","SRSF6","true","SRSF6"
"779","U2AF1L4","true","U2AF1L4"
"1420","SAFB","true","SAFB"
"269","SNRPN","true","SNRPN"
"1806","SETX","true","SETX"
"1297","DDX17","true","DDX17"
"1041","PRKDC","true","PRKDC"
"149","RPL8","true","RPL8"
"1430","ZCCHC11","true","ZCCHC11"
"666","SRSF10","true","SRSF10"
"413","EIF4E","true","EIF4E"
"159","LSM3","true","LSM3"
"160","LSM7","true","LSM7"
"1315","LARP4B","true","LARP4B"
"2213","TRMT10C","true","TRMT10C"
"165","RPL10A","true","RPL10A"
"550","TPR","true","TPR"
"680","CHD4","true","CHD4"
"2089","BCLAF1","true","BCLAF1"
"176","SMARCA5","true","SMARCA5"
"434","STRAP","true","STRAP"
"435","SMN1","true","SMN1"
"185","SMC3","true","SMC3"
"314","G3BP1","true","G3BP1"
"2108","C14orf166","true","C14orf166"
"1856","SFPQ","true","SFPQ"
"963","DDX3X","true","DDX3X"
"965","ILF2","true","ILF2"
"1100","CCAR1","true","CCAR1"
"589","RBM5","true","RBM5"
"336","PRPF40A","true","PRPF40A"
"208","UBE2I","true","UBE2I"
"337","RBM25","true","RBM25"
"83","SF3B1","true","SF3B1"
"84","SNRPA1","true","SNRPA1"
"724","ADAR","true","ADAR"
"218","SNW1","true","SNW1"
"479","PCF11","true","PCF11"
"227","WDR43","true","WDR43"
"229","EIF4A3","true","EIF4A3"
"365","RBM17","true","RBM17"
"110","SNRPB2","true","SNRPB2"
