hgnc_symbol,stage1,stage2,stage3,stage4
WDR43,911.089527,852.244898,1351.673314,1700.103346
UBE2I,987.0023241,1718.693265,1850.184093,131.6137993
U2AF1L4,647.6722973,522.4489796,497.5100646,728.3089519
TRMT10C,426.5721526,452.9387755,323.0898386,517.9193549
TRA2B,1060.236004,1307.673469,774.0423551,866.4958184
TPR,722.3210715,682.7226531,3036.008044,1679.502996
THOC2,366.9008205,868.3673469,501.8138177,1214.729265
SYNCRIP,399.0365517,3148.323061,2377.888253,1438.797372
STRAP,1834.039817,702.3265306,757.2176638,1204.121266
SRSF6,5376.798567,4584.571429,2736.467616,9837.896527
SRSF10,2293.977558,1891.612245,1925.063248,2106.842593
SNW1,762.4925457,1323.938776,1730.587622,838.1047461
SNRPN,830.8479754,1193.239388,93.3434169,918.7500179
SNRPC,232.8733108,37.18367347,1288.96207,524.504779
SNRPB2,360.9765927,888.7959184,888.8157644,414.4336918
SNRPB,691.2864383,1232.141429,737.6414055,1056.935484
SNRPA1,412.0853644,89.53061224,167.575094,703.1017264
SMN1,161.2292495,0.762244898,26.96848433,270.6330556
SMC3,358.4379826,637.6734694,673.3769288,584.325221
SMARCA5,600.7510811,962.6493878,479.2477209,839.6539546
SFPQ,1158.473456,2883.102041,2500.788604,1554.777724
SF3B1,1521.875724,3480,1504.299715,4129.140681
SETX,1156.494209,2303.734694,292.2305793,283.8142175
SAFB,312.6221139,875.4395918,303.8183533,487.8211171
RPSA,2485.422433,6596.505102,5137.726765,2830.930911
RPL8,3518.105454,6300.795918,3138.529155,4454.128136
RPL10A,3218.294457,6106.28551,2772.404912,3151.62411
RBM5,484.3874518,812.6830612,80.15612537,584.4185723
RBM25,1325.318502,1398.805714,2546.906287,2006.472943
RBM22,113.480695,321.2653061,339.4547008,1024.232079
RBM17,436.1233108,513.2040816,1085.94359,1121.889486
RANBP2,3260.113545,2500.496939,1543.618902,1806.048931
PRPF40A,1080.666988,1396.591837,2661.699335,1823.468638
PRKDC,867.2471041,2404.693878,746.7627729,1221.999104
POLR2G,267.1522684,1866.44898,1106.977778,499.0866189
PCF11,453.0191361,336.2718367,1160.440332,860.945708
NOP56,476.5241313,876.3502041,520.2938273,1001.731986
LSM7,1681.037886,1413.877551,1125.497056,857.4865594
LSM3,604.8741458,496.554898,149.4154264,713.9284349
LARP4B,1062.77389,1670.326531,290.9996202,848.9826762
ILF2,2519.320222,1547.326531,1740.036467,1127.589008
HNRNPH3,865.3547465,492.1630612,757.6155745,674.1384827
G3BP1,1348.564913,814.9183673,561.959924,1824.448029
EIF4E,1396.57069,2256.017755,624.8235462,795.3877031
EIF4A3,201.2067592,1904.816327,542.9103514,1239.301673
DHX9,278.1954634,2155.204082,495.9851852,530.5454003
DDX3X,1755.694624,10947.00367,2311.031149,5928.044057
DDX24,2307.288852,1825.102041,2417.734473,2850.027479
DDX17,1890.225145,885.5102041,2037.042545,2578.991936
CWC15,1085.627413,2001.755102,612.2309591,360.1146954
CPSF6,503.8571429,1146.877551,256.1378917,727.816607
CHD4,1489.628219,1958.142857,593.6295955,1256.646729
CCAR1,281.676641,702.4285714,202.2826211,868.5982676
BCLAF1,1501.175563,781.8720408,3694.382302,1608.655299
ALYREF,287.0844595,3.693877551,50.46058879,55.15621268
ADAR,418.8158784,423.0816327,218.7623932,1394.252389
