node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
EIF4A3,9.22E+13,0.49129,72,73,81.857,4,0.19924,256.56667,6.60043,7791.45476,104916,0.26865
HSPA4,9.59E+08,0.28642,66,67,70.18,18,0.19924,266.73333,6.75762,13089.69444,148434,0.16056
RPSA,2.53E+10,0.50569,59,60,76.505,4,0.19924,258.68333,6.68376,5256.72922,89516,0.29266
EP300,1345,0.20654,54,59,52.008,14,0.19924,254.06667,6.63262,14341.58283,142926,0.10637
RPL8,2.53E+10,0.49246,58,58,74.865,5,0.19924,254.85,6.64967,3948.43619,76372,0.29643
CCT2,3.48E+09,0.39196,58,58,74.071,5,0.19924,262.78333,6.75005,8447.51857,110794,0.23593
DHX9,9.22E+13,0.54727,56,57,73.279,2,0.19924,246.01667,6.53793,3815.54743,50698,0.32143
STAT3,4081,0.2054,54,57,51.558,10,0.19924,261.11667,6.73679,14767.42882,153878,0.11341
RPS9,2.53E+10,0.52249,55,55,75.039,4,0.19924,251.48333,6.62315,3648.32257,69064,0.31987
SF3B1,9.22E+13,0.58029,51,52,71.949,2,0.19924,243.26667,6.52277,4219.02747,47416,0.34992
CCT7,5.08E+09,0.4915,51,51,72.076,4,0.19924,253.28333,6.66293,4309.26864,80588,0.30824
NHP2,1.05E+09,0.48108,48,50,72.278,6,0.19924,242.88333,6.53224,3636.18806,52526,0.28408
PSMA2,2.96E+09,0.44114,47,50,69.047,12,0.19924,254.86667,6.68565,5822.35856,76128,0.25143
CCT4,4.56E+09,0.49929,46,49,70.538,1,0.19924,252.61667,6.66103,5004.89501,74194,0.28571
RPS15A,2.32E+10,0.55688,49,49,70.089,1,0.19924,244.28333,6.54929,2347.31247,47634,0.35374
RPL10A,2.43E+10,0.57536,48,49,71.317,2,0.19924,244.63333,6.56065,3070.9948,52378,0.35289
SOD1,21863,0.28738,47,48,55.386,7,0.19924,246.38333,6.58527,6650.40597,73546,0.1773
RAN,2.04E+09,0.43539,47,48,68.854,1,0.19924,253.86667,6.67997,4596.2474,64012,0.26862
TRA2B,9.22E+13,0.61357,47,47,72.02,1,0.19924,236.68333,6.46785,1605.36743,28930,0.395
ALYREF,9.22E+13,0.66324,46,46,68.486,1,0.19924,231.21667,6.39967,988.73051,16176,0.42995
SNRPB,9.22E+13,0.6803,43,45,69.055,2,0.19924,234.01667,6.43944,2269.90491,27900,0.41212
SRSF6,9.22E+13,0.74459,42,44,66.853,2,0.19924,230.53333,6.39399,1761.72705,20008,0.45349
ATP5A1,4.46E+07,0.44796,43,44,59.013,7,0.19924,239.86667,6.53035,4340.14954,58410,0.2833
LSM3,9.22E+13,0.59796,44,44,68.995,1,0.19924,233.63333,6.43186,2463.69033,31554,0.39323
ILF2,4.95E+07,0.50845,40,43,66.654,10,0.19924,234.88333,6.46406,4741.90272,58338,0.299
H2AFV,1521,0.25052,42,43,37.083,10,0.19924,234.53333,6.44512,7385.74407,72170,0.15947
ENO1,81304,0.34934,43,43,57.261,7,0.19924,246.2,6.61179,3332.44741,46054,0.23145
SNRPA1,9.22E+13,0.7011,42,43,71.136,5,0.19924,233.76667,6.44512,2031.23951,28718,0.44629
EEF1B2,1.70E+10,0.50386,41,42,65.258,4,0.19924,240.55,6.53982,3830.28184,47650,0.32288
ATP5C1,4.44E+08,0.49711,40,42,52.696,5,0.19924,235.1,6.47921,5223.29147,52992,0.30546
DDX17,9.27E+07,0.42529,40,41,59.465,10,0.19924,233.48333,6.43944,2568.53654,30026,0.27439
POLR2G,9.22E+13,0.5754,38,41,62.243,6,0.19924,240.35,6.53793,4889.55561,49978,0.34024
RANBP2,4082849,0.35913,40,41,59.948,5,0.19924,238.65,6.52088,3271.51437,44214,0.23171
CCT3,2.88E+09,0.47305,41,41,64.739,8,0.19924,243.78333,6.59096,3191.64884,56420,0.31829
SYNCRIP,9.62E+08,0.47556,39,40,67.17,2,0.19924,236.23333,6.49436,2009.21129,31034,0.30897
RPN1,6.75E+09,0.41439,39,40,54.59,4,0.19924,234.46667,6.47353,5260.75251,61752,0.26923
EIF3I,1.85E+10,0.63934,39,40,68.804,1,0.19924,238.73333,6.52277,1237.24881,21574,0.41538
