"SUID","name","selected","shared name"
"576","ALYREF","false","ALYREF"
"529","SOD1","false","SOD1"
"598","RPSA","false","RPSA"
"532","NHP2","false","NHP2"
"583","PSMA2","false","PSMA2"
"441","STAT3","false","STAT3"
"519","EIF4A3","false","EIF4A3"
"431","DHX9","false","DHX9"
"553","RAN","false","RAN"
"587","RPS15A","false","RPS15A"
"521","TRA2B","false","TRA2B"
"567","CCT7","false","CCT7"
"588","RPL10A","false","RPL10A"
"568","CCT4","false","CCT4"
"378","HSPA4","false","HSPA4"
"555","RPL8","false","RPL8"
"589","RPS9","false","RPS9"
"572","CCT2","false","CCT2"
"526","EP300","false","EP300"
"548","SF3B1","false","SF3B1"
