"SUID","automated_textmining","coexpression","combined_score","database_annotated","experimentally_determined_interaction","gene_fusion","homology","interaction","name","neighborhood_on_chromosome","node1_external_id","node1_string_internal_id","node2_external_id","node2_string_internal_id","phylogenetic_cooccurrence","selected","shared interaction","shared name"
"1455","0.064","0.186","0.917","0.9","0.0","0.0","0.0","interacts with","DHX9 (interacts with) RPL19","0.0","9606.ENSP00000356520","4442908","9606.ENSP00000225430","4433313","0.0","false","interacts with","DHX9 (interacts with) RPL19"
"1334","0.181","0.343","0.946","0.9","0.128","0.0","0.0","interacts with","DHX9 (interacts with) SRSF6","0.0","9606.ENSP00000356520","4442908","9606.ENSP00000244020","4433875","0.0","false","interacts with","DHX9 (interacts with) SRSF6"
"1399","0.05","0.328","0.93","0.9","0.0","0.0","0.0","interacts with","DHX9 (interacts with) LSM3","0.0","9606.ENSP00000356520","4442908","9606.ENSP00000302160","4437830","0.0","false","interacts with","DHX9 (interacts with) LSM3"
"1465","0.088","0.112","0.914","0.9","0.064","0.0","0.0","interacts with","DHX9 (interacts with) RPL8","0.0","9606.ENSP00000356520","4442908","9606.ENSP00000262584","4435108","0.0","false","interacts with","DHX9 (interacts with) RPL8"
"1405","0.222","0.171","0.929","0.9","0.0","0.0","0.0","interacts with","DHX9 (interacts with) POLR2G","0.0","9606.ENSP00000356520","4442908","9606.ENSP00000301788","4437798","0.0","false","interacts with","DHX9 (interacts with) POLR2G"
"1215","0.089","0.706","0.984","0.9","0.495","0.0","0.0","interacts with","ALYREF (interacts with) DHX9","0.0","9606.ENSP00000421592","4449181","9606.ENSP00000356520","4442908","0.0","false","interacts with","ALYREF (interacts with) DHX9"
"1473","0.062","0.137","0.912","0.9","0.0","0.0","0.0","interacts with","RPL11 (interacts with) DHX9","0.0","9606.ENSP00000363676","4444414","9606.ENSP00000356520","4442908","0.0","false","interacts with","RPL11 (interacts with) DHX9"
"1283","0.395","0.233","0.959","0.9","0.223","0.0","0.0","interacts with","PRPF40A (interacts with) DHX9","0.0","9606.ENSP00000386458","4447382","9606.ENSP00000356520","4442908","0.0","false","interacts with","PRPF40A (interacts with) DHX9"
"2182","0.113","0.199","0.431","0.0","0.264","0.0","0.0","interacts with","DHX9 (interacts with) RBM25","0.0","9606.ENSP00000356520","4442908","9606.ENSP00000261973","4434986","0.0","false","interacts with","DHX9 (interacts with) RBM25"
"1350","0.044","0.359","0.941","0.9","0.162","0.0","0.0","interacts with","DHX9 (interacts with) SNRPA1","0.0","9606.ENSP00000356520","4442908","9606.ENSP00000254193","4434347","0.0","false","interacts with","DHX9 (interacts with) SNRPA1"
"1290","0.056","0.251","0.956","0.9","0.451","0.0","0.0","interacts with","SNRPB (interacts with) DHX9","0.0","9606.ENSP00000412566","4448654","9606.ENSP00000356520","4442908","0.0","false","interacts with","SNRPB (interacts with) DHX9"
"2058","0.093","0.254","0.489","0.0","0.305","0.0","0.0","interacts with","DHX9 (interacts with) RPSA","0.0","9606.ENSP00000356520","4442908","9606.ENSP00000346067","4441585","0.0","false","interacts with","DHX9 (interacts with) RPSA"
"1294","0.347","0.288","0.955","0.9","0.157","0.0","0.0","interacts with","DHX9 (interacts with) EIF4A3","0.0","9606.ENSP00000356520","4442908","9606.ENSP00000269349","4435883","0.0","false","interacts with","DHX9 (interacts with) EIF4A3"
"1487","0.05","0.12","0.909","0.9","0.0","0.0","0.0","interacts with","RPL10A (interacts with) DHX9","0.0","9606.ENSP00000363018","4444285","9606.ENSP00000356520","4442908","0.0","false","interacts with","RPL10A (interacts with) DHX9"
"1552","0.472","0.664","0.87","0.0","0.33","0.0","0.0","interacts with","DHX9 (interacts with) ILF2","0.0","9606.ENSP00000356520","4442908","9606.ENSP00000355011","4442589","0.0","false","interacts with","DHX9 (interacts with) ILF2"
"1489","0.0","0.129","0.909","0.9","0.0","0.0","0.0","interacts with","RPS29 (interacts with) DHX9","0.0","9606.ENSP00000379339","4446487","9606.ENSP00000356520","4442908","0.0","false","interacts with","RPS29 (interacts with) DHX9"
"2130","0.157","0.113","0.453","0.0","0.326","0.0","0.0","interacts with","DHX9 (interacts with) RANBP2","0.0","9606.ENSP00000356520","4442908","9606.ENSP00000283195","4436527","0.0","false","interacts with","DHX9 (interacts with) RANBP2"
"1238","0.193","0.643","0.973","0.9","0.185","0.0","0.0","interacts with","TRA2B (interacts with) DHX9","0.0","9606.ENSP00000416959","4448854","9606.ENSP00000356520","4442908","0.0","false","interacts with","TRA2B (interacts with) DHX9"
"1494","0.0","0.116","0.907","0.9","0.0","0.0","0.0","interacts with","DHX9 (interacts with) RPL18A","0.0","9606.ENSP00000356520","4442908","9606.ENSP00000222247","4433211","0.0","false","interacts with","DHX9 (interacts with) RPL18A"
"1625","0.199","0.106","0.786","0.72","0.058","0.0","0.0","interacts with","RPL7A (interacts with) DHX9","0.0","9606.ENSP00000361076","4443861","9606.ENSP00000356520","4442908","0.0","false","interacts with","RPL7A (interacts with) DHX9"
"1245","0.442","0.487","0.97","0.9","0.081","0.0","0.0","interacts with","SYNCRIP (interacts with) DHX9","0.0","9606.ENSP00000358635","4443358","9606.ENSP00000356520","4442908","0.0","false","interacts with","SYNCRIP (interacts with) DHX9"
"1951","0.253","0.115","0.553","0.0","0.379","0.0","0.0","interacts with","DHX9 (interacts with) UBE2I","0.0","9606.ENSP00000356520","4442908","9606.ENSP00000348056","4441792","0.0","false","interacts with","DHX9 (interacts with) UBE2I"
"1444","0.0","0.225","0.919","0.9","0.0","0.0","0.0","interacts with","RPS28 (interacts with) DHX9","0.0","9606.ENSP00000472469","4451031","9606.ENSP00000356520","4442908","0.0","false","interacts with","RPS28 (interacts with) DHX9"
