"SUID","name","selected","shared name"
"948","SNRPB","true","SNRPB"
"1460","DDX17","true","DDX17"
"1401","ILF2","true","ILF2"
"251","RPL11","true","RPL11"
"1149","TRA2B","true","TRA2B"
"1150","SRSF6","true","SRSF6"
"1214","DHX9","true","DHX9"
"1154","LSM3","true","LSM3"
"131","RPL18A","true","RPL18A"
"1156","EIF4A3","true","EIF4A3"
"72","RPS28","true","RPS28"
"73","RPSA","true","RPSA"
"844","SF3B1","true","SF3B1"
"845","SNRPA1","true","SNRPA1"
"1166","ALYREF","true","ALYREF"
"143","RPL8","true","RPL8"
"147","RPL19","true","RPL19"
"88","RPL10A","true","RPL10A"
"668","UBE2I","true","UBE2I"
"1244","SYNCRIP","true","SYNCRIP"
"94","RPS29","true","RPS29"
"1182","EIF4E","true","EIF4E"
"1377","POLR2G","true","POLR2G"
"1185","PRPF40A","true","PRPF40A"
"97","RPS6","true","RPS6"
"1186","RBM25","true","RBM25"
"425","RANBP2","true","RANBP2"
"105","RPL7A","true","RPL7A"
"172","RPS21","true","RPS21"
