node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
NOP56,6287346.0,0.53358,36.0,36.0,59.98,4.0,0.19924,225.51667,6.36179,1029.68974,20724.0,0.3746,
KRR1,1375976.0,0.63868,20.0,20.0,39.742,1.0,0.19924,203.98333,6.13641,201.97072,3980.0,0.54737,
RPSA,2.5286408777E10,0.50569,59.0,60.0,71.832,24.0,0.19924,258.68333,6.68376,5256.72922,89516.0,0.29266,
RPS17,2.0202774836E10,0.60425,37.0,37.0,60.566,2.0,0.19924,230.91667,6.43944,1184.7324,22822.0,0.42042,
HSPD1,1013748.0,0.44547,38.0,38.0,54.335,16.0,0.19924,239.2,6.5474,3343.0923,47312.0,0.30725,
HSPE1,539196.0,0.4299,33.0,33.0,52.587,2.0,0.19924,231.93333,6.46974,1747.55977,27698.0,0.31061,
PTTG1,3628847.0,0.56083,15.0,20.0,27.408,5.0,0.19924,212.08333,6.27656,1636.41006,17330.0,0.3,
ANAPC11,3992457.0,0.37608,27.0,28.0,29.393,10.0,0.19924,219.0,6.32202,2798.61247,24382.0,0.26984,
NDUFB9,6.03112328E8,0.81393,21.0,23.0,31.854,5.0,0.19924,207.36667,6.18565,1007.00183,9404.0,0.57312,
NDUFS6,6.02391621E8,0.63963,24.0,25.0,30.361,3.0,0.19924,208.61667,6.18376,1382.0824,16010.0,0.47333,
RPL22,2.2242193401E10,0.62902,38.0,39.0,60.953,2.0,0.19924,232.5,6.44891,1599.82938,25504.0,0.41161,
RPS9,2.528089462E10,0.52249,55.0,55.0,71.121,2.0,0.19924,251.48333,6.62315,3648.32257,69064.0,0.31987,
RPL10A,2.4327577819E10,0.57536,48.0,49.0,68.218,4.0,0.19924,244.63333,6.56065,3070.9948,52378.0,0.35289,
RPS15A,2.3246379158E10,0.55688,49.0,49.0,67.814,1.0,0.19924,244.28333,6.54929,2347.31247,47634.0,0.35374,
ARPC1B,54.0,0.31924,10.0,10.0,5.995,4.0,0.19924,181.7,5.88072,379.69302,3514.0,0.35556,
ACTR2,498.0,0.25554,26.0,28.0,20.466,16.0,0.19924,224.18333,6.39967,4802.49156,36348.0,0.17196,
PSMB6,3871288.0,0.41939,28.0,28.0,43.849,5.0,0.19924,234.11667,6.52656,1429.27655,21122.0,0.32011,
PSMA2,2.958295963E9,0.44114,47.0,50.0,66.099,2.0,0.19924,254.86667,6.68565,5822.35856,76128.0,0.25143,
SMC3,392.0,0.27928,24.0,24.0,31.281,8.0,0.16604,216.46667,6.30118,1407.83627,16458.0,0.22464,
WAPAL,32.0,0.51861,5.0,7.0,9.582,1.0,0.16604,181.48333,5.86557,99.96555,858.0,0.42857,
CNOT6L,34.0,0.36588,7.0,9.0,10.21,5.0,0.19924,190.8,6.0133,1523.16943,14546.0,0.27778,
CNOT7,46.0,0.29929,10.0,12.0,15.259,1.0,0.16604,190.36667,5.97921,1113.34708,12726.0,0.22727,
EIF3L,1.441000599E10,0.75542,23.0,23.0,46.681,2.0,0.19924,216.3,6.31633,258.30472,4758.0,0.6166,
EIF3C,1.3455617224E10,0.70269,24.0,26.0,47.963,3.0,0.19924,219.18333,6.33906,1301.63456,16092.0,0.48,
ALYREF,9.223372036854777E13,0.66324,46.0,46.0,65.587,12.0,0.19924,231.21667,6.39967,988.73051,16176.0,0.42995,
THOC2,449533.0,0.56523,21.0,24.0,37.873,2.0,0.16604,210.85,6.22164,1253.52432,11670.0,0.36232,
PSMC1,5.26864243E8,0.46403,38.0,39.0,54.803,2.0,0.19924,242.03333,6.58149,2665.55355,40628.0,0.30364,
PSMD8,3992418.0,0.45928,30.0,32.0,46.093,1.0,0.19924,236.65,6.53414,1587.47959,23544.0,0.30242,
CCT2,3.479091604E9,0.39196,58.0,58.0,72.004,12.0,0.19924,262.78333,6.75005,8447.51857,110794.0,0.23593,
CCT3,2.883523972E9,0.47305,41.0,41.0,62.676,3.0,0.19924,243.78333,6.59096,3191.64884,56420.0,0.31829,
EIF3M,1.7574455976E10,0.77677,30.0,30.0,58.522,2.0,0.19924,230.91667,6.46217,409.85664,9314.0,0.57931,
EIF3I,1.8537937597E10,0.63934,39.0,40.0,65.766,3.0,0.19924,238.73333,6.52277,1237.24881,21574.0,0.41538,
CCT4,4.560935193E9,0.49929,46.0,49.0,64.968,14.0,0.19924,252.61667,6.66103,5004.89501,74194.0,0.28571,
CCT7,5.083952196E9,0.4915,51.0,51.0,70.286,1.0,0.19924,253.28333,6.66293,4309.26864,80588.0,0.30824,
