"","stage1","stage2","stage3","stage4"
"UBE2I",-0.581599447024069,-0.52881518014865,-0.171104792049096,-0.985024321266328
"TRA2B",-0.530468849583454,-0.727334237723758,-0.851892820820513,-0.629287954068077
"SYNCRIP",-0.992107690026808,0.161683823902277,0.162731044668133,-0.352252363594755
"SRSF6",2.4832860832933,0.855379541806697,0.389575274991212,3.71352274261383
"SNRPB",-0.788063556302848,-0.763815569142466,-0.874920764357194,-0.537101302367346
"SNRPA1",-0.98299722667615,-1.31568685313767,-1.2355557211131,-0.708382582071446
"SF3B1",-0.208159398288401,0.321880957934422,-0.389917920348789,0.950069546003084
"RPSA",0.464573488796827,1.82712635438014,1.90865815945275,0.321641560459124
"RPS29",0.60757658250482,0.987138433374337,0.804098198811842,0.269259064505082
"RPS28",-0.162341492342342,-0.749451008551241,0.155162975689566,-0.487833475768616
"RPS21",-0.467226575059182,0.410810531180332,-0.331319596494326,-0.525263782270134
"RPL8",1.18557630402843,1.68430133939234,0.643927165296032,1.10738712251065
"RPL7A",0.353889471984384,2.05304364529808,1.57613496982748,0.23363897229069
"RPL19",1.92929921346166,1.23352776135157,2.15176488109323,1.56908369114485
"RPL11",1.53660464643431,-0.0185196052715815,1.86730319048915,0.741615641408709
"RPL10A",0.976253061460212,1.59035447050549,0.412309898262894,0.476880402679242
"RBM25",-0.34539248998327,-0.683318140279868,0.269655118951925,-0.0774560840246051
"RANBP2",1.00545041806474,-0.151210670386211,-0.365043848189996,-0.174475887579883
"PRPF40A",-0.516204252324143,-0.684387423997841,0.34227541165099,-0.166043480493577
"POLR2G",-1.08418719784954,-0.457450429402833,-0.641271448215639,-0.807140739312729
"LSM3",-0.848395241377038,-1.11909759283133,-1.24704387252468,-0.703141671528084
"ILF2",0.488240390317883,-0.611583851790451,-0.240786302395938,-0.502899853144336
"EIF4E",-0.295645344134321,-0.269292032103425,-0.946291520065747,-0.663709457926748
"EIF4A3",-1.13022929067729,-0.438919327878718,-0.998111391374296,-0.448822797566826
"DHX9",-1.07647701232489,-0.31798417673834,-1.02779715328243,-0.791912400873194
"DDX17",0.0490162583955061,-0.931235495829173,-0.0528945237393053,0.199684768070232
"ALYREF",-1.07027085476833,-1.35714526391213,-1.30964461421415,-1.02203535782881
