#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
RPS28	RPSA	4451031	4441585	9606.ENSP00000472469	9606.ENSP00000346067	0.045	0	0	0	0.948	0.988	0.900	0.634	0.999
RPS28	RPS25	4451031	4449729	9606.ENSP00000472469	9606.ENSP00000435096	0	0	0	0	0.993	0.992	0.900	0.801	0.999
RPL17	RPSA	4447993	4441585	9606.ENSP00000397798	9606.ENSP00000346067	0.072	0	0	0	0.961	0.988	0.900	0.135	0.999
RPS4X	RPS16	4444232	4434174	9606.ENSP00000362744	9606.ENSP00000251453	0	0	0	0	0.994	0.999	0.900	0.411	0.999
RPS13	RPSA	4449762	4441585	9606.ENSP00000435777	9606.ENSP00000346067	0.111	0	0	0	0.991	0.992	0.900	0.397	0.999
RPL27A	RPS2	4441578	4441195	9606.ENSP00000346015	9606.ENSP00000341885	0.167	0	0	0	0.993	0.991	0.900	0.647	0.999
RPS18	RPL10A	4447787	4444285	9606.ENSP00000393241	9606.ENSP00000363018	0.219	0	0	0	0.999	0.992	0.900	0.325	0.999
RPS13	RPS11	4449762	4435953	9606.ENSP00000435777	9606.ENSP00000270625	0	0	0.204	0	0.997	0.992	0.900	0.816	0.999
RPS24	RPS4X	4448728	4444232	9606.ENSP00000414321	9606.ENSP00000362744	0	0	0	0	0.993	0.987	0.900	0.761	0.999
RPS29	RPS9	4446487	4437909	9606.ENSP00000379339	9606.ENSP00000302896	0.167	0	0	0	0.949	0.963	0.900	0.933	0.999
RPS6	RPL22	4445386	4441587	9606.ENSP00000369757	9606.ENSP00000346088	0	0	0	0	0.958	0.991	0.900	0.785	0.999
RPS14	RPS3	4447293	4436296	9606.ENSP00000385958	9606.ENSP00000278572	0.219	0	0.298	0	0.997	0.963	0.900	0.849	0.999
RPS14	RPL22	4447293	4441587	9606.ENSP00000385958	9606.ENSP00000346088	0	0	0	0	0.905	0.992	0.900	0.817	0.999
RPS24	RPS2	4448728	4441195	9606.ENSP00000414321	9606.ENSP00000341885	0	0	0	0	0.974	0.978	0.900	0.730	0.999
RPS6	RPL7A	4445386	4443861	9606.ENSP00000369757	9606.ENSP00000361076	0.116	0	0	0	0.995	0.991	0.900	0.651	0.999
RPS13	RPL9	4449762	4448124	9606.ENSP00000435777	9606.ENSP00000400467	0	0	0.343	0	0.997	0.991	0.900	0.755	0.999
RPL5	RPS15A	4443502	4439216	9606.ENSP00000359345	9606.ENSP00000318646	0.219	0	0	0	0.997	0.986	0.900	0.562	0.999
RPS5	RPS17	4451050	4441582	9606.ENSP00000472985	9606.ENSP00000346046	0	0	0	0	0.977	0.960	0.900	0.643	0.999
RPS28	RPL3	4451031	4441576	9606.ENSP00000472469	9606.ENSP00000346001	0	0	0	0	0.982	0.947	0.900	0.640	0.999
RPL7A	RPS16	4443861	4434174	9606.ENSP00000361076	9606.ENSP00000251453	0.073	0	0	0	0.996	0.992	0.900	0.544	0.999
RPL26	RPL27A	4450720	4441578	9606.ENSP00000463784	9606.ENSP00000346015	0.135	0	0	0	0.992	0.960	0.900	0.642	0.999
RPS8	RPS7	4446579	4440923	9606.ENSP00000379888	9606.ENSP00000339095	0	0	0	0	0.995	0.990	0.900	0.698	0.999
RPS29	RPL22	4446487	4441587	9606.ENSP00000379339	9606.ENSP00000346088	0	0	0	0	0.943	0.805	0.900	0.667	0.999
RPL23	RPS9	4449110	4437909	9606.ENSP00000420311	9606.ENSP00000302896	0.219	0	0	0	0.970	0.992	0.900	0.701	0.999
