Names	total	elements
DEG MFZZ top50	6	
                                RPN1
		NHP2
		DHX9
		SNRPA1
		CCT7
		RAN
DEG top50	1	EP300
DEG MFZZ	88	BTG2
		NDUFS6
		PTPN22
		SLK
		TERF2IP
		EIF1AX
		SAMSN1
		NDUFA13
		TANK
		SUSD6
		UBE2J1
		PSMB8-AS1
		TMEM263
		ISCA1
		GADD45B
		DNAJB11
		ADGRE5
		CBWD1
		RTRAF
		IST1
		MTPN
		NABP1
		MAF
		CHURC1
		MIA3
		ASF1A
		RSF1
		LBH
		EIF4EBP2
		ADD3
		CCDC12
		SERINC3
		MRPL33
		PSMB6
		HMGN3
		HSPB11
		SLC12A2
		TRAT1
		ARIH2
		COX20
		HSPA1A
		IRF4
		ANAPC11
		DDIT4
		TNFRSF1B
		RBM22
		KRR1
		GDI2
		CD96
		SFT2D1
		PDHB
		TMF1
		ITM2B
		EVI2A
		POLE3
		UBXN4
		RHEB
		ADAM19
		MIS18BP1
		PRKDC
		CCL4
		ABRACL
		BCL11B
		TCL1A
		NOP53
		PHACTR2
		LAMP2
		PRKCH
		SATB1
		SYAP1
		SMC4
		TUBA1B
		SS18L2
		BZW1
		CD3D
		HNRNPH3
		ATF7IP
		OPTN
		FNBP4
		REEP5
		ENSA
		CIAO2A
		APOBEC3C
		SMN1
		LARP4B
		FKBP1A
		GGA2
		HIPK1
MFZZ top50	24	SOD2
		EIF4A3
		CCT4
		UQCRQ
		EIF4E
		SOD1
		DDX17
		EIF3I
		RPL10A
		UBE2I
		STAT3
		PSMA2
		POLR2G
		TRA2B
		SRSF6
		ALYREF
		LSM3
		SYNCRIP
		ENO1
		RPL8
		ILF2
		HSPA4
		RPSA
		RANBP2
DEG	4727	DPM2
		AACS
		ELMO2
		PNMA1
		SAMD4A
		FAM219A
		TMEM216
		HAUS2
		CMTR2
		ERCC5
		GNL3
		ITGA5
		APBB2
		ERAL1
		GLT1D1
		H2AZ2
		ABCB7
		PFKP
		GARS-DT
		LRRC41
		PBX4
		AEN
		CLK4
		ZNF646
		MTHFD2L
		NHLRC3
		LMAN1
		RAB1B
		GALNT3
		BOLA3-AS1
		MSL1
		DDB1
		SCAF8
		MYO9B
		CRNKL1
		XAB2
		RDH10
		C12orf66
		MON1B
		DTNBP1
		CCNB1
		ZEB1
		TRGC2
		CDK14
		DIRAS1
		PNPT1
		MIER1
		CCDC97
		EPN2
		STK16
		MMS22L
		AGPAT1
		TOB2
		LYAR
		GSTCD
		CAPS
		LINC02390
		RNF185
		PPCS
		LONP1
		SRPK1
		RRP7A
		MED13L
		ZFYVE1
		MRPL1
		SCYL3
		SORL1
		NFIA
		NAT10
		HEIH
		SERPINF1
		C20orf27
		ATXN10
		LHFPL2
		DIP2A
		CCL22
		ACTR8
		RABGGTA
