"","Gene","variable","value"
"1","RPN1","DEG",10
"2","NHP2","DEG",10
"3","DHX9","DEG",10
"4","SNRPA1","DEG",10
"5","CCT7","DEG",10
"6","RAN","DEG",10
"7","EIF4A3","DEG",0
"8","HSPA4","DEG",0
"9","RBM5","DEG",10
"10","RPN1","Degree",40
"11","NHP2","Degree",50
"12","DHX9","Degree",57
"13","SNRPA1","Degree",43
"14","CCT7","Degree",49
"15","RAN","Degree",48
"16","EIF4A3","Degree",73
"17","HSPA4","Degree",67
"18","RBM5","Degree",28
"19","RPN1","Mfuzz",10
"20","NHP2","Mfuzz",10
"21","DHX9","Mfuzz",10
"22","SNRPA1","Mfuzz",10
"23","CCT7","Mfuzz",10
"24","RAN","Mfuzz",10
"25","EIF4A3","Mfuzz",10
"26","HSPA4","Mfuzz",10
"27","RBM5","Mfuzz",0
"28","RPN1","Pathway",9
"29","NHP2","Pathway",6
"30","DHX9","Pathway",7
"31","SNRPA1","Pathway",2
"32","CCT7","Pathway",5
"33","RAN","Pathway",26
"34","EIF4A3","Pathway",14
"35","HSPA4","Pathway",15
"36","RBM5","Pathway",2
"37","RPN1","Immune",0
"38","NHP2","Immune",0
"39","DHX9","Immune",10
"40","SNRPA1","Immune",0
"41","CCT7","Immune",0
"42","RAN","Immune",10
"43","EIF4A3","Immune",10
"44","HSPA4","Immune",10
"45","RBM5","Immune",0
