##Databases: KEGG PATHWAY, Reactome
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Processing of Capped Intron-Containing Pre-mRNA	Reactome	R-HSA-72203	25	241	6.38734996737e-47	1.8395567906e-44	RBM5|SF3B1|SNRPB|SRSF10|SNRPC|CCAR1|PRPF40A|PCF11|RBM17|TRA2B|RANBP2|DHX9|LSM7|ALYREF|LSM3|U2AF1L4|SNRPB2|SNRPN|TPR|EIF4E|THOC2|CWC15|SNW1|POLR2G|EIF4A3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72203
Metabolism of RNA	Reactome	R-HSA-8953854	29	667	1.3468505327e-44	1.93946476709e-42	RBM5|SMN1|SF3B1|SNRPB|SRSF10|SNRPC|CCAR1|WDR43|ADAR|PRPF40A|PCF11|RBM17|TRMT10C|TRA2B|RANBP2|DHX9|LSM7|ALYREF|LSM3|U2AF1L4|SNW1|SNRPN|TPR|EIF4E|THOC2|CWC15|SNRPB2|POLR2G|EIF4A3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8953854
mRNA Splicing - Major Pathway	Reactome	R-HSA-72163	21	183	6.47589664558e-40	6.21686077975e-38	DHX9|RBM5|SNW1|LSM7|SF3B1|ALYREF|PRPF40A|CWC15|PCF11|EIF4A3|U2AF1L4|SNRPB2|RBM17|SRSF10|SNRPC|SNRPB|CCAR1|LSM3|SNRPN|POLR2G|TRA2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72163
mRNA Splicing	Reactome	R-HSA-72172	21	191	1.50928444851e-39	1.08668480293e-37	DHX9|RBM5|SNW1|LSM7|SF3B1|ALYREF|PRPF40A|CWC15|PCF11|EIF4A3|U2AF1L4|SNRPB2|RBM17|SRSF10|SNRPC|SNRPB|CCAR1|LSM3|SNRPN|POLR2G|TRA2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72172
Spliceosome	KEGG PATHWAY	hsa03040	17	135	8.5995392128e-33	4.95333458657e-31	RBM25|SNW1|LSM7|SF3B1|ALYREF|PRPF40A|LSM3|EIF4A3|U2AF1L4|SNRPB2|RBM17|SRSF10|THOC2|SNRPB|SNRPC|CWC15|TRA2B	http://www.genome.jp/kegg-bin/show_pathway?hsa03040/hsa:84991%09red/hsa:3183%09red/hsa:22938%09red/hsa:51690%09red/hsa:6629%09red/hsa:55660%09red/hsa:51503%09red/hsa:57187%09red/hsa:10772%09red/hsa:58517%09red/hsa:6628%09red/hsa:10992%09red/hsa:9775%09red/hsa:6434%09red/hsa:199746%09red/hsa:27258%09red/hsa:10189%09red
Transport of Mature Transcript to Cytoplasm	Reactome	R-HSA-72202	7	81	7.64393413574e-13	3.66908838515e-11	ALYREF|U2AF1L4|TPR|EIF4E|THOC2|EIF4A3|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72202
RNA transport	KEGG PATHWAY	hsa03013	8	165	1.30550277794e-12	5.37121142924e-11	UBE2I|SMN1|ALYREF|TPR|EIF4E|THOC2|EIF4A3|RANBP2	http://www.genome.jp/kegg-bin/show_pathway?hsa03013/hsa:6606%09red/hsa:5903%09red/hsa:57187%09red/hsa:1977%09red/hsa:9775%09red/hsa:7175%09red/hsa:10189%09red/hsa:7329%09red
Gene expression (Transcription)	Reactome	R-HSA-74160	14	1448	4.60168314242e-12	1.65660593127e-10	UBE2I|POLR2G|SNW1|CHD4|ALYREF|STRAP|PCF11|U2AF1L4|TPR|SNRPB|THOC2|SMARCA5|EIF4A3|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-74160
RNA Polymerase II Transcription Termination	Reactome	R-HSA-73856	6	67	2.9869654231e-11	9.55828935393e-10	ALYREF|PCF11|U2AF1L4|SNRPB|THOC2|EIF4A3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73856
Transport of Mature mRNA derived from an Intron-Containing Transcript	Reactome	R-HSA-159236	6	72	4.49352316598e-11	1.2941346718e-09	ALYREF|U2AF1L4|TPR|THOC2|EIF4A3|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-159236
mRNA 3'-end processing	Reactome	R-HSA-72187	5	58	1.74779454542e-09	4.57604390074e-08	PCF11|THOC2|U2AF1L4|ALYREF|EIF4A3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72187
RNA Polymerase II Transcription	Reactome	R-HSA-73857	11	1316	5.74322512289e-09	1.37837402949e-07	UBE2I|POLR2G|SNW1|CHD4|ALYREF|STRAP|PCF11|U2AF1L4|SNRPB|THOC2|EIF4A3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73857
Transport of the SLBP independent Mature mRNA	Reactome	R-HSA-159227	4	31	1.81971080253e-08	4.03135931638e-07	EIF4E|ALYREF|TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-159227
Transport of the SLBP Dependant Mature mRNA	Reactome	R-HSA-159230	4	32	2.04598400623e-08	4.20888138424e-07	EIF4E|ALYREF|TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-159230
Transport of Mature mRNA Derived from an Intronless Transcript	Reactome	R-HSA-159231	4	38	3.87418773159e-08	7.43844044465e-07	EIF4E|ALYREF|TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-159231
Transport of Mature mRNAs Derived from Intronless Transcripts	Reactome	R-HSA-159234	4	39	4.26905613852e-08	7.68430104933e-07	EIF4E|ALYREF|TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-159234
SUMOylation of RNA binding proteins	Reactome	R-HSA-4570464	4	43	6.15574469212e-08	1.04285557137e-06	UBE2I|SNRPC|TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4570464
snRNP Assembly	Reactome	R-HSA-191859	4	50	1.08701239402e-07	1.64768194461e-06	SNRPB|SMN1|TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-191859
Metabolism of non-coding RNA	Reactome	R-HSA-194441	4	50	1.08701239402e-07	1.64768194461e-06	SNRPB|SMN1|TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-194441
Deadenylation-dependent mRNA decay	Reactome	R-HSA-429914	4	55	1.55980814853e-07	2.24612373389e-06	EIF4E|LSM7|EIF4A3|LSM3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-429914
SUMO E3 ligases SUMOylate target proteins	Reactome	R-HSA-3108232	5	170	3.0048429918e-07	4.12092753161e-06	UBE2I|SNRPC|SMC3|TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3108232
SUMOylation	Reactome	R-HSA-2990846	5	176	3.55075426363e-07	4.63306594197e-06	UBE2I|SNRPC|SMC3|TPR|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2990846
ISG15 antiviral mechanism	Reactome	R-HSA-1169408	4	69	3.70001793977e-07	4.63306594197e-06	EIF4E|TPR|EIF4A3|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1169408
