"","logFC","logCPM","PValue","qval"
"DPM1",6.42340328803055,3.78077842392444,2.06282603243923e-07,2.37497113058743e-07
"NIPAL3",-6.58060159989905,3.01423867354556,1.23052193166983e-06,1.26924174352241e-06
"ENPP4",12.4750508150977,5.695539134223,2.03606687849131e-12,1.08321192476241e-11
"BAD",8.66495219111699,1.98752961560966,1.15831234547969e-05,1.0463106239933e-05
"LASP1",-8.50249067847419,4.89093975505607,4.61299174562307e-10,9.34823134134481e-10
"M6PR",-4.94302983763442,5.84765078483821,9.93664055155666e-07,1.03675591857318e-06
"NDUFAF7",9.60553103311136,2.87690369417332,3.27969728265619e-07,3.65479724289882e-07
"RBM5",-12.6784485657509,5.89681551609428,8.57304322544016e-13,6.11762852555734e-12
"AK2",-11.9685789888011,5.19095949306914,1.77327810630064e-11,6.14750641646752e-11
"CD38",2.14217413011838,5.03227397812563,0.0159833499458156,0.00890884787189045
"RECQL",-5.81802771297746,6.37975342830868,3.20558587496087e-08,4.25145544509923e-08
"SKAP2",-2.01781795663847,8.42877662855671,0.0196916600566945,0.0107708714384544
"MCUB",3.62943410724638,0.457581179466911,0.0207171985249162,0.0112846011037286
"POLR2J",3.51690510170227,6.15448808947906,0.000160792147226665,0.000125431240845988
"CIAPIN1",8.29751608117938,6.17455255545531,2.36693043190866e-11,7.71494387093742e-11
"MSL3",-2.82370001123073,5.83837473782288,0.00175132842687465,0.00116680197816175
"CREBBP",2.24334360506554,5.85988773915121,0.0108996613951988,0.0062783572661467
"KMT2E",-2.57133172593522,8.52739577419606,0.00359115929128183,0.00226408003193156
"RHBDD2",4.7025324708753,4.47460713438542,5.13122648283311e-06,4.87265182974419e-06
"IBTK",-11.0885951588372,4.3196757979192,7.3664172929183e-10,1.41591903249898e-09
"MYCBP2",5.37012440810822,7.65499252401247,1.10432521071436e-07,1.33131910389535e-07
"FBXL3",-2.42355421567831,6.17210630505322,0.00625113315638193,0.00376693393768615
"ITGAL",-10.1722391377183,3.42026326877598,3.29981666610264e-08,4.36890860413443e-08
"ZFX",-2.58824706734516,8.07361685842699,0.00343444757212075,0.00217372788403407
"GDE1",6.05775417861434,5.90926372446328,1.83017717075512e-08,2.52647808865747e-08
"KDM7A",-4.5174261897467,5.38140462655423,5.64019253738153e-06,5.32818650499674e-06
"PHTF2",-5.02483314580278,6.40826176263465,5.84413456490355e-07,6.25236066766169e-07
"DBF4",2.93624557047925,6.47183273758427,0.00114326580318252,0.000786072605288414
"IFRD1",-13.1457024484998,6.36232517408446,1.14893591403795e-13,1.45901294924696e-12
"COX10",-10.9776168441209,4.2102230750921,1.16887723689358e-09,2.11066147040926e-09
"ELAC2",11.3558408614814,4.58605320816882,2.36464840576855e-10,5.25714259588809e-10
"CCDC124",5.39911931358255,4.69456240378792,4.99331151093102e-07,5.39459544832238e-07
"KIAA0100",9.53007956211145,2.80451615856567,4.43797157185704e-07,4.8333747452663e-07
"CD79B",-3.05352112962084,6.52199655525991,0.000766222719608861,0.000540710548415069
"LUC7L",4.34059846618856,1.01587423940305,0.00302917307580513,0.001936764178811
"CDK11A",-8.32876329933469,5.62972121357397,7.98073323294373e-11,2.12983943311435e-10
"SPAG9",-12.3174612938303,5.53762238771485,4.00674335960789e-12,1.81707102628246e-11
"ST3GAL1",7.6301399606837,4.05467643181271,1.64457943758658e-08,2.29563008061665e-08
"RPS20",-2.32134566889505,10.214777844646,0.00786682688599108,0.00464738485393325
"REV3L",-12.6943291977169,5.91262709766728,8.01283066135261e-13,5.85647607300319e-12
"RANBP9",2.31083685008576,5.67886725694396,0.00904140593891719,0.00527785418077813
"NCAPD2",-7.87525554165677,1.26089945205605,0.000203568772870048,0.000156121465727098
"IDS",3.01602071287732,8.50159716974296,0.000798831343576225,0.000562440301176281
"CD4",7.88664562777267,4.30595208176055,5.61715291258985e-09,8.66097075495064e-09
"BTK",-2.29853040572256,2.83181108667951,0.0170609243916517,0.00944899241488868
"ELOA",9.2209774140335,6.53794745871191,1.60840350588897e-12,9.15272649742938e-12
"BTBD7",3.03774437511745,6.99317178282012,0.000773984361807681,0.000545891731340944
"AKAP8L",9.732132398248,2.99869006898821,1.96936078201972e-07,2.27451880640139e-07
"UTP18",-7.1090681736459,0.607499929242425,0.00222004920292263,0.0014558672057457
"RNF216",-4.49126970693368,3.96869974585356,1.64694758939936e-05,1.45592658514156e-05
"TTC19",-12.1407194663423,5.36193758938948,8.56145268327472e-12,3.44260738714295e-11
"PTBP1",-7.07932517204743,4.39650600028802,1.54247471239662e-08,2.16641856572038e-08
"PIK3C2A",11.265678565625,4.49704349195451,3.46658259271275e-10,7.29580891550666e-10
"RABGAP1",10.9204499863656,4.15693526681572,1.49234169590355e-09,2.62833361661149e-09
"ERCC1",2.18296089631718,5.40517906459225,0.0136218464029148,0.00770059779803114
"SLC25A39",-11.9656739833831,5.18807532362308,1.79517042860065e-11,6.20402162062505e-11
"MVP",-3.77442167412105,1.83167633294512,0.00155058811646689,0.00104068463867425
"NUB1",-2.6096301708859,4.18463752455694,0.0047025775780535,0.00289948283577582
"CD6",10.4818303873716,3.72678499164159,9.09597569103531e-09,1.33961000918797e-08
"TACC3",-12.2758504772921,5.49624885794376,4.77960881261695e-12,2.09495410270374e-11
"UFL1",-6.48672592289486,0.121194714952537,0.0116671149124087,0.00668387367829373
"BID",-12.7152350555189,5.93344321006037,7.33062679817124e-13,5.52831676524026e-12
"RGPD5",-5.68563429278501,3.98250819354947,6.60906591006267e-07,7.01231402911471e-07
"ATP2C1",-5.45415761467788,3.75980877211596,1.70828778496091e-06,1.73119790135976e-06
"RUFY3",-13.5571663914197,6.77265847541784,1.96361082773928e-14,5.02710971856806e-13
"MRE11",6.17894433447324,-0.0893543272813991,0.0227751499172872,0.0123026961983824
"SERPINB1",-11.0341728547081,4.26598690703436,9.23977567703489e-10,1.72723276681317e-09
"SPAST",-9.79410256538722,3.05292209013897,1.50887853588077e-07,1.77380003286648e-07
"RTF2",3.07890464003931,6.96762542074854,0.000673119139194513,0.000479057235969098
"ZDHHC6",6.46482593700135,0.116764938819439,0.0116671149124087,0.00668387367829373
"RB1CC1",-8.01149080976443,4.40653197918926,3.64208786154171e-09,5.88658189311007e-09
"AKAP11",-14.2430125118669,7.45720941235811,1.01662441956333e-15,1.031025225211e-13
"PLEKHO1",-8.79572666032464,2.10091171237128,7.72940611788326e-06,7.15922101742405e-06
"UBR2",-10.369759693153,3.61317140263329,1.4759402994812e-08,2.08135717497348e-08
"TOMM34",7.38991304476675,0.852378221059006,0.000900683527571793,0.000629680825302444
"SEC63",-10.8128190814278,4.04791959461927,2.31386749467956e-09,3.91521993828611e-09
"KPNA6",-8.48116840789879,5.7809436493236,4.15484954470237e-11,1.24937661207228e-10
"FAS",5.04334418999218,2.47237525933305,4.68030232033992e-05,3.92683653846919e-05
"BTN3A1",-6.83119788383586,0.384691063215574,0.00481584000798491,0.00296280660886579
"IFNGR1",5.42518681194636,6.49996030692185,1.16913152471989e-07,1.40302245491466e-07
"VEZT",-3.78331702193217,5.95252874258993,6.48932314333918e-05,5.34551386969956e-05
"BRD9",-6.03331435714869,-0.201248667359454,0.0327642507582027,0.0170755083075983
"TBPL1",11.7772817167915,5.002947514886,3.98749233454936e-11,1.20773169201063e-10
"TFB1M",-10.8320874974419,4.06688140109182,2.13668296003541e-09,3.64475456775003e-09
"NUP160",-8.50694127665466,1.83242265226698,2.2424488268499e-05,1.94543422099889e-05
"FAM13B",-12.1458616326518,5.36704713037835,8.37698364678364e-12,3.38040859201118e-11
"SARS1",7.69721412412543,5.9781044838795,1.40487591242448e-10,3.40120969180281e-10
"ARID4A",-2.57153878858789,5.64995990014964,0.00403644988186414,0.00252135278165147
"ABCF2",-9.29881158727408,2.57675222958574,1.05149651323142e-06,1.09401449544254e-06
"FUT8",5.34804985426394,6.78494399906825,1.39565696831065e-07,1.651804055096e-07
"RNF19A",3.21712452986899,4.77775369451822,0.000566614155797413,0.000407885940993486
"FAM136A",-6.53815238665954,5.1229071430851,1.20004145874414e-08,1.72278677259194e-08
"ADSS2",-7.77261712490141,1.17051230556255,0.000285963795092572,0.000213877961578174
"TBC1D23",9.84412933127661,6.2431672867964,1.39371947269438e-12,8.41000787771995e-12
"CUL3",-8.42922734960609,6.28338772644629,1.47437707228048e-11,5.33962414099837e-11
"",-9.28022565713082,2.55901711512925,1.12950070560764e-06,1.17073699339896e-06
"NSUN2",-13.234061572791,6.45041353574935,7.88063443017678e-14,1.09730090507369e-12
"BOD1L1",-10.192094632133,6.56932494637864,3.40483655464183e-13,3.31531022901648e-12
"MAT2B",-11.426591780406,7.8009258371077,1.66868282210645e-15,1.26246101323484e-13
"MTREX",-11.9627631166525,5.18518537721431,1.81737689110189e-11,6.26098931871439e-11
"RIPOR1",-5.05202846781888,2.98766519057614,1.60177676479464e-05,1.41806317498208e-05
"STAU2",12.7868337746145,6.0056954908235,5.3828713995031e-13,4.52774241599656e-12
"PHF23",5.50559214677174,6.81375063126546,7.63155423804798e-08,9.48988792759958e-08
"PSMA4",-14.0005994476283,7.21518558615754,2.89428207170458e-15,1.61194307700514e-13
"LSG1",10.3823667731641,3.62961099938414,1.3741116570889e-08,1.95000546119896e-08
"MED17",14.2298345037287,7.44441260350249,1.07601280391481e-15,1.05345891869616e-13
"CAPG",-12.1015576622675,5.32302812237212,1.01057078918599e-11,3.94650453961327e-11
"DCUN1D1",-2.02791491431255,7.61903897831432,0.0193534177513645,0.0106004894518242
"LCP2",9.3131659050999,2.59729262745688,1.05149651323142e-06,1.09401449544254e-06
"CTNNA1",2.82872759307424,6.64798959803994,0.00161344063310636,0.00108023068542913
"OFD1",-12.2257372829214,5.44643070807465,5.90991067430798e-12,2.5167934736062e-11
"WDR37",3.7118965211345,6.7746191598767,7.19951200250385e-05,5.88844376293245e-05
"YTHDC2",-12.4992061764683,5.71840774942035,1.83645219541407e-12,9.97613447225584e-12
"POLR2B",-9.12223257097006,2.40870558849564,2.06647287032788e-06,2.07129183962753e-06
"ARAP2",12.7738089460376,5.99273188951792,5.69470496842994e-13,4.69977935482199e-12
"TPR",-8.3500384805666,5.6508237138515,7.29468314443953e-11,1.98358127416702e-10
"MAP4",2.12417654060901,6.11983493742649,0.0151577371667302,0.00849030027616977
"NOP16",3.65283647694786,5.52294286128548,0.000104527548375058,8.38444749536534e-05
"TNFRSF17",12.1441049650111,5.36674464130079,8.37698364678364e-12,3.38040859201118e-11
"RSF1",-6.076537618102,4.92574222017211,5.63810007323586e-08,7.20233830717315e-08
"CELF2",-9.92128130263937,6.29955199883109,1.09112952681186e-12,7.19667690723018e-12
"FAM120A",-2.86215539206024,5.82737673622896,0.00154177985211598,0.00103512715036353
"R3HDM1",8.89888418901514,2.20572810741217,4.82426821763967e-06,4.59606256177969e-06
"H6PD",-8.65854773628097,1.97289307641943,1.28701371719966e-05,1.15479403454099e-05
"RFC2",14.5889394673203,7.80296616265267,2.28642467504951e-16,4.48621854051211e-14
"ARID1B",-14.6577314536658,7.87139704059412,1.69670895168274e-16,4.2275729868059e-14
"HEXB",3.51196891602028,4.20981020387744,0.000270262262374295,0.000203024981130248
"MCUR1",7.90190336868925,1.29507966194342,0.000172910825148656,0.000134091066333971
"LETMD1",13.3053921332373,6.52221188633581,5.79920677890426e-14,9.07742707836718e-13
"TNIP3",9.8234512615359,3.08677449611344,1.36060471751045e-07,1.61369987046365e-07
"MAPK9",16.3870605387722,9.59969490953012,9.58229678778347e-20,1.47420844201329e-16
