"","logFC","logCPM","PValue","qval"
"DPM1",6.42340328803055,3.78077842392444,2.06282603243923e-07,2.37497113058743e-07
"NFYA",-1.56501696024107,2.9438416735678,0.0921323110220198,0.0433466647544694
"NIPAL3",-6.58060159989905,3.01423867354556,1.23052193166983e-06,1.26924174352241e-06
"ENPP4",12.4750508150977,5.695539134223,2.03606687849131e-12,1.08321192476241e-11
"CYP51A1",0.320567847185272,9.79158068256882,0.700859801984079,0.237669012766308
"BAD",8.66495219111699,1.98752961560966,1.15831234547969e-05,1.0463106239933e-05
"LAP3",1.2045983920676,6.60337830015964,0.156215069618551,0.0686581993600543
"CD99",1.78230600619388,5.92054780938872,0.0394408768023083,0.0202085913683058
"LASP1",-8.50249067847419,4.89093975505607,4.61299174562307e-10,9.34823134134481e-10
"M6PR",-4.94302983763442,5.84765078483821,9.93664055155666e-07,1.03675591857318e-06
"CFLAR",0.96210727433908,7.77794595841224,0.253560385527999,0.104025073746077
"NDUFAF7",9.60553103311136,2.87690369417332,3.27969728265619e-07,3.65479724289882e-07
"RBM5",-12.6784485657509,5.89681551609428,8.57304322544016e-13,6.11762852555734e-12
"ARF5",-1.2281816243722,2.28079761651436,0.212949082123022,0.0896949866102043
"AK2",-11.9685789888011,5.19095949306914,1.77327810630064e-11,6.14750641646752e-11
"CD38",2.14217413011838,5.03227397812563,0.0159833499458156,0.00890884787189045
"RBM6",0.478029114231336,7.70313638968304,0.568403801753308,0.201816828988094
"RECQL",-5.81802771297746,6.37975342830868,3.20558587496087e-08,4.25145544509923e-08
"NDUFAB1",1.73830432084245,7.88082992350331,0.0429324410804734,0.0218198159062529
"CDC27",0.756865463812829,6.74750466079573,0.368785344788372,0.142412195157705
"HCCS",-1.84006115363082,1.3846552900821,0.0982008295413809,0.0458602317962964
"SKAP2",-2.01781795663847,8.42877662855671,0.0196916600566945,0.0107708714384544
"SLC25A5",-0.279444220505055,9.78548215761809,0.737683691067117,0.247071116147965
"MCUB",3.62943410724638,0.457581179466911,0.0207171985249162,0.0112846011037286
"POLR2J",3.51690510170227,6.15448808947906,0.000160792147226665,0.000125431240845988
"CIAPIN1",8.29751608117938,6.17455255545531,2.36693043190866e-11,7.71494387093742e-11
"MSL3",-2.82370001123073,5.83837473782288,0.00175132842687465,0.00116680197816175
"CREBBP",2.24334360506554,5.85988773915121,0.0108996613951988,0.0062783572661467
"KMT2E",-2.57133172593522,8.52739577419606,0.00359115929128183,0.00226408003193156
"RHBDD2",4.7025324708753,4.47460713438542,5.13122648283311e-06,4.87265182974419e-06
"IBTK",-11.0885951588372,4.3196757979192,7.3664172929183e-10,1.41591903249898e-09
"MYCBP2",5.37012440810822,7.65499252401247,1.10432521071436e-07,1.33131910389535e-07
"FBXL3",-2.42355421567831,6.17210630505322,0.00625113315638193,0.00376693393768615
"ITGAL",-10.1722391377183,3.42026326877598,3.29981666610264e-08,4.36890860413443e-08
"ZFX",-2.58824706734516,8.07361685842699,0.00343444757212075,0.00217372788403407
"LAMP2",-0.707322354027095,7.15131534038403,0.400269870058116,0.152343881324968
"GDE1",6.05775417861434,5.90926372446328,1.83017717075512e-08,2.52647808865747e-08
"AP2B1",-1.89343771445961,4.82884197747187,0.0312572228496997,0.0163762344983861
"RALA",1.43445051547077,7.33379043373468,0.0924953239057322,0.043498076307721
"KDM7A",-4.5174261897467,5.38140462655423,5.64019253738153e-06,5.32818650499674e-06
"PHTF2",-5.02483314580278,6.40826176263465,5.84413456490355e-07,6.25236066766169e-07
"FARP2",-0.690970492639308,7.35161772510366,0.410287143492414,0.155446197959028
"DBF4",2.93624557047925,6.47183273758427,0.00114326580318252,0.000786072605288414
"IFRD1",-13.1457024484998,6.36232517408446,1.14893591403795e-13,1.45901294924696e-12
"COX10",-10.9776168441209,4.2102230750921,1.16887723689358e-09,2.11066147040926e-09
"ELAC2",11.3558408614814,4.58605320816882,2.36464840576855e-10,5.25714259588809e-10
"CCDC124",5.39911931358255,4.69456240378792,4.99331151093102e-07,5.39459544832238e-07
"PAFAH1B1",0.959624039633403,6.44106905179304,0.256826302753618,0.105166171602164
"KIAA0100",9.53007956211145,2.80451615856567,4.43797157185704e-07,4.8333747452663e-07
"TRAPPC6A",-0.902292924074138,5.99498971017252,0.288971535457251,0.116172037083043
"CD79B",-3.05352112962084,6.52199655525991,0.000766222719608861,0.000540710548415069
"ST7L",-0.561386528113829,3.02094359799477,0.561074232454601,0.199734194193326
"LUC7L",4.34059846618856,1.01587423940305,0.00302917307580513,0.001936764178811
"PSMB1",-0.72966268957928,8.24407516782336,0.384455517432678,0.147388099965522
"JARID2",-0.976123417341162,5.3727746406335,0.25477196255838,0.104448896634127
"CDK11A",-8.32876329933469,5.62972121357397,7.98073323294373e-11,2.12983943311435e-10
"SYPL1",0.543335417294286,4.78387348248059,0.528118094065596,0.190333506220174
