Names	total	elements
c1 node	19	CCAR1
		TRMT10C
		BUB3
		SMARCA5
		SF3B1
		SAR1A
		SNRPN
		SET
		HSPE1
		RPS9
		RBM5
		PEBP1
		NOP56
		KPNA2
		NXT1
		SNRPB
		THOC2
		UBE2N
		PCMT1
c1	87	DNTTIP2
		LSM14A
		RAB30
		RGS2
		CFL1
		CMPK1
		NDUFB10
		BRD4
		HLA-F
		NOL7
		RPF1
		TMEM120B
		STAT2
		CCL5
		PSMD6
		CBWD5
		FKBP3
		CREBRF
		PPHLN1
		C1orf56
		RSRC1
		NGLY1
		USP16
		LYST
		POGZ
		USP10
		IFITM3
		TES
		TLK1
		NT5C3A
		FAM177A1
		RHOF
		CCDC186
		GZMB
		CACYBP
		RNF10
		CYTOR
		TRAPPC4
		LAPTM4A
		ZFR
		MYDGF
		DAD1
		TOR1AIP2
		ARF1
		DYNLRB1
		TOMM6
		SLC35F2
		MESD
		SYTL3
		TBRG1
		WAC
		BAZ1B
		CAPG
		RHOA
		MCL1
		CHD7
		CD47
		SQSTM1
		DGUOK
		ZBTB20
		HP1BP3
		TACC1
		IFNAR1
		LINC01578
		CEP350
		SDHD
		ARL8B
		GZMA
		ATRAID
		VDAC2
		NAP1L4
		DAZAP2
		BRWD1
		PARP14
		CNOT7
		CCDC47
		NPC2
		SLAMF7
		SRPRA
		UFM1
		TMX1
		CYSTM1
		ZCCHC10
		KLF6
		SKIL
		EDF1
		IFITM2
node	75	PRPF40A
		HSPD1
		PSMA2
		SETX
		ZNF207
		ENO1
		POLR2G
		LSM3
		C14orf166
		name
		EIF3I
		STRAP
		CCT4
		RPL10A
		CPSF6
		SMN1
		EIF1AX
		PSMB6
		G3BP1
		WDR43
		NUTF2
		CCT2
		EP300
		EEF1B2
		ZCCHC11
		EIF4E
		RBM25
		LARP4B
		SYNCRIP
		TPR
		KPNA6
		EIF3M
		RANBP2
		RBM22
		PTGES3
		SNRPC
		PSMD8
		DDX3X
		SFPQ
		ILF2
		CCT3
		HNRNPH3
		U2AF1L4
		HSPA4
		CHD4
		SMC3
		SNRPA1
		RBM17
		RANBP1
		RPSA
		RPL8
		PCF11
		SNW1
		ADAR
		EIF3L
		RAN
		BCLAF1
		TRA2B
		GDI2
		UBE2I
		EIF4A3
		SAFB
		LSM7
		SRSF10
		DDX24
		PRKDC
		ALYREF
		SNRPB2
		NR3C1
		DHX9
		CWC15
		CCT7
		H2AFV
		SRSF6
		DDX17
