#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
EIF3L	EIF3C	4452102	4440376	9606.ENSP00000485663	9606.ENSP00000332604	0	0	0	0	0.725	0.994	0.900	0.846	0.999
PSMC1	PSMA2	4434851	4433278	9606.ENSP00000261303	9606.ENSP00000223321	0	0	0	0	0.816	0.992	0.900	0.577	0.999
PSMD6	PSMA2	4448980	4433278	9606.ENSP00000418695	9606.ENSP00000223321	0	0	0	0	0.871	0.958	0.900	0.614	0.999
HSPD1	HSPE1	4445814	4433608	9606.ENSP00000373620	9606.ENSP00000233893	0.072	0	0.271	0	0.963	0.969	0	0.988	0.999
SF3B1	SNRPA1	4440663	4434347	9606.ENSP00000335321	9606.ENSP00000254193	0	0	0	0	0.281	0.994	0.900	0.780	0.999
PSMD6	PSMB10	4448980	4442129	9606.ENSP00000418695	9606.ENSP00000351314	0	0	0	0	0.689	0.947	0.900	0.500	0.999
PSMA2	PSMD8	4433278	4432854	9606.ENSP00000223321	9606.ENSP00000215071	0	0	0	0	0.897	0.994	0.900	0.615	0.999
NDUFA13	NDUFA3	4449261	4448964	9606.ENSP00000423673	9606.ENSP00000418438	0	0	0	0	0.753	0.942	0.900	0.477	0.999
PSMB9	PSMB10	4444464	4442129	9606.ENSP00000363993	9606.ENSP00000351314	0	0	0	0.755	0.847	0.963	0.900	0.950	0.999
NDUFB9	NDUFS6	4436240	4436114	9606.ENSP00000276689	9606.ENSP00000274137	0	0	0	0	0.947	0.931	0.900	0.527	0.999
ATP5A1	ATP5C1	4446852	4441891	9606.ENSP00000381736	9606.ENSP00000349142	0.295	0	0.436	0	0.959	0.972	0.900	0.923	0.999
ATP5C1	ATP5H	4441891	4437775	9606.ENSP00000349142	9606.ENSP00000301587	0	0	0	0	0.945	0.797	0.900	0.761	0.999
ATP5H	ATP5E	4437775	4433873	9606.ENSP00000301587	9606.ENSP00000243997	0	0	0	0	0.937	0.746	0.900	0.579	0.999
EIF3L	EIF3M	4452102	4449770	9606.ENSP00000485663	9606.ENSP00000436049	0	0	0	0	0.929	0.996	0.900	0.883	0.999
RAN	RANBP1	4450191	4448185	9606.ENSP00000446215	9606.ENSP00000401564	0	0	0	0	0.602	0.930	0.900	0.807	0.999
