#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
PSMA1	PSMA2	4448731	4433278	9606.ENSP00000414359	9606.ENSP00000223321	0	0	0.346	0.815	0.991	0.994	0.900	0.884	0.999
NDUFB9	NDUFS6	4436240	4436114	9606.ENSP00000276689	9606.ENSP00000274137	0	0	0	0	0.947	0.931	0.900	0.527	0.999
NHP2L1	TXNL4A	4447058	4435902	9606.ENSP00000383949	9606.ENSP00000269601	0	0	0	0	0.149	0.960	0.900	0.793	0.999
PSMB6	PSMA2	4435950	4433278	9606.ENSP00000270586	9606.ENSP00000223321	0	0	0	0	0.951	0.989	0.900	0.738	0.999
NHP2L1	PRPF3	4447058	4438990	9606.ENSP00000383949	9606.ENSP00000315379	0	0	0	0	0.080	0.998	0.900	0.623	0.999
PSMA1	PSMD12	4448731	4441829	9606.ENSP00000414359	9606.ENSP00000348442	0	0	0	0	0.608	0.992	0.900	0.649	0.999
SF3B5	SNRPA1	4442913	4434347	9606.ENSP00000356541	9606.ENSP00000254193	0	0	0	0	0.170	0.991	0.900	0.338	0.999
EIF3I	EIF3D	4444219	4432926	9606.ENSP00000362688	9606.ENSP00000216190	0	0	0	0	0.939	0.956	0.900	0.902	0.999
PSMC6	PSMA2	4448198	4433278	9606.ENSP00000401802	9606.ENSP00000223321	0	0	0.205	0	0.905	0.992	0.900	0.671	0.999
CCT8	CCT7	4436697	4434598	9606.ENSP00000286788	9606.ENSP00000258091	0	0	0.406	0.727	0.993	0.955	0.900	0.894	0.999
EIF3M	EIF3D	4449770	4432926	9606.ENSP00000436049	9606.ENSP00000216190	0	0	0	0	0.888	0.943	0.900	0.882	0.999
LSM5	LSM7	4448567	4434242	9606.ENSP00000410758	9606.ENSP00000252622	0	0	0	0	0.716	0.996	0.900	0.956	0.999
PSMB7	PSMA2	4434704	4433278	9606.ENSP00000259457	9606.ENSP00000223321	0	0	0.224	0	0.853	0.992	0.900	0.668	0.999
EIF3M	RPSA	4449770	4441585	9606.ENSP00000436049	9606.ENSP00000346067	0	0	0	0	0.868	0.958	0.900	0.125	0.999
ADRM1	PSMD14	4451336	4447392	9606.ENSP00000478877	9606.ENSP00000386541	0	0	0	0	0.304	0.936	0.900	0.918	0.999
PRPF3	LSM3	4438990	4437830	9606.ENSP00000315379	9606.ENSP00000302160	0	0	0	0	0.082	0.992	0.900	0.045	0.999
UQCRQ	UQCRFS1	4445100	4438219	9606.ENSP00000367939	9606.ENSP00000306397	0	0	0	0	0.920	0.972	0.900	0.800	0.999
ADRM1	PSMA1	4451336	4448731	9606.ENSP00000478877	9606.ENSP00000414359	0	0	0	0	0.807	0.959	0.900	0.123	0.999
PSMC6	PSMD8	4448198	4432854	9606.ENSP00000401802	9606.ENSP00000215071	0	0	0	0	0.872	0.994	0.900	0.662	0.999
NDUFV1	NDUFS6	4439527	4436114	9606.ENSP00000322450	9606.ENSP00000274137	0	0	0	0	0.740	0.986	0.900	0.726	0.999
NDUFV1	NDUFS7	4439527	4433596	9606.ENSP00000322450	9606.ENSP00000233627	0.295	0	0.245	0	0.948	0.985	0.900	0.859	0.999
NDUFV1	NDUFB9	4439527	4436240	9606.ENSP00000322450	9606.ENSP00000276689	0	0	0	0	0.942	0.942	0.900	0.568	0.999
MT-ND3	NDUFS7	4442630	4433596	9606.ENSP00000355206	9606.ENSP00000233627	0.295	0	0.363	0	0.725	0.940	0.900	0.754	0.999
EIF3M	EIF3I	4449770	4444219	9606.ENSP00000436049	9606.ENSP00000362688	0	0	0	0	0.973	0.955	0.900	0.869	0.999
SNRNP200	PRPF3	4439101	4438990	9606.ENSP00000317123	9606.ENSP00000315379	0	0	0	0	0.129	0.979	0.900	0.894	0.999
POLR2G	POLR2I	4437798	4433186	9606.ENSP00000301788	9606.ENSP00000221859	0	0	0	0	0.309	0.993	0.900	0.886	0.999
MRPL1	MRPL4	4438965	4434282	9606.ENSP00000315017	9606.ENSP00000253099	0.135	0	0	0	0.854	0.987	0.900	0.511	0.999
PSMA1	PSMD14	4448731	4447392	9606.ENSP00000414359	9606.ENSP00000386541	0	0	0	0	0.917	0.992	0.900	0.573	0.999
LSM3	LSM7	4437830	4434242	9606.ENSP00000302160	9606.ENSP00000252622	0	0	0	0	0.350	0.998	0.900	0.925	0.999
LSM5	LSM3	4448567	4437830	9606.ENSP00000410758	9606.ENSP00000302160	0	0	0	0	0.896	0.998	0.900	0.933	0.999
LSM5	NHP2L1	4448567	4447058	9606.ENSP00000410758	9606.ENSP00000383949	0	0	0	0	0.205	0.986	0.900	0.272	0.999
PSMA1	PSMB6	4448731	4435950	9606.ENSP00000414359	9606.ENSP00000270586	0	0	0	0	0.956	0.990	0.900	0.695	0.999
PSMA1	PSMB7	4448731	4434704	9606.ENSP00000414359	9606.ENSP00000259457	0	0	0	0	0.885	0.992	0.900	0.675	0.999
PSMD14	PSMD12	4447392	4441829	9606.ENSP00000386541	9606.ENSP00000348442	0	0	0	0	0.951	0.994	0.900	0.896	0.999
SNRPA1	SNRPB2	4434347	4433966	9606.ENSP00000254193	9606.ENSP00000246071	0	0	0	0	0.529	0.993	0.900	0.960	0.999
PSMD12	PSMA2	4441829	4433278	9606.ENSP00000348442	9606.ENSP00000223321	0	0	0	0	0.684	0.992	0.900	0.593	0.999
CCT4	CCT7	4446274	4434598	9606.ENSP00000377958	9606.ENSP00000258091	0	0	0.367	0.840	0.993	0.962	0.900	0.895	0.999
PSMD14	PSMB7	4447392	4434704	9606.ENSP00000386541	9606.ENSP00000259457	0	0	0	0	0.512	0.989	0.900	0.552	0.999
